symbol,profile,n_aligned_bars,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%
BTCUSDT,FAIBLE,16686,1721,0.9493011725861812,-36.6,-5.1,42.1,1.2,0.054
BTCUSDT,MODERE,16686,1721,1.1069235663335275,-48.6,10.7,42.1,1.19,0.09
BTCUSDT,AGRESSIF,16686,1439,1.8770880165065187,-36.3,87.7,39.7,1.22,0.137
BTCUSDT,TRES_AGRESSIF,16686,1439,2.1602756664613967,-40.2,116.0,36.6,1.2,0.155
ETHUSDT,FAIBLE,16300,1714,0.7009836977224778,-53.0,-29.9,42.8,1.08,0.023
ETHUSDT,MODERE,16300,1714,0.7069122520213115,-72.8,-29.3,42.8,1.1,0.06
ETHUSDT,AGRESSIF,16300,1370,1.7615829062083588,-56.3,76.2,39.6,1.18,0.141
ETHUSDT,TRES_AGRESSIF,16300,1370,1.3531528727108435,-69.1,35.3,35.2,1.13,0.14
BNBUSDT,FAIBLE,15826,1786,0.5885861181318213,-52.9,-41.1,41.9,1.07,0.018
BNBUSDT,MODERE,15826,1786,0.3947761218608008,-74.4,-60.5,41.9,1.05,0.027
BNBUSDT,AGRESSIF,15826,1434,0.8444387409596125,-72.7,-15.6,37.2,1.12,0.084
BNBUSDT,TRES_AGRESSIF,15826,1434,0.5791794838641032,-76.0,-42.1,33.1,1.08,0.076
SOLUSDT,FAIBLE,11993,1344,1.0732081508456415,-23.0,7.3,41.1,1.12,0.034
SOLUSDT,MODERE,11993,1344,1.0835163740203386,-42.6,8.4,41.1,1.11,0.07
SOLUSDT,AGRESSIF,11993,1088,1.645059581992312,-49.1,64.5,36.9,1.14,0.147
SOLUSDT,TRES_AGRESSIF,11993,1088,1.043899614815665,-65.8,4.4,33.0,1.1,0.165
