symbol,tf,trades_solo,return_solo_%,sharpe_solo,dd_solo_%,trades_cascade,return_cascade_%,sharpe_cascade,dd_cascade_%
BTCUSDT,H1,2455,-38.6,-0.17,-70.8,1574,34.2,0.31,-40.9
BTCUSDT,H4,534,167.9,1.12,-23.5,326,174.3,1.28,-12.7
BTCUSDT,D1,83,73.9,1.12,-11.4,61,47.5,0.86,-10.9
ETHUSDT,H1,2456,17.1,0.22,-69.1,1594,70.3,0.46,-50.3
ETHUSDT,H4,597,113.7,0.86,-18.9,375,88.6,0.82,-19.2
ETHUSDT,D1,101,41.1,0.64,-15.7,68,35.7,0.6,-14.0
BNBUSDT,H1,2546,-58.7,-0.41,-81.0,1679,-43.0,-0.26,-70.0
BNBUSDT,H4,560,156.7,0.9,-23.4,356,154.6,0.95,-21.3
BNBUSDT,D1,89,204.4,0.91,-19.9,57,195.8,0.9,-19.9
SOLUSDT,H1,2084,91.0,0.55,-43.6,1338,129.0,0.72,-30.8
SOLUSDT,H4,492,152.6,1.07,-21.1,277,152.4,1.23,-11.3
SOLUSDT,D1,68,132.8,0.98,-20.9,40,96.7,0.99,-16.0
