symbol,profile,year,n_bars,d1_channel_coverage_%,ema_atr_d1_n_trades,ema_atr_d1_max_dd_%,ema_atr_d1_total_return_%,ema_atr_d1_win_rate_%,ema_atr_d1_profit_factor,manual_channel_d1_n_trades,manual_channel_d1_max_dd_%,manual_channel_d1_total_return_%,manual_channel_d1_win_rate_%,manual_channel_d1_profit_factor
BTCUSDT,FAIBLE,2020,2196,99.49,50,-1.5,3.0,60.0,2.54,53,-3.4,5.8,56.6,3.7
BTCUSDT,FAIBLE,2021,2190,99.49,68,-1.3,1.7,38.2,1.97,72,-4.0,4.6,31.9,2.15
BTCUSDT,FAIBLE,2022,2190,99.49,8,-0.5,-0.3,25.0,0.16,8,-0.5,-0.3,25.0,0.16
BTCUSDT,FAIBLE,2023,2190,99.49,64,-1.6,-0.4,26.6,0.96,90,-7.0,-3.8,23.3,0.76
BTCUSDT,FAIBLE,2024,2196,99.49,79,-2.5,2.8,38.0,2.02,87,-6.0,10.3,35.6,2.41
BTCUSDT,FAIBLE,2025,2190,99.49,23,-1.9,-1.5,21.7,0.25,30,-2.0,-0.3,13.3,1.31
BTCUSDT,FAIBLE,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,MODERE,2020,2196,99.49,50,-2.7,7.9,60.0,3.56,53,-4.2,13.7,56.6,4.26
BTCUSDT,MODERE,2021,2190,99.49,68,-2.6,4.4,38.2,2.25,72,-7.2,4.9,31.9,1.72
BTCUSDT,MODERE,2022,2190,99.49,8,-1.0,-0.6,25.0,0.16,8,-1.0,-0.6,25.0,0.16
BTCUSDT,MODERE,2023,2190,99.49,64,-4.0,-1.0,26.6,0.95,90,-8.6,-5.3,23.3,0.72
BTCUSDT,MODERE,2024,2196,99.49,79,-3.7,7.3,38.0,2.37,87,-9.8,10.3,34.5,1.84
BTCUSDT,MODERE,2025,2190,99.49,23,-3.7,-3.0,21.7,0.25,30,-2.2,-0.7,13.3,1.05
BTCUSDT,MODERE,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,AGRESSIF,2020,2196,99.49,50,-5.3,13.7,60.0,4.24,53,-6.7,23.3,56.6,4.92
BTCUSDT,AGRESSIF,2021,2190,99.49,68,-3.9,7.3,38.2,2.38,72,-10.3,5.3,31.9,1.58
BTCUSDT,AGRESSIF,2022,2190,99.49,8,-1.5,-0.9,25.0,0.16,8,-1.5,-0.9,25.0,0.16
BTCUSDT,AGRESSIF,2023,2190,99.49,64,-7.0,-2.0,26.6,0.92,90,-9.1,-5.6,21.1,0.73
BTCUSDT,AGRESSIF,2024,2196,99.49,79,-5.3,12.5,38.0,2.58,87,-11.6,9.8,34.5,1.67
BTCUSDT,AGRESSIF,2025,2190,99.49,23,-4.4,-3.5,21.7,0.31,30,-2.7,-1.0,13.3,0.89
BTCUSDT,AGRESSIF,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,TRES_AGRESSIF,2020,2196,99.49,53,-8.5,28.6,56.6,5.26,56,-10.7,43.8,53.6,6.09
BTCUSDT,TRES_AGRESSIF,2021,2190,99.49,69,-6.3,6.7,37.7,1.85,73,-14.9,3.9,31.5,1.37
BTCUSDT,TRES_AGRESSIF,2022,2190,99.49,8,-2.5,-1.4,25.0,0.16,8,-2.5,-1.5,25.0,0.16
BTCUSDT,TRES_AGRESSIF,2023,2190,99.49,66,-10.2,-1.1,25.8,1.04,91,-8.2,-3.0,20.9,0.96
BTCUSDT,TRES_AGRESSIF,2024,2196,99.49,82,-8.9,18.7,35.4,2.56,90,-12.5,15.8,33.3,1.91
BTCUSDT,TRES_AGRESSIF,2025,2190,99.49,23,-5.5,-4.3,21.7,0.3,30,-2.8,-1.2,13.3,0.84
BTCUSDT,TRES_AGRESSIF,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
ETHUSDT,FAIBLE,2020,2196,99.49,50,-1.3,2.5,54.0,3.66,50,-2.9,12.2,54.0,7.28
ETHUSDT,FAIBLE,2021,2190,99.49,101,-3.1,-0.9,42.6,0.85,106,-13.5,4.2,31.1,1.69
ETHUSDT,FAIBLE,2022,2190,99.49,14,-1.1,-0.4,57.1,0.63,15,-2.0,0.2,46.7,2.83
ETHUSDT,FAIBLE,2023,2190,99.49,33,-1.9,0.2,27.3,1.19,52,-3.5,1.2,15.4,1.7
ETHUSDT,FAIBLE,2024,2196,99.49,65,-2.1,0.4,32.3,1.25,71,-3.3,-1.2,25.4,0.91
ETHUSDT,FAIBLE,2025,2190,99.49,32,-0.9,2.4,43.8,4.53,44,-6.0,1.6,27.3,1.49
ETHUSDT,FAIBLE,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
ETHUSDT,MODERE,2020,2196,99.49,50,-2.8,5.3,54.0,3.81,50,-5.3,22.6,54.0,6.62
ETHUSDT,MODERE,2021,2190,99.49,101,-8.1,-3.3,42.6,0.73,106,-20.1,1.5,31.1,1.2
ETHUSDT,MODERE,2022,2190,99.49,14,-2.2,-0.9,57.1,0.63,15,-2.1,0.8,46.7,5.05
ETHUSDT,MODERE,2023,2190,99.49,33,-3.8,0.8,27.3,1.27,52,-4.7,1.1,15.4,1.55
ETHUSDT,MODERE,2024,2196,99.49,65,-3.9,2.0,32.3,1.52,71,-5.0,0.2,25.4,1.19
ETHUSDT,MODERE,2025,2190,99.49,32,-2.6,6.1,43.8,5.37,44,-7.5,7.6,27.3,2.21
ETHUSDT,MODERE,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
ETHUSDT,AGRESSIF,2020,2196,99.49,50,-3.8,9.4,54.0,4.27,50,-5.5,28.1,54.0,5.67
ETHUSDT,AGRESSIF,2021,2190,99.49,101,-14.9,-6.8,42.6,0.67,106,-23.5,-0.4,31.1,1.08
ETHUSDT,AGRESSIF,2022,2190,99.49,14,-3.1,-1.1,57.1,0.68,15,-2.1,1.4,46.7,6.85
ETHUSDT,AGRESSIF,2023,2190,99.49,33,-5.6,1.5,27.3,1.32,52,-5.6,0.7,13.5,1.43
ETHUSDT,AGRESSIF,2024,2196,99.49,65,-5.5,4.3,32.3,1.73,71,-6.7,2.2,25.4,1.4
ETHUSDT,AGRESSIF,2025,2190,99.49,32,-5.0,10.5,43.8,5.96,44,-9.0,15.7,27.3,3.04
ETHUSDT,AGRESSIF,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
ETHUSDT,TRES_AGRESSIF,2020,2196,99.49,50,-10.6,9.2,46.0,2.88,50,-13.2,19.4,46.0,3.14
ETHUSDT,TRES_AGRESSIF,2021,2190,99.49,102,-25.4,-13.8,40.2,0.58,107,-37.7,-16.5,29.0,0.64
ETHUSDT,TRES_AGRESSIF,2022,2190,99.49,14,-3.5,-0.3,57.1,0.99,15,-2.3,2.6,46.7,9.59
ETHUSDT,TRES_AGRESSIF,2023,2190,99.49,34,-9.9,2.7,23.5,1.41,52,-6.5,-1.3,11.5,1.02
ETHUSDT,TRES_AGRESSIF,2024,2196,99.49,68,-8.9,10.8,30.9,2.07,74,-9.9,7.4,24.3,1.73
ETHUSDT,TRES_AGRESSIF,2025,2190,99.49,35,-8.0,21.8,40.0,7.05,47,-13.1,36.0,25.5,5.19
ETHUSDT,TRES_AGRESSIF,2026,1087,99.49,0,0.0,0.0,,,0,0.0,0.0,,
BNBUSDT,FAIBLE,2020,1954,97.77,45,-1.6,0.9,37.8,1.55,54,-3.5,2.0,27.8,1.82
BNBUSDT,FAIBLE,2021,2190,97.77,85,-1.7,3.2,49.4,2.47,109,-5.5,6.5,41.3,1.67
BNBUSDT,FAIBLE,2022,2190,97.77,3,-0.2,0.1,66.7,1.67,3,-0.2,0.1,66.7,1.71
BNBUSDT,FAIBLE,2023,2190,97.77,26,-1.5,-1.5,34.6,0.27,34,-3.7,-2.9,20.6,0.39
BNBUSDT,FAIBLE,2024,2196,97.77,131,-2.9,0.5,35.9,1.24,163,-12.1,-4.6,23.9,0.91
BNBUSDT,FAIBLE,2025,2190,97.77,70,-1.0,5.8,52.9,3.93,122,-4.1,13.2,30.3,3.73
BNBUSDT,FAIBLE,2026,1087,97.77,0,0.0,0.0,,,0,0.0,0.0,,
