symbol,profile,faithful_n_trades,faithful_max_dd_%,faithful_total_return_%,faithful_win_rate_%,faithful_profit_factor,recommended_n_trades,recommended_max_dd_%,recommended_total_return_%,recommended_win_rate_%,recommended_profit_factor
BTCUSDT,FAIBLE,239,-4.0,7.6,38.9,1.95,343,-11.8,21.1,38.5,1.62
BTCUSDT,MODERE,239,-7.7,20.2,38.9,2.15,343,-19.5,48.1,37.6,1.73
BTCUSDT,AGRESSIF,239,-11.3,38.1,38.9,2.3,343,-24.5,70.2,37.6,1.77
BTCUSDT,TRES_AGRESSIF,250,-15.9,74.9,36.0,2.48,343,-27.3,104.4,37.6,1.94
ETHUSDT,FAIBLE,272,-3.8,3.8,40.1,1.43,361,-11.7,8.7,41.6,1.33
ETHUSDT,MODERE,272,-10.1,9.0,40.1,1.45,361,-24.2,23.6,41.0,1.42
ETHUSDT,AGRESSIF,272,-18.4,15.2,40.1,1.47,361,-32.6,44.3,41.0,1.51
ETHUSDT,TRES_AGRESSIF,280,-29.2,29.9,37.5,1.55,361,-47.8,37.8,39.1,1.41
BNBUSDT,FAIBLE,299,-2.9,7.6,43.1,1.8,430,-14.2,11.6,43.0,1.34
BNBUSDT,MODERE,299,-6.0,17.6,43.1,1.86,430,-24.3,23.6,42.3,1.35
BNBUSDT,AGRESSIF,299,-9.7,28.5,43.1,1.86,430,-28.7,24.0,42.3,1.29
BNBUSDT,TRES_AGRESSIF,310,-15.6,68.3,41.6,2.1,430,-29.1,77.0,42.3,1.55
SOLUSDT,FAIBLE,192,-2.0,7.4,46.9,2.23,210,-5.1,35.1,47.6,2.78
SOLUSDT,MODERE,192,-5.7,16.6,46.9,2.2,210,-10.4,82.1,47.6,2.81
SOLUSDT,AGRESSIF,192,-11.1,27.1,46.9,2.15,210,-15.6,148.5,47.6,2.88
SOLUSDT,TRES_AGRESSIF,199,-19.5,52.6,44.2,2.22,210,-30.1,258.8,46.7,3.09
