symbol,profile,unified_n_trades,unified_max_dd_%,unified_total_return_%,unified_win_rate_%,unified_profit_factor,unified_n_trend_campaigns_opened,faithful_n_trades,faithful_max_dd_%,faithful_total_return_%,faithful_win_rate_%,faithful_profit_factor
BTCUSDT,FAIBLE,319,-3.0,21.3,41.1,2.95,3,319,-3.0,21.3,41.1,2.95
BTCUSDT,MODERE,326,-5.9,60.5,40.5,3.37,7,319,-5.8,60.4,41.1,3.51
BTCUSDT,AGRESSIF,326,-11.0,124.4,40.5,3.74,7,319,-10.8,124.0,41.1,3.98
BTCUSDT,TRES_AGRESSIF,343,-17.9,240.1,36.4,3.66,7,336,-16.9,240.0,36.9,3.96
ETHUSDT,FAIBLE,369,-4.2,5.4,43.1,1.45,8,368,-3.3,5.6,43.2,1.45
ETHUSDT,MODERE,376,-9.7,9.4,42.3,1.33,8,368,-9.5,12.3,43.2,1.43
ETHUSDT,AGRESSIF,376,-18.5,14.3,42.3,1.31,8,368,-18.2,20.4,43.2,1.43
ETHUSDT,TRES_AGRESSIF,387,-29.2,22.3,39.3,1.32,8,379,-27.7,37.0,40.1,1.48
BNBUSDT,FAIBLE,461,-5.2,10.1,43.0,1.63,12,458,-4.7,8.9,42.6,1.56
BNBUSDT,MODERE,474,-11.4,12.9,41.1,1.37,16,458,-9.3,22.9,42.6,1.67
BNBUSDT,AGRESSIF,474,-18.8,16.7,41.1,1.32,16,458,-14.4,38.3,42.6,1.7
BNBUSDT,TRES_AGRESSIF,490,-72.5,-42.6,39.6,0.93,16,474,-64.6,-20.9,40.9,1.13
SOLUSDT,FAIBLE,247,-5.4,19.3,44.5,2.6,7,244,-1.9,18.0,44.7,3.2
SOLUSDT,MODERE,252,-5.7,36.8,43.3,2.48,8,244,-5.7,44.8,44.7,3.27
SOLUSDT,AGRESSIF,252,-11.0,61.8,43.3,2.36,8,244,-11.0,80.8,44.7,3.28
SOLUSDT,TRES_AGRESSIF,265,-18.9,133.0,40.4,2.47,8,257,-17.8,180.4,41.6,3.39
