symbol,proximity_pctl,n_trades_pattern_b,max_dd_pattern_a_alone_%,max_dd_diversifie_%,delta_dd_isole_pt
BTCUSDT,0.1,27,-7.2,-7.0,0.2
BTCUSDT,0.15,43,-7.2,-6.9,0.3
BTCUSDT,0.2,60,-7.2,-7.0,0.2
BTCUSDT,0.25,74,-7.2,-7.0,0.2
BTCUSDT,0.3,85,-7.2,-6.9,0.3
ETHUSDT,0.1,15,-8.1,-8.1,0.0
ETHUSDT,0.15,29,-8.1,-7.9,0.2
ETHUSDT,0.2,38,-8.1,-7.8,0.3
ETHUSDT,0.25,47,-8.1,-8.0,0.1
ETHUSDT,0.3,67,-8.1,-7.9,0.2
BNBUSDT,0.1,16,-7.9,-7.8,0.1
BNBUSDT,0.15,28,-7.9,-7.9,0.0
BNBUSDT,0.2,47,-7.9,-8.1,-0.2
BNBUSDT,0.25,61,-7.9,-8.0,-0.1
BNBUSDT,0.3,67,-7.9,-7.8,0.1
SOLUSDT,0.1,25,-4.1,-4.1,0.0
SOLUSDT,0.15,35,-4.1,-4.1,0.0
SOLUSDT,0.2,48,-4.1,-4.2,-0.1
SOLUSDT,0.25,58,-4.1,-4.5,-0.4
SOLUSDT,0.3,67,-4.1,-4.5,-0.4
