symbol,profile,min_borders,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,2,492,-9.8,21.9,43.1,1.57
BTCUSDT,FAIBLE,3,492,-9.8,21.9,43.1,1.57
BTCUSDT,FAIBLE,4,492,-9.8,21.9,43.1,1.57
BTCUSDT,FAIBLE,5,492,-9.8,21.9,43.1,1.57
BTCUSDT,MODERE,2,492,-14.2,57.7,42.9,1.74
BTCUSDT,MODERE,3,492,-14.2,57.7,42.9,1.74
BTCUSDT,MODERE,4,492,-14.2,57.7,42.9,1.74
BTCUSDT,MODERE,5,492,-14.2,57.7,42.9,1.74
BTCUSDT,AGRESSIF,2,492,-15.5,106.9,42.9,1.95
BTCUSDT,AGRESSIF,3,492,-15.5,106.9,42.9,1.95
BTCUSDT,AGRESSIF,4,492,-15.5,106.9,42.9,1.95
BTCUSDT,AGRESSIF,5,492,-15.5,106.9,42.9,1.95
BTCUSDT,TRES_AGRESSIF,2,492,-22.8,147.8,42.5,2.05
BTCUSDT,TRES_AGRESSIF,3,492,-22.8,147.8,42.5,2.05
BTCUSDT,TRES_AGRESSIF,4,492,-22.8,147.8,42.5,2.05
BTCUSDT,TRES_AGRESSIF,5,492,-22.8,147.8,42.5,2.05
ETHUSDT,FAIBLE,2,427,-6.5,38.9,46.1,2.06
ETHUSDT,FAIBLE,3,427,-6.5,38.9,46.1,2.06
ETHUSDT,FAIBLE,4,427,-6.5,38.9,46.1,2.06
ETHUSDT,FAIBLE,5,427,-6.5,38.9,46.1,2.06
ETHUSDT,MODERE,2,427,-14.3,94.5,45.9,2.09
ETHUSDT,MODERE,3,427,-14.3,94.5,45.9,2.09
ETHUSDT,MODERE,4,427,-14.3,94.5,45.9,2.09
ETHUSDT,MODERE,5,427,-14.3,94.5,45.9,2.09
ETHUSDT,AGRESSIF,2,427,-19.5,161.9,45.9,2.14
ETHUSDT,AGRESSIF,3,427,-19.5,161.9,45.9,2.14
ETHUSDT,AGRESSIF,4,427,-19.5,161.9,45.9,2.14
ETHUSDT,AGRESSIF,5,427,-19.5,161.9,45.9,2.14
ETHUSDT,TRES_AGRESSIF,2,427,-32.0,200.5,44.3,2.05
ETHUSDT,TRES_AGRESSIF,3,427,-32.0,200.5,44.3,2.05
ETHUSDT,TRES_AGRESSIF,4,427,-32.0,200.5,44.3,2.05
ETHUSDT,TRES_AGRESSIF,5,427,-32.0,200.5,44.3,2.05
BNBUSDT,FAIBLE,2,525,-12.5,20.5,42.7,1.48
BNBUSDT,FAIBLE,3,525,-12.5,20.5,42.7,1.48
BNBUSDT,FAIBLE,4,525,-12.5,20.5,42.7,1.48
BNBUSDT,FAIBLE,5,525,-12.5,20.5,42.7,1.48
BNBUSDT,MODERE,2,525,-19.6,33.7,41.9,1.42
BNBUSDT,MODERE,3,525,-19.6,33.7,41.9,1.42
BNBUSDT,MODERE,4,525,-19.6,33.7,41.9,1.42
BNBUSDT,MODERE,5,525,-19.6,33.7,41.9,1.42
BNBUSDT,AGRESSIF,2,525,-24.1,40.5,41.9,1.38
BNBUSDT,AGRESSIF,3,525,-24.1,40.5,41.9,1.38
BNBUSDT,AGRESSIF,4,525,-24.1,40.5,41.9,1.38
BNBUSDT,AGRESSIF,5,525,-24.1,40.5,41.9,1.38
BNBUSDT,TRES_AGRESSIF,2,525,-32.5,65.6,41.0,1.46
BNBUSDT,TRES_AGRESSIF,3,525,-32.5,65.6,41.0,1.46
BNBUSDT,TRES_AGRESSIF,4,525,-32.5,65.6,41.0,1.46
BNBUSDT,TRES_AGRESSIF,5,525,-32.5,65.6,41.0,1.46
SOLUSDT,FAIBLE,2,339,-8.4,23.0,39.8,1.77
SOLUSDT,FAIBLE,3,339,-8.4,23.0,39.8,1.77
SOLUSDT,FAIBLE,4,339,-8.4,23.0,39.8,1.77
SOLUSDT,FAIBLE,5,339,-8.4,23.0,39.8,1.77
SOLUSDT,MODERE,2,339,-17.4,55.0,39.5,1.83
SOLUSDT,MODERE,3,339,-17.4,55.0,39.5,1.83
SOLUSDT,MODERE,4,339,-17.4,55.0,39.5,1.83
SOLUSDT,MODERE,5,339,-17.4,55.0,39.5,1.83
SOLUSDT,AGRESSIF,2,339,-24.4,97.8,39.5,1.9
SOLUSDT,AGRESSIF,3,339,-24.4,97.8,39.5,1.9
SOLUSDT,AGRESSIF,4,339,-24.4,97.8,39.5,1.9
SOLUSDT,AGRESSIF,5,339,-24.4,97.8,39.5,1.9
SOLUSDT,TRES_AGRESSIF,2,339,-37.7,196.5,38.9,2.07
SOLUSDT,TRES_AGRESSIF,3,339,-37.7,196.5,38.9,2.07
SOLUSDT,TRES_AGRESSIF,4,339,-37.7,196.5,38.9,2.07
SOLUSDT,TRES_AGRESSIF,5,339,-37.7,196.5,38.9,2.07
