symbol,profile,capital_eur,tier,risk_pct_base,risk_pct_effectif,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor,final_equity_eur
BTCUSDT,FAIBLE,5000,PALIER_1_MOINS_10K,0.01,0.0125,504,-11.2,27.8,42.7,1.59,6389.13
BTCUSDT,MODERE,5000,PALIER_1_MOINS_10K,0.02,0.025,504,-14.4,80.2,42.7,1.85,9009.64
BTCUSDT,AGRESSIF,5000,PALIER_1_MOINS_10K,0.03,0.0375,504,-15.5,132.3,42.7,2.02,11613.06
BTCUSDT,TRES_AGRESSIF,5000,PALIER_1_MOINS_10K,0.05,0.05,504,-22.4,157.1,42.3,2.09,12855.33
BTCUSDT,FAIBLE,50000,PALIER_2_10K_100K,0.01,0.01,504,-9.1,23.1,42.7,1.6,61566.21
BTCUSDT,MODERE,50000,PALIER_2_10K_100K,0.02,0.02,504,-13.4,61.0,42.7,1.77,80518.62
BTCUSDT,AGRESSIF,50000,PALIER_2_10K_100K,0.03,0.03,504,-14.7,115.8,42.7,2.01,107924.19
BTCUSDT,TRES_AGRESSIF,50000,PALIER_2_10K_100K,0.05,0.05,504,-22.4,157.1,42.3,2.09,128553.3
BTCUSDT,FAIBLE,500000,PALIER_3_PLUS_100K,0.01,0.01,504,-9.1,23.1,42.7,1.6,615662.12
BTCUSDT,MODERE,500000,PALIER_3_PLUS_100K,0.02,0.02,504,-13.4,61.0,42.7,1.77,805186.21
BTCUSDT,AGRESSIF,500000,PALIER_3_PLUS_100K,0.03,0.02,504,-13.4,71.8,42.7,1.86,859115.49
BTCUSDT,TRES_AGRESSIF,500000,PALIER_3_PLUS_100K,0.05,0.02,504,-16.7,83.7,42.3,1.96,918673.37
ETHUSDT,FAIBLE,5000,PALIER_1_MOINS_10K,0.01,0.0125,417,-7.5,71.1,45.6,2.39,8553.29
ETHUSDT,MODERE,5000,PALIER_1_MOINS_10K,0.02,0.025,417,-13.5,172.3,45.3,2.4,13616.6
ETHUSDT,AGRESSIF,5000,PALIER_1_MOINS_10K,0.03,0.0375,417,-18.6,298.5,45.3,2.47,19924.23
ETHUSDT,TRES_AGRESSIF,5000,PALIER_1_MOINS_10K,0.05,0.05,417,-33.6,355.4,43.6,2.47,22770.44
ETHUSDT,FAIBLE,50000,PALIER_2_10K_100K,0.01,0.01,417,-6.1,55.2,45.6,2.4,77606.22
ETHUSDT,MODERE,50000,PALIER_2_10K_100K,0.02,0.02,417,-11.7,139.0,45.3,2.44,119498.7
ETHUSDT,AGRESSIF,50000,PALIER_2_10K_100K,0.03,0.03,417,-16.6,249.4,45.3,2.5,174686.84
ETHUSDT,TRES_AGRESSIF,50000,PALIER_2_10K_100K,0.05,0.05,417,-33.6,355.4,43.6,2.47,227704.35
ETHUSDT,FAIBLE,500000,PALIER_3_PLUS_100K,0.01,0.01,417,-6.1,55.2,45.6,2.4,776062.24
ETHUSDT,MODERE,500000,PALIER_3_PLUS_100K,0.02,0.02,417,-11.7,139.0,45.3,2.44,1194986.98
ETHUSDT,AGRESSIF,500000,PALIER_3_PLUS_100K,0.03,0.02,417,-12.7,167.8,45.3,2.56,1338949.5
ETHUSDT,TRES_AGRESSIF,500000,PALIER_3_PLUS_100K,0.05,0.02,417,-16.7,182.3,43.6,2.64,1411373.12
BNBUSDT,FAIBLE,5000,PALIER_1_MOINS_10K,0.01,0.0125,544,-15.3,18.7,42.1,1.38,5937.09
BNBUSDT,MODERE,5000,PALIER_1_MOINS_10K,0.02,0.025,544,-23.2,28.6,41.4,1.33,6430.51
BNBUSDT,AGRESSIF,5000,PALIER_1_MOINS_10K,0.03,0.0375,544,-25.0,39.3,41.4,1.34,6965.95
BNBUSDT,TRES_AGRESSIF,5000,PALIER_1_MOINS_10K,0.05,0.05,544,-31.9,57.3,40.4,1.42,7865.8
BNBUSDT,FAIBLE,50000,PALIER_2_10K_100K,0.01,0.01,544,-12.6,17.0,42.1,1.41,58484.42
BNBUSDT,MODERE,50000,PALIER_2_10K_100K,0.02,0.02,544,-20.1,26.6,41.4,1.35,63301.11
BNBUSDT,AGRESSIF,50000,PALIER_2_10K_100K,0.03,0.03,544,-23.5,32.6,41.4,1.32,66300.47
BNBUSDT,TRES_AGRESSIF,50000,PALIER_2_10K_100K,0.05,0.05,544,-31.9,57.3,40.4,1.42,78657.95
BNBUSDT,FAIBLE,500000,PALIER_3_PLUS_100K,0.01,0.01,544,-12.6,17.0,42.1,1.41,584844.15
BNBUSDT,MODERE,500000,PALIER_3_PLUS_100K,0.02,0.02,544,-20.1,26.6,41.4,1.35,633011.13
BNBUSDT,AGRESSIF,500000,PALIER_3_PLUS_100K,0.03,0.02,544,-20.1,29.0,41.4,1.36,644901.32
BNBUSDT,TRES_AGRESSIF,500000,PALIER_3_PLUS_100K,0.05,0.02,544,-23.2,31.1,40.4,1.38,655256.3
SOLUSDT,FAIBLE,5000,PALIER_1_MOINS_10K,0.01,0.0125,361,-10.6,31.3,41.6,1.82,6566.03
SOLUSDT,MODERE,5000,PALIER_1_MOINS_10K,0.02,0.025,361,-21.6,79.4,41.3,1.9,8971.65
SOLUSDT,AGRESSIF,5000,PALIER_1_MOINS_10K,0.03,0.0375,361,-27.8,155.9,41.3,2.05,12792.56
SOLUSDT,TRES_AGRESSIF,5000,PALIER_1_MOINS_10K,0.05,0.05,361,-42.7,228.2,40.4,2.15,16408.08
SOLUSDT,FAIBLE,50000,PALIER_2_10K_100K,0.01,0.01,361,-8.7,24.5,41.6,1.82,62242.17
SOLUSDT,MODERE,50000,PALIER_2_10K_100K,0.02,0.02,361,-17.9,63.0,41.3,1.92,81514.88
SOLUSDT,AGRESSIF,50000,PALIER_2_10K_100K,0.03,0.03,361,-24.2,120.2,41.3,2.03,110081.4
SOLUSDT,TRES_AGRESSIF,50000,PALIER_2_10K_100K,0.05,0.05,361,-42.7,228.2,40.4,2.15,164080.77
SOLUSDT,FAIBLE,500000,PALIER_3_PLUS_100K,0.01,0.01,361,-8.7,24.5,41.6,1.82,622421.66
SOLUSDT,MODERE,500000,PALIER_3_PLUS_100K,0.02,0.02,361,-17.9,63.0,41.3,1.92,815148.82
SOLUSDT,AGRESSIF,500000,PALIER_3_PLUS_100K,0.03,0.02,361,-17.8,75.2,41.3,2.03,876051.3
SOLUSDT,TRES_AGRESSIF,500000,PALIER_3_PLUS_100K,0.05,0.02,361,-24.8,83.1,40.4,2.11,915663.51
