symbol,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,343,-11.8,21.1,38.5,1.62
BTCUSDT,MODERE,343,-19.5,48.1,37.6,1.73
BTCUSDT,AGRESSIF,343,-24.5,70.2,37.6,1.77
BTCUSDT,TRES_AGRESSIF,343,-27.3,104.4,37.6,1.94
ETHUSDT,FAIBLE,361,-11.7,8.7,41.6,1.33
ETHUSDT,MODERE,361,-24.2,23.6,41.0,1.42
ETHUSDT,AGRESSIF,361,-32.6,44.3,41.0,1.51
ETHUSDT,TRES_AGRESSIF,361,-47.8,37.8,39.1,1.41
BNBUSDT,FAIBLE,430,-14.2,11.6,43.0,1.34
BNBUSDT,MODERE,430,-24.3,23.6,42.3,1.35
BNBUSDT,AGRESSIF,430,-28.7,24.0,42.3,1.29
BNBUSDT,TRES_AGRESSIF,430,-29.1,77.0,42.3,1.55
SOLUSDT,FAIBLE,210,-5.1,35.1,47.6,2.78
SOLUSDT,MODERE,210,-10.4,82.1,47.6,2.81
SOLUSDT,AGRESSIF,210,-15.6,148.5,47.6,2.88
SOLUSDT,TRES_AGRESSIF,210,-30.1,258.8,46.7,3.09
