symbol,profile,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%,time_ACCUMULATION_%,time_POST_BREAKOUT_%,time_PULLBACK_WATCH_%,time_EXCESS_WATCH_%
BTCUSDT,FAIBLE,0,1.0,0.0,0.0,,,,1.1,48.9,0.0,0.0
BTCUSDT,MODERE,7,1.0011094660739974,-1.5,0.1,14.3,1.2,0.038,0.5,0.0,0.0,0.0
BTCUSDT,AGRESSIF,7,1.0019187622879902,-2.9,0.2,14.3,1.2,0.076,0.5,0.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,7,1.0004967400741087,-5.6,0.0,14.3,1.16,0.119,0.5,0.0,0.0,0.0
ETHUSDT,FAIBLE,1,0.9988195069916034,-2.1,-0.1,0.0,0.0,-0.038,2.7,0.0,0.0,0.0
ETHUSDT,MODERE,8,0.9720846384580888,-3.3,-2.8,0.0,0.0,-0.333,0.1,0.0,0.0,0.0
ETHUSDT,AGRESSIF,8,0.944848790688941,-6.5,-5.5,0.0,0.0,-0.666,0.1,0.0,0.0,0.0
ETHUSDT,TRES_AGRESSIF,8,0.8923589996614573,-12.7,-10.8,0.0,0.0,-1.333,0.1,0.0,0.0,0.0
BNBUSDT,FAIBLE,3,1.0106516321030525,-1.6,1.1,100.0,,0.424,3.3,0.1,0.0,0.0
BNBUSDT,MODERE,16,0.9190665389121896,-8.1,-8.1,0.0,0.0,-0.505,0.2,0.0,0.0,0.0
BNBUSDT,AGRESSIF,16,0.8440525797954778,-15.6,-15.6,0.0,0.0,-1.01,0.2,0.0,0.0,0.0
BNBUSDT,TRES_AGRESSIF,16,0.7256860400850544,-27.4,-27.4,0.0,0.0,-1.896,0.2,0.0,0.0,0.0
SOLUSDT,FAIBLE,3,1.0105247220767986,-4.7,1.1,33.3,1.39,0.498,2.8,0.0,0.1,0.0
SOLUSDT,MODERE,8,0.9493102624719367,-5.3,-5.1,0.0,0.0,-0.627,0.3,0.0,0.0,0.0
SOLUSDT,AGRESSIF,8,0.9006581468071574,-10.4,-9.9,0.0,0.0,-1.253,0.3,0.0,0.0,0.0
SOLUSDT,TRES_AGRESSIF,8,0.8314575194987193,-17.7,-16.9,0.0,0.0,-2.192,0.3,0.0,0.0,0.0
