symbol,profile,year,n_bars,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
BTCUSDT,FAIBLE,2020,2196,5.0,50,0,54,6,False,True,2146,2020-12-23T16:00:00.000000,3.0,0.0,1.0,1.0,3,0,False,False,True,True,3
BTCUSDT,FAIBLE,2021,2190,4.0,68,0,61,11,False,True,3923,2021-10-15T20:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,FAIBLE,2022,2190,4.0,8,0,24,0,False,True,4907,2022-03-28T20:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,FAIBLE,2023,2190,4.0,64,0,48,18,False,True,7177,2023-04-11T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,FAIBLE,2024,2196,4.0,79,0,66,7,False,True,10717,2024-11-21T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,FAIBLE,2025,2190,2.0,23,0,22,11,False,False,12167,2025-07-20T20:00:00.000000,2.0,0.0,0.0,0.0,2,0,False,False,False,False,1
BTCUSDT,FAIBLE,2026,1087,1.0,0,0,37,6,False,False,13155,2026-01-01T12:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
BTCUSDT,MODERE,2020,2196,8.0,50,0,54,6,True,True,2146,2020-12-23T16:00:00.000000,6.0,0.0,1.0,1.0,3,0,False,False,True,True,3
BTCUSDT,MODERE,2021,2190,7.0,68,1,61,11,True,True,3923,2021-10-15T20:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,MODERE,2022,2190,7.0,8,1,24,0,True,True,4907,2022-03-28T20:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,MODERE,2023,2190,7.0,64,2,48,18,True,True,7177,2023-04-11T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,MODERE,2024,2196,7.0,79,2,66,7,True,True,10717,2024-11-21T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,MODERE,2025,2190,4.0,23,0,22,11,False,True,12167,2025-07-20T20:00:00.000000,4.0,0.0,0.0,0.0,2,0,False,False,False,False,1
BTCUSDT,MODERE,2026,1087,1.0,0,1,37,6,False,False,13155,2026-01-01T12:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
BTCUSDT,AGRESSIF,2020,2196,11.0,50,0,54,6,True,True,1996,2020-11-28T16:00:00.000000,9.0,0.0,1.0,1.0,3,0,False,False,True,True,3
BTCUSDT,AGRESSIF,2021,2190,10.0,68,1,61,11,True,True,2206,2021-01-02T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,AGRESSIF,2022,2190,10.0,8,1,24,0,True,True,4907,2022-03-28T20:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,AGRESSIF,2023,2190,10.0,64,2,48,18,True,True,6856,2023-02-16T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,AGRESSIF,2024,2196,10.0,79,2,66,7,True,True,8774,2024-01-02T08:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,AGRESSIF,2025,2190,6.0,23,0,22,11,True,True,12128,2025-07-14T08:00:00.000000,6.0,0.0,0.0,0.0,2,0,False,False,False,False,1
BTCUSDT,AGRESSIF,2026,1087,1.0,0,1,37,6,False,False,13155,2026-01-01T12:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
BTCUSDT,TRES_AGRESSIF,2020,2196,17.0,53,0,54,6,True,True,1996,2020-11-28T16:00:00.000000,15.0,0.0,1.0,1.0,3,0,False,False,True,True,3
BTCUSDT,TRES_AGRESSIF,2021,2190,16.0,69,1,61,11,True,True,2206,2021-01-02T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BTCUSDT,TRES_AGRESSIF,2022,2190,16.0,8,1,24,0,True,True,4907,2022-03-28T20:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
