symbol,year,n_bars,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,2020,2196,77,-2.7,11.4,53.2,3.77
BTCUSDT,2021,2190,63,-3.4,17.5,34.9,4.45
BTCUSDT,2022,2190,8,-1.0,-0.6,25.0,0.16
BTCUSDT,2023,2190,58,-5.7,7.5,39.7,3.81
BTCUSDT,2024,2196,94,-4.2,9.5,38.3,2.61
BTCUSDT,2025,2190,34,-4.2,-2.8,29.4,0.47
BTCUSDT,2026,1087,0,0.0,0.0,,
ETHUSDT,2020,2196,65,-4.7,6.8,52.3,4.23
ETHUSDT,2021,2190,120,-8.1,-1.1,47.5,0.97
ETHUSDT,2022,2190,18,-2.7,-1.7,55.6,0.4
ETHUSDT,2023,2190,41,-5.1,2.9,31.7,1.66
ETHUSDT,2024,2196,75,-4.8,1.3,34.7,1.34
ETHUSDT,2025,2190,49,-5.8,3.6,38.8,1.77
ETHUSDT,2026,1087,0,0.0,0.0,,
BNBUSDT,2020,1954,49,-3.3,1.4,44.9,1.51
BNBUSDT,2021,2190,112,-3.5,13.6,46.4,3.16
BNBUSDT,2022,2190,3,-0.3,0.2,66.7,1.67
BNBUSDT,2023,2190,19,-5.6,-1.9,42.1,0.48
BNBUSDT,2024,2196,177,-7.9,-0.0,35.6,1.12
BNBUSDT,2025,2190,96,-2.4,9.9,50.0,2.45
BNBUSDT,2026,1087,0,0.0,0.0,,
SOLUSDT,2020,653,0,0.0,0.0,,
SOLUSDT,2021,2190,48,-1.7,6.1,45.8,2.59
SOLUSDT,2022,2190,0,0.0,0.0,,
SOLUSDT,2023,2190,38,-1.9,16.1,52.6,11.43
SOLUSDT,2024,2196,98,-3.8,5.8,43.9,2.14
SOLUSDT,2025,2190,58,-4.6,14.2,41.4,4.85
SOLUSDT,2026,1087,0,0.0,0.0,,
