symbol,year,n_bars,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,2020,2196,57,-8.8,32.8,63.2,6.28
BTCUSDT,2021,2190,84,-9.8,16.9,34.5,2.12
BTCUSDT,2022,2190,8,-2.3,-1.5,25.0,0.14
BTCUSDT,2023,2190,92,-15.7,-4.4,30.4,0.89
BTCUSDT,2024,2196,96,-8.0,14.9,42.7,1.97
BTCUSDT,2025,2190,36,-7.6,-5.0,27.8,0.46
BTCUSDT,2026,1087,0,0.0,0.0,,
ETHUSDT,2020,2196,53,-6.2,16.9,52.8,4.04
ETHUSDT,2021,2190,124,-21.8,-9.0,40.3,0.76
ETHUSDT,2022,2190,15,-5.4,-1.4,60.0,0.78
ETHUSDT,2023,2190,59,-14.5,-7.9,30.5,0.53
ETHUSDT,2024,2196,85,-9.3,9.2,37.6,1.73
ETHUSDT,2025,2190,47,-5.4,15.7,46.8,3.94
ETHUSDT,2026,1087,0,0.0,0.0,,
BNBUSDT,2020,1954,50,-13.7,-4.6,32.0,0.75
BNBUSDT,2021,2190,111,-9.8,6.2,46.8,1.35
BNBUSDT,2022,2190,3,-0.9,0.7,66.7,1.9
BNBUSDT,2023,2190,38,-8.9,-7.8,36.8,0.37
BNBUSDT,2024,2196,168,-21.4,-6.9,38.1,0.92
BNBUSDT,2025,2190,106,-4.6,35.7,50.9,3.6
BNBUSDT,2026,1087,0,0.0,0.0,,
SOLUSDT,2020,653,0,0.0,0.0,,
SOLUSDT,2021,2190,44,-9.3,2.1,36.4,1.21
SOLUSDT,2022,2190,0,0.0,0.0,,
SOLUSDT,2023,2190,32,-7.3,52.6,62.5,18.97
SOLUSDT,2024,2196,91,-9.3,-0.4,44.0,1.08
SOLUSDT,2025,2190,55,-8.5,32.2,47.3,5.38
SOLUSDT,2026,1087,0,0.0,0.0,,
