symbol,profile,year,n_bars,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor,n_trend_campaigns_opened
BTCUSDT,MODERE,2020,2196,50,-2.7,7.9,60.0,3.56,0
BTCUSDT,MODERE,2021,2190,69,-2.7,4.4,37.7,2.23,1
BTCUSDT,MODERE,2022,2190,9,-1.0,-0.6,22.2,0.15,1
BTCUSDT,MODERE,2023,2190,66,-4.2,-1.6,25.8,0.88,2
BTCUSDT,MODERE,2024,2196,81,-3.7,8.4,38.3,2.42,2
BTCUSDT,MODERE,2025,2190,23,-3.7,-3.0,21.7,0.25,0
BTCUSDT,MODERE,2026,1087,1,-0.2,-0.1,0.0,0.0,1
ETHUSDT,MODERE,2020,2196,52,-2.8,4.8,51.9,3.08,2
ETHUSDT,MODERE,2021,2190,103,-8.3,-3.8,41.7,0.7,2
ETHUSDT,MODERE,2022,2190,14,-2.2,-0.9,57.1,0.63,0
ETHUSDT,MODERE,2023,2190,34,-4.1,0.4,26.5,1.17,1
ETHUSDT,MODERE,2024,2196,68,-4.8,0.6,30.9,1.19,3
ETHUSDT,MODERE,2025,2190,32,-2.6,6.1,43.8,5.37,0
ETHUSDT,MODERE,2026,1087,0,0.0,0.0,,,0
BNBUSDT,MODERE,2020,1954,48,-4.3,0.9,35.4,1.26,3
BNBUSDT,MODERE,2021,2190,88,-3.3,3.2,47.7,1.47,3
BNBUSDT,MODERE,2022,2190,4,-0.7,-0.3,50.0,0.71,1
BNBUSDT,MODERE,2023,2190,26,-3.1,-3.0,34.6,0.27,0
BNBUSDT,MODERE,2024,2196,139,-8.9,-1.7,33.8,0.97,8
BNBUSDT,MODERE,2025,2190,70,-2.1,13.3,52.9,4.27,0
BNBUSDT,MODERE,2026,1087,1,-0.6,-0.5,0.0,0.0,1
BNBUSDT,TRES_AGRESSIF,2020,1954,49,-11.8,2.0,34.7,1.25,3
BNBUSDT,TRES_AGRESSIF,2021,2190,90,-8.8,6.1,46.7,1.34,3
BNBUSDT,TRES_AGRESSIF,2022,2190,4,-2.5,-1.3,50.0,0.52,1
BNBUSDT,TRES_AGRESSIF,2023,2190,26,-6.3,-6.1,34.6,0.26,0
BNBUSDT,TRES_AGRESSIF,2024,2196,142,-24.4,-6.2,33.1,0.92,8
BNBUSDT,TRES_AGRESSIF,2025,2190,76,-5.9,46.3,48.7,5.1,0
BNBUSDT,TRES_AGRESSIF,2026,1087,1,-2.5,-2.2,0.0,0.0,1
SOLUSDT,MODERE,2020,653,0,0.0,0.0,,,0
SOLUSDT,MODERE,2021,2190,38,-2.0,2.3,44.7,1.72,1
SOLUSDT,MODERE,2022,2190,0,0.0,0.0,,,0
SOLUSDT,MODERE,2023,2190,34,-2.1,12.8,58.8,6.2,2
SOLUSDT,MODERE,2024,2196,79,-5.4,-3.1,44.3,0.66,4
SOLUSDT,MODERE,2025,2190,46,-3.0,7.5,43.5,3.63,1
SOLUSDT,MODERE,2026,1087,0,0.0,0.0,,,0
