axe,config,bruit_sur_amplitude,r_ascending,p_ascending,n
A_bruit,noise_std=0.0,0.0,-0.40556630720446585,3.842534298883578e-74,1849
A_bruit,noise_std=0.05,0.01,-0.4025799250987341,5.554588005749959e-73,1849
A_bruit,noise_std=0.25,0.05,-0.36357509483077516,6.968602744028236e-59,1849
A_bruit,noise_std=1.0,0.2,-0.2495097667560545,1.225495955078761e-27,1849
A_bruit,noise_std=2.5,0.5,-0.14961466892974737,1.0096258079365419e-10,1849
A_bruit,noise_std=5.0,1.0,-0.10500782277425222,6.0453467393063225e-06,1849
A_bruit,noise_std=10.0,2.0,-0.05028960841951516,0.030590511625793182,1849
A_bruit,noise_std=20.0,4.0,-0.0004084875365981578,0.9859953824744936,1849
B_frequences,1 fréquence (période=40),0.0,-0.40556630720446585,3.842534298883578e-74,1849
B_frequences,"2 fréquences proches (40+55, amplitudes égales)",0.0,-0.4032938164553682,2.940527471715926e-73,1849
B_frequences,"2 fréquences éloignées (40+200, amplitudes égales)",0.0,-0.3874444466407883,2.7802258960617052e-67,1849
B_frequences,"3 fréquences (40+90+250, amplitudes décroissantes)",0.0,-0.3886435591043863,1.0077170289232093e-67,1849
B_frequences,5 fréquences (multi-échelle),0.0,-0.2306149953455124,9.621710438343197e-24,1849
C_combine,2 fréquences + bruit modéré,,-0.20976669506151294,7.833332353847881e-20,1849
C_combine,3 fréquences + bruit modéré,,-0.2000569172092344,3.801919292920616e-18,1849
C_combine,5 fréquences + bruit réaliste,,-0.14310504301566013,6.361844078746985e-10,1849
