engine,symbol,tf,profile,n_trades_batch,max_dd_%_batch,total_return_%_batch,win_rate_%_batch,profit_factor_batch,n_trades_causal,max_dd_%_causal,total_return_%_causal,win_rate_%_causal,profit_factor_causal,gate,stop
v5,BTCUSDT,H4,FAIBLE,1498,-9.5,179.8,46.3,1.91,1402,-14.8,81.8,39.4,1.52,,
v5,BTCUSDT,H4,MODERE,1498,-16.7,588.1,45.7,2.07,1402,-26.5,236.7,38.7,1.63,,
v5,BTCUSDT,H4,AGRESSIF,1498,-24.2,1055.9,45.7,2.14,1402,-35.8,354.8,38.7,1.65,,
v5,BTCUSDT,H4,TRES_AGRESSIF,1498,-24.5,1646.8,45.1,2.25,1402,-41.8,437.3,37.9,1.67,,
v5,BTCUSDT,D1,FAIBLE,24,-4.1,-4.0,29.2,0.15,17,-3.0,-2.7,23.5,0.06,,
v5,BTCUSDT,D1,MODERE,24,-7.3,-7.1,29.2,0.16,17,-6.4,-6.0,23.5,0.05,,
v5,BTCUSDT,D1,AGRESSIF,24,-9.7,-9.3,29.2,0.18,17,-9.7,-9.1,23.5,0.05,,
v5,BTCUSDT,D1,TRES_AGRESSIF,24,-13.2,-12.6,29.2,0.19,17,-14.4,-13.5,23.5,0.06,,
v5,ETHUSDT,H4,FAIBLE,1365,-12.3,247.9,46.0,2.09,1363,-12.6,88.2,37.1,1.49,,
v5,ETHUSDT,H4,MODERE,1365,-20.3,850.8,45.4,2.14,1363,-24.4,211.9,36.3,1.51,,
v5,ETHUSDT,H4,AGRESSIF,1365,-22.4,2215.3,45.4,2.25,1363,-32.1,417.5,36.3,1.57,,
v5,ETHUSDT,H4,TRES_AGRESSIF,1365,-34.6,3183.4,44.0,2.24,1363,-38.5,552.8,35.1,1.59,,
v5,ETHUSDT,D1,FAIBLE,46,-1.9,6.2,65.2,3.68,50,-1.9,4.1,42.0,1.95,,
v5,ETHUSDT,D1,MODERE,46,-5.1,13.3,65.2,3.28,50,-4.2,10.7,42.0,2.21,,
v5,ETHUSDT,D1,AGRESSIF,46,-9.2,21.4,65.2,3.0,50,-6.9,19.7,42.0,2.47,,
v5,ETHUSDT,D1,TRES_AGRESSIF,46,-16.1,34.6,56.5,2.67,50,-12.9,41.6,38.0,2.92,,
v5,BNBUSDT,H4,FAIBLE,1209,-8.0,134.7,47.4,1.89,1399,-17.2,46.3,41.2,1.37,,
v5,BNBUSDT,H4,MODERE,1209,-16.5,288.6,46.5,1.82,1399,-25.4,79.9,40.3,1.34,,
v5,BNBUSDT,H4,AGRESSIF,1209,-24.5,462.0,46.5,1.81,1399,-31.7,121.8,40.3,1.36,,
v5,BNBUSDT,H4,TRES_AGRESSIF,1209,-33.7,885.1,45.8,1.93,1399,-33.7,330.3,40.2,1.52,,
v5,BNBUSDT,D1,FAIBLE,32,-1.5,2.8,46.9,1.98,15,-2.2,-1.8,20.0,0.26,,
v5,BNBUSDT,D1,MODERE,32,-3.2,6.3,46.9,2.1,15,-4.4,-3.5,20.0,0.26,,
v5,BNBUSDT,D1,AGRESSIF,32,-5.4,10.1,46.9,2.19,15,-6.5,-5.1,20.0,0.27,,
v5,BNBUSDT,D1,TRES_AGRESSIF,32,-11.5,7.4,40.6,1.63,15,-9.3,-7.1,20.0,0.31,,
v5,SOLUSDT,H4,FAIBLE,1199,-13.7,350.8,48.5,2.47,1239,-21.2,182.0,38.8,1.79,,
v5,SOLUSDT,H4,MODERE,1199,-21.8,1652.0,47.5,2.5,1239,-35.8,603.8,37.9,1.81,,
v5,SOLUSDT,H4,AGRESSIF,1199,-27.0,4721.1,47.5,2.47,1239,-46.9,1328.3,37.9,1.82,,
