datetime,open,high,low,close,volume
2020-09-14 07:00:00,3.2002,4.9100,3.2002,3.3666,426044
2020-09-14 08:00:00,3.3663,3.5650,3.3000,3.3298,754888
2020-09-14 09:00:00,3.3298,3.3567,3.2161,3.2755,361947
2020-09-14 10:00:00,3.2753,3.3873,3.2500,3.3673,317777
2020-09-14 11:00:00,3.3686,3.4600,3.3200,3.3799,301402
2020-09-14 12:00:00,3.3748,3.4900,3.3607,3.4677,219601
2020-09-14 13:00:00,3.4687,3.4898,3.3770,3.4485,293807
2020-09-14 14:00:00,3.4501,3.4866,3.3026,3.3452,290974
2020-09-14 15:00:00,3.3452,3.4145,3.3301,3.3795,234340
2020-09-14 16:00:00,3.3803,3.4228,3.3431,3.3653,198375
2020-09-14 17:00:00,3.3648,3.3795,3.3056,3.3249,186089
2020-09-14 18:00:00,3.3247,3.3463,3.2500,3.2824,202412
2020-09-14 19:00:00,3.2878,3.3600,3.2224,3.3009,290472
2020-09-14 20:00:00,3.3012,3.3471,3.2400,3.2522,193821
2020-09-14 21:00:00,3.2505,3.2847,3.2440,3.2695,171710
2020-09-14 22:00:00,3.2694,3.3009,3.2555,3.2718,176172
2020-09-14 23:00:00,3.2718,3.3000,3.2526,3.2661,168340
2020-09-15 00:00:00,3.2629,3.2965,3.2440,3.2662,129941
2020-09-15 01:00:00,3.2668,3.3096,3.2566,3.2727,156221
2020-09-15 02:00:00,3.2726,3.3258,3.2577,3.2960,171676
2020-09-15 03:00:00,3.2953,3.3035,3.2446,3.2550,174153
2020-09-15 04:00:00,3.2563,3.2758,3.2444,3.2555,155386
2020-09-15 05:00:00,3.2555,3.2710,3.2306,3.2572,173380
2020-09-15 06:00:00,3.2577,3.2577,3.1993,3.2337,173126
2020-09-15 07:00:00,3.2336,3.2527,3.1449,3.1807,223933
2020-09-15 08:00:00,3.1807,3.1911,3.1250,3.1532,184093
2020-09-15 09:00:00,3.1520,3.2376,3.1260,3.2210,183983
2020-09-15 10:00:00,3.2208,3.2468,3.1726,3.2386,163643
2020-09-15 11:00:00,3.2381,3.2398,3.1828,3.2371,160421
2020-09-15 12:00:00,3.2385,3.3149,3.2356,3.2914,206596
2020-09-15 13:00:00,3.2914,3.3060,3.1969,3.2176,171355
2020-09-15 14:00:00,3.2186,3.2300,2.9600,3.0476,267500
2020-09-15 15:00:00,3.0474,3.1224,3.0237,3.0758,216968
2020-09-15 16:00:00,3.0761,3.1177,3.0597,3.1007,163662
2020-09-15 17:00:00,3.1007,3.1126,3.0666,3.1006,155553
2020-09-15 18:00:00,3.0999,3.1063,3.0456,3.0683,153994
2020-09-15 19:00:00,3.0691,3.0731,3.0190,3.0389,165934
2020-09-15 20:00:00,3.0383,3.1192,3.0210,3.0363,181120
2020-09-15 21:00:00,3.0356,3.0431,3.0035,3.0234,164894
2020-09-15 22:00:00,3.0233,3.0376,2.9523,2.9815,231347
2020-09-15 23:00:00,2.9808,2.9935,2.9001,2.9332,189426
2020-09-16 00:00:00,2.9299,2.9299,2.5011,2.5585,401330
2020-09-16 01:00:00,2.5573,2.7556,2.5573,2.7444,253687
2020-09-16 02:00:00,2.7442,2.7642,2.6700,2.7530,179451
2020-09-16 03:00:00,2.7548,2.7752,2.6677,2.6918,187005
2020-09-16 04:00:00,2.6915,2.7165,2.6650,2.6805,174532
2020-09-16 05:00:00,2.6841,2.7615,2.6450,2.6500,206734
2020-09-16 06:00:00,2.6500,2.7180,2.6106,2.7096,228660
2020-09-16 07:00:00,2.7104,2.7527,2.6441,2.7370,245350
2020-09-16 08:00:00,2.7431,2.7507,2.6420,2.6738,220758
2020-09-16 09:00:00,2.6707,2.7146,2.6338,2.6666,193406
2020-09-16 10:00:00,2.6703,2.6820,2.5627,2.5627,222096
2020-09-16 11:00:00,2.5627,2.6378,2.5102,2.5870,298291
2020-09-16 12:00:00,2.5811,2.6186,2.5616,2.5720,240989
2020-09-16 13:00:00,2.5723,2.5832,2.5414,2.5564,227938
2020-09-16 14:00:00,2.5525,2.5759,2.4316,2.4550,344705
2020-09-16 15:00:00,2.4550,2.5802,2.4530,2.5341,388781
2020-09-16 16:00:00,2.5362,2.6654,2.5347,2.6080,280157
2020-09-16 17:00:00,2.6089,2.6211,2.5094,2.5308,204872
2020-09-16 18:00:00,2.5312,2.5828,2.4901,2.5383,226080
2020-09-16 19:00:00,2.5381,2.5466,2.5101,2.5302,189846
2020-09-16 20:00:00,2.5239,2.5662,2.5115,2.5405,188322
2020-09-16 21:00:00,2.5411,2.5642,2.5285,2.5530,177059
2020-09-16 22:00:00,2.5529,2.5655,2.5372,2.5468,181670
2020-09-16 23:00:00,2.5472,2.5739,2.4844,2.5395,236409
2020-09-17 00:00:00,2.5400,2.6218,2.5134,2.6168,269546
2020-09-17 01:00:00,2.6114,2.7000,2.6050,2.6250,292146
2020-09-17 02:00:00,2.6255,2.6345,2.5573,2.5818,212480
2020-09-17 03:00:00,2.5818,2.6231,2.4696,2.4836,281860
2020-09-17 04:00:00,2.4836,2.5195,2.4677,2.5027,225453
2020-09-17 05:00:00,2.5031,2.5870,2.4983,2.5663,215171
2020-09-17 06:00:00,2.5666,2.6025,2.4974,2.5052,245407
2020-09-17 07:00:00,2.5052,2.5396,2.4933,2.5296,193595
2020-09-17 08:00:00,2.5296,2.5794,2.4500,2.4533,271282
2020-09-17 09:00:00,2.4520,2.5053,2.3912,2.4895,345682
2020-09-17 10:00:00,2.4895,2.5461,2.3569,2.4861,419270
2020-09-17 11:00:00,2.4874,2.5530,2.4725,2.5396,210357
2020-09-17 12:00:00,2.5395,2.5601,2.5056,2.5246,199231
2020-09-17 13:00:00,2.5247,2.6855,2.5209,2.5694,488445
2020-09-17 14:00:00,2.5694,2.6200,2.5342,2.5765,260158
2020-09-17 15:00:00,2.5741,2.6300,2.5741,2.6094,215092
2020-09-17 16:00:00,2.6100,2.6806,2.6004,2.6642,255685
2020-09-17 17:00:00,2.6636,2.7728,2.6458,2.7240,319273
2020-09-17 18:00:00,2.7226,2.7424,2.6868,2.7405,216726
2020-09-17 19:00:00,2.7418,2.7813,2.7282,2.7698,183313
2020-09-17 20:00:00,2.7688,2.8074,2.7270,2.8029,239592
2020-09-17 21:00:00,2.8074,2.9360,2.8074,2.9239,371610
2020-09-17 22:00:00,2.9248,2.9313,2.7798,2.8080,285131
2020-09-17 23:00:00,2.8089,2.9268,2.8089,2.8855,282833
2020-09-18 00:00:00,2.8821,2.9604,2.8126,2.8235,294788
2020-09-18 01:00:00,2.8237,2.8352,2.7240,2.7610,293355
2020-09-18 02:00:00,2.7615,2.8621,2.7498,2.8310,228869
2020-09-18 03:00:00,2.8319,2.8988,2.8222,2.8813,205614
2020-09-18 04:00:00,2.8825,2.8856,2.7942,2.8380,210994
2020-09-18 05:00:00,2.8381,2.8970,2.8233,2.8853,201102
2020-09-18 06:00:00,2.8870,2.9972,2.8621,2.9645,300338
2020-09-18 07:00:00,2.9643,2.9733,2.9264,2.9510,224735
2020-09-18 08:00:00,2.9519,2.9718,2.9110,2.9562,202355
2020-09-18 09:00:00,2.9579,2.9950,2.9080,2.9887,233163
2020-09-18 10:00:00,2.9889,3.1100,2.9820,3.0331,442658
2020-09-18 11:00:00,3.0321,3.1500,3.0213,3.0668,301454
2020-09-18 12:00:00,3.0668,3.1300,3.0645,3.0824,253796
2020-09-18 13:00:00,3.0824,3.1331,3.0186,3.0242,267144
2020-09-18 14:00:00,3.0240,3.0622,2.9462,3.0310,374030
2020-09-18 15:00:00,3.0325,3.0325,2.7989,2.8959,448869
2020-09-18 16:00:00,2.9047,2.9973,2.8343,2.9306,265373
2020-09-18 17:00:00,2.9300,2.9682,2.8212,2.8417,248454
2020-09-18 18:00:00,2.8429,2.9287,2.8004,2.9273,237259
2020-09-18 19:00:00,2.9272,3.1217,2.9099,3.1152,236529
2020-09-18 20:00:00,3.1161,3.1337,3.0242,3.0922,251788
2020-09-18 21:00:00,3.0922,3.1414,3.0724,3.1355,198847
2020-09-18 22:00:00,3.1406,3.1438,3.0763,3.1293,187653
2020-09-18 23:00:00,3.1292,3.1300,3.0276,3.1080,201629
2020-09-19 00:00:00,3.1080,3.1107,3.0647,3.0919,165465
2020-09-19 01:00:00,3.0915,3.2431,3.0820,3.1804,369529
2020-09-19 02:00:00,3.1809,3.2509,3.1350,3.1682,263596
2020-09-19 03:00:00,3.1680,3.1759,3.0712,3.1087,206535
2020-09-19 04:00:00,3.1088,3.1340,3.0622,3.1053,199491
2020-09-19 05:00:00,3.1054,3.1213,3.0650,3.1103,169105
2020-09-19 06:00:00,3.1053,3.1524,3.0722,3.1111,241983
2020-09-19 07:00:00,3.1113,3.1621,3.0767,3.0778,240496
