symbol,tf,profile,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%
BTCUSDT,H4,FAIBLE,715,1.715079150169177,-14.5,71.5,38.9,1.37,0.108
BTCUSDT,H4,MODERE,715,2.5805157706391,-28.9,158.1,38.6,1.31,0.204
BTCUSDT,H4,AGRESSIF,625,2.6093768368826864,-43.7,160.9,37.4,1.26,0.261
BTCUSDT,H4,TRES_AGRESSIF,625,3.1808935614092237,-64.9,218.1,32.2,1.24,0.343
BTCUSDT,D1,FAIBLE,117,1.3565373711696658,-7.7,35.7,50.4,2.16,0.276
BTCUSDT,D1,MODERE,117,1.9148881026250835,-16.0,91.5,49.6,2.11,0.6
BTCUSDT,D1,AGRESSIF,93,2.7574702412709464,-25.4,175.7,50.5,2.33,1.194
BTCUSDT,D1,TRES_AGRESSIF,93,4.319534046229584,-42.3,332.0,40.9,1.9,1.901
ETHUSDT,H4,FAIBLE,787,1.2784070141777693,-16.3,27.8,37.2,1.19,0.055
ETHUSDT,H4,MODERE,787,1.5752857140881016,-33.7,57.5,36.7,1.17,0.115
ETHUSDT,H4,AGRESSIF,669,2.4260604580504426,-46.8,142.6,35.6,1.22,0.236
ETHUSDT,H4,TRES_AGRESSIF,669,4.0237435279373255,-67.2,302.4,31.2,1.23,0.405
ETHUSDT,D1,FAIBLE,142,1.2491839437578058,-8.3,24.9,38.0,1.63,0.169
ETHUSDT,D1,MODERE,142,1.5861712363861926,-16.9,58.6,38.0,1.6,0.36
ETHUSDT,D1,AGRESSIF,116,2.1400919629077935,-26.7,114.0,38.8,1.72,0.737
ETHUSDT,D1,TRES_AGRESSIF,116,4.516993332247173,-42.5,351.7,35.3,1.79,1.566
BNBUSDT,H4,FAIBLE,759,1.1871907870271148,-18.0,18.7,35.4,1.16,0.049
BNBUSDT,H4,MODERE,759,1.2892362515116456,-35.5,28.9,34.8,1.14,0.095
BNBUSDT,H4,AGRESSIF,645,1.6918765768304644,-48.3,69.2,34.3,1.17,0.186
BNBUSDT,H4,TRES_AGRESSIF,645,1.912027162592904,-69.1,91.2,29.3,1.17,0.286
BNBUSDT,D1,FAIBLE,139,1.3103423050533,-5.9,31.0,44.6,1.79,0.209
BNBUSDT,D1,MODERE,139,1.7804111659895034,-13.3,78.0,43.2,1.77,0.457
BNBUSDT,D1,AGRESSIF,125,2.2091947943143078,-19.6,120.9,37.6,1.62,0.74
BNBUSDT,D1,TRES_AGRESSIF,125,5.04104465514277,-31.4,404.1,34.4,1.74,1.619
SOLUSDT,H4,FAIBLE,647,1.3730681380775376,-18.1,37.3,36.5,1.22,0.067
SOLUSDT,H4,MODERE,647,2.0409521654682377,-34.9,104.1,36.0,1.23,0.156
SOLUSDT,H4,AGRESSIF,550,3.197071943486028,-49.7,219.7,34.7,1.27,0.305
SOLUSDT,H4,TRES_AGRESSIF,550,6.569528982373612,-73.3,557.0,29.3,1.28,0.586
SOLUSDT,D1,FAIBLE,108,1.2471985191104538,-4.6,24.7,42.6,1.69,0.216
SOLUSDT,D1,MODERE,108,1.5986850725356276,-10.3,59.9,39.8,1.68,0.473
SOLUSDT,D1,AGRESSIF,98,2.0657834092256953,-18.8,106.6,42.9,1.74,0.831
SOLUSDT,D1,TRES_AGRESSIF,98,3.4265759669163773,-38.1,242.7,33.7,1.66,1.579
