symbol,tf,profile,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%
BTCUSDT,H4,FAIBLE,822,1.193814863583475,-15.2,19.4,43.7,1.18,0.053
BTCUSDT,H4,MODERE,822,1.6564341636515825,-29.8,65.6,43.7,1.2,0.129
BTCUSDT,H4,AGRESSIF,677,2.735156194721302,-41.9,173.5,41.1,1.26,0.251
BTCUSDT,H4,TRES_AGRESSIF,677,3.3662121954567024,-60.4,236.6,37.2,1.23,0.328
BTCUSDT,D1,FAIBLE,132,1.267893916682678,-7.1,26.8,54.5,1.84,0.194
BTCUSDT,D1,MODERE,132,1.802376793119232,-13.4,80.2,54.5,1.97,0.484
BTCUSDT,D1,AGRESSIF,106,2.6287871494443,-21.6,162.9,50.0,2.13,0.998
BTCUSDT,D1,TRES_AGRESSIF,106,4.307337337492334,-41.1,330.7,44.3,1.8,1.636
ETHUSDT,H4,FAIBLE,843,1.425149073456165,-14.3,42.5,44.1,1.25,0.065
ETHUSDT,H4,MODERE,843,2.3406562854346973,-26.0,134.1,44.1,1.26,0.155
ETHUSDT,H4,AGRESSIF,682,4.125536770112341,-37.9,312.6,40.2,1.3,0.306
ETHUSDT,H4,TRES_AGRESSIF,682,6.224976610541541,-59.6,522.5,35.8,1.26,0.452
ETHUSDT,D1,FAIBLE,159,1.1308003701318536,-6.9,13.1,44.0,1.36,0.088
ETHUSDT,D1,MODERE,159,1.390053696769226,-15.8,39.0,44.0,1.44,0.236
ETHUSDT,D1,AGRESSIF,135,1.6994244844207098,-25.6,69.9,40.0,1.48,0.458
ETHUSDT,D1,TRES_AGRESSIF,135,2.2003553781688554,-48.5,120.0,34.1,1.39,0.793
BNBUSDT,H4,FAIBLE,822,1.2377545693291871,-15.8,23.8,42.2,1.19,0.052
BNBUSDT,H4,MODERE,822,1.4972981407075272,-34.3,49.7,42.2,1.17,0.108
BNBUSDT,H4,AGRESSIF,691,1.4980617345144394,-47.8,49.8,37.8,1.15,0.155
BNBUSDT,H4,TRES_AGRESSIF,691,2.0852506954500996,-63.3,108.5,34.0,1.16,0.277
BNBUSDT,D1,FAIBLE,163,1.2158688080137543,-4.3,21.6,50.9,1.5,0.132
BNBUSDT,D1,MODERE,163,1.632221500259916,-9.8,63.2,50.9,1.59,0.334
BNBUSDT,D1,AGRESSIF,131,1.667339124146331,-18.4,66.7,41.2,1.4,0.47
BNBUSDT,D1,TRES_AGRESSIF,131,3.051436849857013,-33.8,205.1,38.9,1.49,1.096
SOLUSDT,H4,FAIBLE,708,1.306317465311129,-18.9,30.6,41.7,1.2,0.054
SOLUSDT,H4,MODERE,708,1.9020587815995769,-35.5,90.2,41.7,1.21,0.132
SOLUSDT,H4,AGRESSIF,574,3.3003868348596943,-45.4,230.0,37.5,1.27,0.293
SOLUSDT,H4,TRES_AGRESSIF,574,4.654209412861715,-71.8,365.4,32.4,1.23,0.487
SOLUSDT,D1,FAIBLE,115,1.2586058153581217,-5.0,25.9,50.4,1.77,0.21
SOLUSDT,D1,MODERE,115,1.7272040881504678,-10.5,72.7,50.4,1.84,0.507
SOLUSDT,D1,AGRESSIF,103,2.1191216945061293,-17.8,111.9,48.5,1.79,0.803
SOLUSDT,D1,TRES_AGRESSIF,103,3.1542097330465495,-37.9,215.4,39.8,1.59,1.375
