symbol,profile,variant,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,baseline_v7 (sans_fibonacci),504,-9.1,23.1,42.7,1.6
BTCUSDT,FAIBLE,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",167,-7.0,-6.5,37.7,0.72
BTCUSDT,FAIBLE,"fib_optimal [23%,50%] (entree_fraiche_seule)",159,-7.1,-6.7,37.1,0.71
BTCUSDT,FAIBLE,"fib_favorable_incl_pyramide [23%,61.8%]",143,-7.6,-7.5,36.4,0.62
BTCUSDT,MODERE,baseline_v7 (sans_fibonacci),504,-13.4,61.0,42.7,1.77
BTCUSDT,MODERE,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",167,-12.8,-11.3,37.7,0.7
BTCUSDT,MODERE,"fib_optimal [23%,50%] (entree_fraiche_seule)",159,-13.1,-11.6,37.1,0.68
BTCUSDT,MODERE,"fib_favorable_incl_pyramide [23%,61.8%]",143,-13.0,-12.6,36.4,0.6
BTCUSDT,AGRESSIF,baseline_v7 (sans_fibonacci),504,-14.7,115.8,42.7,2.01
BTCUSDT,AGRESSIF,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",167,-14.0,-11.2,37.7,0.76
BTCUSDT,AGRESSIF,"fib_optimal [23%,50%] (entree_fraiche_seule)",159,-14.4,-11.6,37.1,0.74
BTCUSDT,AGRESSIF,"fib_favorable_incl_pyramide [23%,61.8%]",143,-13.4,-12.8,36.4,0.66
BTCUSDT,TRES_AGRESSIF,baseline_v7 (sans_fibonacci),504,-22.4,157.1,42.3,2.09
BTCUSDT,TRES_AGRESSIF,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",167,-13.7,-10.7,37.7,0.81
BTCUSDT,TRES_AGRESSIF,"fib_optimal [23%,50%] (entree_fraiche_seule)",159,-14.1,-11.2,37.1,0.79
BTCUSDT,TRES_AGRESSIF,"fib_favorable_incl_pyramide [23%,61.8%]",143,-13.5,-12.9,36.4,0.69
