symbol,tf,profile,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%
BTCUSDT,H4,FAIBLE,1075,1.1765401969524498,-20.7,17.7,54.0,1.18,0.046
BTCUSDT,H4,MODERE,1075,1.5073296257657325,-36.8,50.7,54.0,1.2,0.102
BTCUSDT,H4,AGRESSIF,1075,1.9186776577743074,-49.4,91.9,30.5,1.22,0.151
BTCUSDT,H4,TRES_AGRESSIF,677,3.3662121954567024,-60.4,236.6,37.2,1.23,0.328
BTCUSDT,D1,FAIBLE,183,1.301661920843055,-9.3,30.2,58.5,1.75,0.157
BTCUSDT,D1,MODERE,183,1.8049429343340284,-17.5,80.5,58.5,1.85,0.357
BTCUSDT,D1,AGRESSIF,183,2.6627799617871832,-26.1,166.3,37.2,1.96,0.6
BTCUSDT,D1,TRES_AGRESSIF,106,4.307337337492334,-41.1,330.7,44.3,1.8,1.636
ETHUSDT,H4,FAIBLE,1142,1.1019313700168967,-25.1,10.2,53.2,1.12,0.031
ETHUSDT,H4,MODERE,1142,1.2885185520322482,-46.5,28.9,53.2,1.15,0.073
ETHUSDT,H4,AGRESSIF,1142,1.4310907283108387,-65.0,43.1,28.7,1.16,0.114
ETHUSDT,H4,TRES_AGRESSIF,682,6.224976610541541,-59.6,522.5,35.8,1.26,0.452
ETHUSDT,D1,FAIBLE,200,1.1452282636582636,-7.8,14.5,52.5,1.35,0.078
ETHUSDT,D1,MODERE,200,1.3835114345765487,-15.4,38.4,52.5,1.42,0.189
ETHUSDT,D1,AGRESSIF,200,1.7483727597697325,-21.9,74.8,31.0,1.49,0.331
ETHUSDT,D1,TRES_AGRESSIF,135,2.2003553781688554,-48.5,120.0,34.1,1.39,0.793
BNBUSDT,H4,FAIBLE,1126,1.0923998107567399,-20.2,9.2,52.9,1.13,0.034
BNBUSDT,H4,MODERE,1126,1.195972415839055,-37.6,19.6,52.9,1.14,0.072
BNBUSDT,H4,AGRESSIF,1126,1.3642233161608655,-49.7,36.4,28.9,1.16,0.111
BNBUSDT,H4,TRES_AGRESSIF,691,2.0852506954500996,-63.3,108.5,34.0,1.16,0.277
BNBUSDT,D1,FAIBLE,211,1.2624734182888142,-5.7,26.2,57.8,1.56,0.122
BNBUSDT,D1,MODERE,211,1.6413851124602035,-12.6,64.1,57.8,1.6,0.265
BNBUSDT,D1,AGRESSIF,211,2.163915605410157,-20.8,116.4,33.2,1.64,0.423
BNBUSDT,D1,TRES_AGRESSIF,131,3.051436849857013,-33.8,205.1,38.9,1.49,1.096
SOLUSDT,H4,FAIBLE,971,1.3438895819768097,-18.0,34.4,52.4,1.19,0.047
SOLUSDT,H4,MODERE,971,1.9638542634447997,-34.0,96.4,52.4,1.22,0.108
SOLUSDT,H4,AGRESSIF,971,3.1000118872616174,-46.6,210.0,28.6,1.25,0.184
SOLUSDT,H4,TRES_AGRESSIF,574,4.654209412861715,-71.8,365.4,32.4,1.23,0.487
SOLUSDT,D1,FAIBLE,151,1.2505482731424307,-5.6,25.1,54.3,1.63,0.157
SOLUSDT,D1,MODERE,151,1.682031296374465,-10.9,68.2,54.3,1.74,0.372
SOLUSDT,D1,AGRESSIF,151,2.349809641061127,-15.2,135.0,35.8,1.83,0.622
SOLUSDT,D1,TRES_AGRESSIF,103,3.1542097330465495,-37.9,215.4,39.8,1.59,1.375
