symbol,tf,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,417,-19.8,-6.9,31.7,1.04
BTCUSDT,H4,MODERE,417,-34.4,-5.9,29.0,1.09
BTCUSDT,H4,AGRESSIF,401,-43.1,-5.9,29.7,1.1
BTCUSDT,H4,TRES_AGRESSIF,401,-70.7,-26.4,25.9,1.08
BTCUSDT,D1,FAIBLE,62,-8.7,22.5,41.9,2.27
BTCUSDT,D1,MODERE,62,-16.0,64.2,41.9,2.66
BTCUSDT,D1,AGRESSIF,62,-21.9,106.8,41.9,2.72
BTCUSDT,D1,TRES_AGRESSIF,62,-32.4,266.1,41.9,3.02
ETHUSDT,H4,FAIBLE,468,-31.4,-8.0,27.8,1.02
ETHUSDT,H4,MODERE,468,-53.4,-13.6,24.1,1.04
ETHUSDT,H4,AGRESSIF,411,-72.1,-36.3,25.3,0.99
ETHUSDT,H4,TRES_AGRESSIF,411,-85.9,-27.1,23.6,1.08
ETHUSDT,D1,FAIBLE,98,-9.9,10.1,20.4,1.42
ETHUSDT,D1,MODERE,98,-18.9,30.8,20.4,1.61
ETHUSDT,D1,AGRESSIF,98,-27.1,57.0,20.4,1.72
ETHUSDT,D1,TRES_AGRESSIF,98,-41.2,165.7,20.4,2.03
BNBUSDT,H4,FAIBLE,383,-15.5,18.0,29.2,1.26
BNBUSDT,H4,MODERE,383,-32.3,31.1,25.8,1.25
BNBUSDT,H4,AGRESSIF,361,-39.4,31.3,26.9,1.21
BNBUSDT,H4,TRES_AGRESSIF,361,-49.1,75.1,25.2,1.29
BNBUSDT,D1,FAIBLE,72,-6.6,16.5,29.2,1.87
BNBUSDT,D1,MODERE,72,-15.8,40.3,26.4,1.98
BNBUSDT,D1,AGRESSIF,21,-11.4,20.1,38.1,2.46
BNBUSDT,D1,TRES_AGRESSIF,21,-16.8,47.0,38.1,3.0
SOLUSDT,H4,FAIBLE,346,-12.0,52.3,25.7,1.53
SOLUSDT,H4,MODERE,346,-24.2,144.8,21.7,1.6
SOLUSDT,H4,AGRESSIF,287,-38.0,83.0,22.0,1.37
SOLUSDT,H4,TRES_AGRESSIF,287,-52.4,219.5,20.6,1.47
SOLUSDT,D1,FAIBLE,62,-10.8,41.6,33.9,3.32
SOLUSDT,D1,MODERE,62,-23.7,99.7,30.6,3.47
SOLUSDT,D1,AGRESSIF,62,-37.6,156.8,29.0,3.24
SOLUSDT,D1,TRES_AGRESSIF,62,-52.3,444.4,29.0,3.92
