symbol,tf,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,793,-46.5,10.0,32.7,1.14
BTCUSDT,H4,MODERE,793,-66.5,40.8,29.3,1.2
BTCUSDT,H4,AGRESSIF,793,-74.3,91.7,29.1,1.26
BTCUSDT,H4,TRES_AGRESSIF,793,-77.1,160.8,25.9,1.35
BTCUSDT,D1,FAIBLE,37,-5.9,-4.9,24.3,0.51
BTCUSDT,D1,MODERE,37,-12.9,-9.9,24.3,0.53
BTCUSDT,D1,AGRESSIF,37,-19.9,-13.5,24.3,0.58
BTCUSDT,D1,TRES_AGRESSIF,37,-30.8,-18.6,13.5,0.59
ETHUSDT,H4,FAIBLE,943,-46.6,35.5,27.3,1.19
ETHUSDT,H4,MODERE,943,-65.1,174.9,24.7,1.32
ETHUSDT,H4,AGRESSIF,943,-65.8,405.8,24.6,1.4
ETHUSDT,H4,TRES_AGRESSIF,943,-67.3,985.1,22.1,1.53
ETHUSDT,D1,FAIBLE,81,-8.1,2.2,38.3,1.15
ETHUSDT,D1,MODERE,81,-16.4,6.6,38.3,1.2
ETHUSDT,D1,AGRESSIF,81,-24.2,12.8,38.3,1.25
ETHUSDT,D1,TRES_AGRESSIF,81,-36.8,45.7,28.4,1.48
BNBUSDT,H4,FAIBLE,732,-28.5,74.3,31.3,1.39
BNBUSDT,H4,MODERE,732,-41.0,286.4,28.3,1.57
BNBUSDT,H4,AGRESSIF,732,-47.5,686.3,28.3,1.68
BNBUSDT,H4,TRES_AGRESSIF,732,-55.3,1619.4,25.4,1.86
BNBUSDT,D1,FAIBLE,79,-4.7,20.6,50.6,2.65
BNBUSDT,D1,MODERE,79,-9.3,53.5,50.6,2.9
BNBUSDT,D1,AGRESSIF,79,-13.4,101.4,50.6,3.1
BNBUSDT,D1,TRES_AGRESSIF,79,-20.1,315.8,44.3,3.85
SOLUSDT,H4,FAIBLE,732,-29.2,145.7,29.9,1.55
SOLUSDT,H4,MODERE,732,-49.9,315.7,26.0,1.48
SOLUSDT,H4,AGRESSIF,732,-61.0,624.3,25.7,1.49
SOLUSDT,H4,TRES_AGRESSIF,732,-65.7,3017.9,22.3,1.71
SOLUSDT,D1,FAIBLE,40,-6.0,-0.5,25.0,0.96
SOLUSDT,D1,MODERE,40,-12.5,0.2,25.0,1.04
SOLUSDT,D1,AGRESSIF,40,-19.1,0.6,25.0,1.06
SOLUSDT,D1,TRES_AGRESSIF,40,-28.1,14.8,25.0,1.41
