symbol,tf,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,1784,-65.0,-51.7,28.4,0.85
BTCUSDT,H4,MODERE,1784,-73.6,-46.5,27.9,0.96
BTCUSDT,H4,AGRESSIF,1784,-76.8,-37.9,27.9,1.02
BTCUSDT,H4,TRES_AGRESSIF,1784,-76.4,-29.5,27.5,1.05
BTCUSDT,D1,FAIBLE,20,-3.5,-3.4,30.0,0.33
BTCUSDT,D1,MODERE,20,-7.0,-6.8,30.0,0.21
BTCUSDT,D1,AGRESSIF,20,-8.9,-8.5,30.0,0.18
BTCUSDT,D1,TRES_AGRESSIF,20,-11.8,-11.2,30.0,0.16
ETHUSDT,H4,FAIBLE,1808,-66.6,-53.9,28.0,0.83
ETHUSDT,H4,MODERE,1808,-79.7,-61.4,27.4,0.89
ETHUSDT,H4,AGRESSIF,1808,-82.5,-53.9,27.4,0.96
ETHUSDT,H4,TRES_AGRESSIF,1808,-83.9,-50.4,26.5,1.0
ETHUSDT,D1,FAIBLE,46,-3.7,0.1,34.8,1.06
ETHUSDT,D1,MODERE,46,-5.7,2.2,34.8,1.26
ETHUSDT,D1,AGRESSIF,46,-8.1,5.1,34.8,1.4
ETHUSDT,D1,TRES_AGRESSIF,46,-10.3,18.0,34.8,1.86
BNBUSDT,H4,FAIBLE,1774,-63.9,-59.4,30.2,0.77
BNBUSDT,H4,MODERE,1774,-76.1,-69.1,29.4,0.83
BNBUSDT,H4,AGRESSIF,1774,-81.3,-72.8,29.4,0.85
BNBUSDT,H4,TRES_AGRESSIF,1774,-82.1,-59.3,29.3,0.96
BNBUSDT,D1,FAIBLE,18,-5.2,-5.1,5.6,0.01
BNBUSDT,D1,MODERE,18,-10.1,-9.8,5.6,0.01
BNBUSDT,D1,AGRESSIF,18,-14.0,-13.7,5.6,0.01
BNBUSDT,D1,TRES_AGRESSIF,18,-19.3,-18.7,5.6,0.02
SOLUSDT,H4,FAIBLE,1535,-56.2,-45.8,28.9,0.85
SOLUSDT,H4,MODERE,1535,-69.5,-47.2,28.0,0.94
SOLUSDT,H4,AGRESSIF,1535,-76.2,-34.8,28.0,1.02
SOLUSDT,H4,TRES_AGRESSIF,1535,-84.7,31.1,27.4,1.16
SOLUSDT,D1,FAIBLE,19,-3.4,-3.3,26.3,0.19
SOLUSDT,D1,MODERE,19,-5.8,-5.7,26.3,0.21
SOLUSDT,D1,AGRESSIF,19,-8.2,-8.0,26.3,0.22
SOLUSDT,D1,TRES_AGRESSIF,19,-11.1,-10.8,26.3,0.25
