symbol,tf,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,1400,-14.4,79.4,41.0,1.52
BTCUSDT,H4,MODERE,1400,-27.3,219.8,40.3,1.61
BTCUSDT,H4,AGRESSIF,1400,-36.9,338.5,40.3,1.64
BTCUSDT,H4,TRES_AGRESSIF,1400,-37.8,449.6,39.6,1.69
BTCUSDT,D1,FAIBLE,30,-4.5,-4.1,16.7,0.31
BTCUSDT,D1,MODERE,30,-8.7,-7.8,16.7,0.33
BTCUSDT,D1,AGRESSIF,30,-12.4,-10.8,16.7,0.36
BTCUSDT,D1,TRES_AGRESSIF,30,-19.2,-16.6,13.3,0.36
ETHUSDT,H4,FAIBLE,1405,-15.1,35.0,36.9,1.29
ETHUSDT,H4,MODERE,1405,-26.2,96.9,36.2,1.34
ETHUSDT,H4,AGRESSIF,1405,-33.3,205.1,36.2,1.42
ETHUSDT,H4,TRES_AGRESSIF,1405,-38.3,240.9,35.1,1.42
ETHUSDT,D1,FAIBLE,43,-3.9,-1.4,34.9,0.74
ETHUSDT,D1,MODERE,43,-4.7,-1.8,34.9,0.83
ETHUSDT,D1,AGRESSIF,43,-6.1,-2.5,34.9,0.84
ETHUSDT,D1,TRES_AGRESSIF,43,-9.8,-7.4,30.2,0.62
BNBUSDT,H4,FAIBLE,1408,-18.0,37.9,41.1,1.32
BNBUSDT,H4,MODERE,1408,-31.7,67.1,40.3,1.31
BNBUSDT,H4,AGRESSIF,1408,-38.1,89.5,40.3,1.31
BNBUSDT,H4,TRES_AGRESSIF,1408,-40.3,240.8,40.1,1.45
BNBUSDT,D1,FAIBLE,39,-2.2,10.3,59.0,4.16
BNBUSDT,D1,MODERE,39,-4.4,22.8,59.0,4.33
BNBUSDT,D1,AGRESSIF,39,-6.3,36.6,59.0,4.39
BNBUSDT,D1,TRES_AGRESSIF,39,-18.5,56.6,46.2,3.34
SOLUSDT,H4,FAIBLE,1234,-19.3,141.4,39.6,1.69
SOLUSDT,H4,MODERE,1234,-30.1,455.7,38.9,1.73
SOLUSDT,H4,AGRESSIF,1234,-36.1,1040.8,38.9,1.77
SOLUSDT,H4,TRES_AGRESSIF,1234,-48.9,4284.2,38.3,1.98
SOLUSDT,D1,FAIBLE,19,-3.2,-2.4,42.1,0.22
SOLUSDT,D1,MODERE,19,-5.9,-4.3,42.1,0.23
SOLUSDT,D1,AGRESSIF,19,-8.0,-6.0,42.1,0.21
SOLUSDT,D1,TRES_AGRESSIF,19,-11.1,-8.2,42.1,0.21
