symbol,tf,profile,gate,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,avec_regime,1028,-14.8,50.2,40.4,1.52
BTCUSDT,H4,FAIBLE,sans_regime,1402,-14.8,81.8,39.4,1.52
BTCUSDT,H4,MODERE,avec_regime,1028,-27.1,132.1,39.7,1.63
BTCUSDT,H4,MODERE,sans_regime,1402,-26.5,236.7,38.7,1.63
BTCUSDT,H4,AGRESSIF,avec_regime,1028,-37.2,171.9,39.7,1.61
BTCUSDT,H4,AGRESSIF,sans_regime,1402,-35.8,354.8,38.7,1.65
BTCUSDT,H4,TRES_AGRESSIF,avec_regime,1028,-41.0,234.7,39.2,1.67
BTCUSDT,H4,TRES_AGRESSIF,sans_regime,1402,-41.8,437.3,37.9,1.67
BTCUSDT,D1,FAIBLE,avec_regime,13,-1.5,-1.4,30.8,0.11
BTCUSDT,D1,FAIBLE,sans_regime,17,-3.0,-2.7,23.5,0.06
BTCUSDT,D1,MODERE,avec_regime,13,-3.0,-2.7,30.8,0.12
BTCUSDT,D1,MODERE,sans_regime,17,-6.4,-6.0,23.5,0.05
BTCUSDT,D1,AGRESSIF,avec_regime,13,-3.9,-3.5,30.8,0.13
BTCUSDT,D1,AGRESSIF,sans_regime,17,-9.7,-9.1,23.5,0.05
BTCUSDT,D1,TRES_AGRESSIF,avec_regime,13,-5.5,-4.8,30.8,0.15
BTCUSDT,D1,TRES_AGRESSIF,sans_regime,17,-14.4,-13.5,23.5,0.06
ETHUSDT,H4,FAIBLE,avec_regime,997,-12.1,60.2,38.8,1.55
ETHUSDT,H4,FAIBLE,sans_regime,1363,-12.6,88.2,37.1,1.49
ETHUSDT,H4,MODERE,avec_regime,997,-18.6,163.4,38.5,1.65
ETHUSDT,H4,MODERE,sans_regime,1363,-24.4,211.9,36.3,1.51
ETHUSDT,H4,AGRESSIF,avec_regime,997,-21.7,359.4,38.5,1.79
ETHUSDT,H4,AGRESSIF,sans_regime,1363,-32.1,417.5,36.3,1.57
ETHUSDT,H4,TRES_AGRESSIF,avec_regime,997,-32.5,541.2,37.1,1.86
ETHUSDT,H4,TRES_AGRESSIF,sans_regime,1363,-38.5,552.8,35.1,1.59
ETHUSDT,D1,FAIBLE,avec_regime,30,-2.1,1.5,36.7,1.75
ETHUSDT,D1,FAIBLE,sans_regime,50,-1.9,4.1,42.0,1.95
ETHUSDT,D1,MODERE,avec_regime,30,-4.1,4.0,36.7,1.97
ETHUSDT,D1,MODERE,sans_regime,50,-4.2,10.7,42.0,2.21
ETHUSDT,D1,AGRESSIF,avec_regime,30,-6.0,7.0,36.7,2.11
ETHUSDT,D1,AGRESSIF,sans_regime,50,-6.9,19.7,42.0,2.47
ETHUSDT,D1,TRES_AGRESSIF,avec_regime,30,-11.5,13.1,33.3,2.25
ETHUSDT,D1,TRES_AGRESSIF,sans_regime,50,-12.9,41.6,38.0,2.92
BNBUSDT,H4,FAIBLE,avec_regime,1009,-13.1,16.3,40.6,1.25
BNBUSDT,H4,FAIBLE,sans_regime,1399,-17.2,46.3,41.2,1.37
BNBUSDT,H4,MODERE,avec_regime,1009,-22.7,34.5,39.7,1.26
BNBUSDT,H4,MODERE,sans_regime,1399,-25.4,79.9,40.3,1.34
BNBUSDT,H4,AGRESSIF,avec_regime,1009,-28.1,61.4,39.7,1.31
BNBUSDT,H4,AGRESSIF,sans_regime,1399,-31.7,121.8,40.3,1.36
BNBUSDT,H4,TRES_AGRESSIF,avec_regime,1009,-30.6,177.9,39.2,1.49
