symbol,tf,profile,gate,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,avec_regime,1037,-13.6,47.7,41.3,1.5
BTCUSDT,H4,FAIBLE,sans_regime,1400,-14.4,79.4,41.0,1.52
BTCUSDT,H4,MODERE,avec_regime,1037,-26.6,104.3,40.6,1.55
BTCUSDT,H4,MODERE,sans_regime,1400,-27.3,219.8,40.3,1.61
BTCUSDT,H4,AGRESSIF,avec_regime,1037,-37.3,128.6,40.6,1.52
BTCUSDT,H4,AGRESSIF,sans_regime,1400,-36.9,338.5,40.3,1.64
BTCUSDT,H4,TRES_AGRESSIF,avec_regime,1037,-37.7,200.9,40.2,1.61
BTCUSDT,H4,TRES_AGRESSIF,sans_regime,1400,-37.8,449.6,39.6,1.69
BTCUSDT,D1,FAIBLE,avec_regime,22,-3.2,-2.3,22.7,0.45
BTCUSDT,D1,FAIBLE,sans_regime,30,-4.5,-4.1,16.7,0.31
BTCUSDT,D1,MODERE,avec_regime,22,-6.2,-4.3,22.7,0.48
BTCUSDT,D1,MODERE,sans_regime,30,-8.7,-7.8,16.7,0.33
BTCUSDT,D1,AGRESSIF,avec_regime,22,-8.7,-5.7,22.7,0.53
BTCUSDT,D1,AGRESSIF,sans_regime,30,-12.4,-10.8,16.7,0.36
BTCUSDT,D1,TRES_AGRESSIF,avec_regime,22,-13.5,-9.4,18.2,0.51
BTCUSDT,D1,TRES_AGRESSIF,sans_regime,30,-19.2,-16.6,13.3,0.36
ETHUSDT,H4,FAIBLE,avec_regime,1025,-11.2,32.3,37.8,1.36
ETHUSDT,H4,FAIBLE,sans_regime,1405,-15.1,35.0,36.9,1.29
ETHUSDT,H4,MODERE,avec_regime,1025,-19.4,93.6,37.6,1.46
ETHUSDT,H4,MODERE,sans_regime,1405,-26.2,96.9,36.2,1.34
ETHUSDT,H4,AGRESSIF,avec_regime,1025,-20.6,208.4,37.6,1.59
ETHUSDT,H4,AGRESSIF,sans_regime,1405,-33.3,205.1,36.2,1.42
ETHUSDT,H4,TRES_AGRESSIF,avec_regime,1025,-30.8,290.9,36.3,1.64
ETHUSDT,H4,TRES_AGRESSIF,sans_regime,1405,-38.3,240.9,35.1,1.42
ETHUSDT,D1,FAIBLE,avec_regime,34,-3.2,0.4,38.2,1.23
ETHUSDT,D1,FAIBLE,sans_regime,43,-3.9,-1.4,34.9,0.74
ETHUSDT,D1,MODERE,avec_regime,34,-4.7,1.0,38.2,1.26
ETHUSDT,D1,MODERE,sans_regime,43,-4.7,-1.8,34.9,0.83
ETHUSDT,D1,AGRESSIF,avec_regime,34,-6.0,1.3,38.2,1.24
ETHUSDT,D1,AGRESSIF,sans_regime,43,-6.1,-2.5,34.9,0.84
ETHUSDT,D1,TRES_AGRESSIF,avec_regime,34,-10.3,-3.5,32.4,0.78
ETHUSDT,D1,TRES_AGRESSIF,sans_regime,43,-9.8,-7.4,30.2,0.62
BNBUSDT,H4,FAIBLE,avec_regime,1031,-18.5,9.2,40.3,1.19
BNBUSDT,H4,FAIBLE,sans_regime,1408,-18.0,37.9,41.1,1.32
BNBUSDT,H4,MODERE,avec_regime,1031,-30.3,30.1,39.6,1.24
BNBUSDT,H4,MODERE,sans_regime,1408,-31.7,67.1,40.3,1.31
BNBUSDT,H4,AGRESSIF,avec_regime,1031,-38.0,47.2,39.6,1.26
BNBUSDT,H4,AGRESSIF,sans_regime,1408,-38.1,89.5,40.3,1.31
BNBUSDT,H4,TRES_AGRESSIF,avec_regime,1031,-43.2,134.5,39.1,1.42
BNBUSDT,H4,TRES_AGRESSIF,sans_regime,1408,-40.3,240.8,40.1,1.45
BNBUSDT,D1,FAIBLE,avec_regime,28,-1.6,7.4,50.0,3.7
BNBUSDT,D1,FAIBLE,sans_regime,39,-2.2,10.3,59.0,4.16
BNBUSDT,D1,MODERE,avec_regime,28,-3.2,16.5,50.0,3.91
BNBUSDT,D1,MODERE,sans_regime,39,-4.4,22.8,59.0,4.33
BNBUSDT,D1,AGRESSIF,avec_regime,28,-4.7,25.4,50.0,3.89
BNBUSDT,D1,AGRESSIF,sans_regime,39,-6.3,36.6,59.0,4.39
BNBUSDT,D1,TRES_AGRESSIF,avec_regime,28,-7.8,50.3,46.4,4.19
BNBUSDT,D1,TRES_AGRESSIF,sans_regime,39,-18.5,56.6,46.2,3.34
SOLUSDT,H4,FAIBLE,avec_regime,877,-12.0,121.2,41.2,1.92
SOLUSDT,H4,FAIBLE,sans_regime,1234,-19.3,141.4,39.6,1.69
SOLUSDT,H4,MODERE,avec_regime,877,-22.1,312.3,40.3,1.89
SOLUSDT,H4,MODERE,sans_regime,1234,-30.1,455.7,38.9,1.73
SOLUSDT,H4,AGRESSIF,avec_regime,877,-32.7,681.4,40.3,1.94
SOLUSDT,H4,AGRESSIF,sans_regime,1234,-36.1,1040.8,38.9,1.77
SOLUSDT,H4,TRES_AGRESSIF,avec_regime,877,-39.7,1984.2,39.5,2.13
SOLUSDT,H4,TRES_AGRESSIF,sans_regime,1234,-48.9,4284.2,38.3,1.98
SOLUSDT,D1,FAIBLE,avec_regime,16,-3.0,-2.0,43.8,0.25
SOLUSDT,D1,FAIBLE,sans_regime,19,-3.2,-2.4,42.1,0.22
SOLUSDT,D1,MODERE,avec_regime,16,-5.4,-3.6,43.8,0.27
SOLUSDT,D1,MODERE,sans_regime,19,-5.9,-4.3,42.1,0.23
SOLUSDT,D1,AGRESSIF,avec_regime,16,-7.2,-4.8,43.8,0.25
SOLUSDT,D1,AGRESSIF,sans_regime,19,-8.0,-6.0,42.1,0.21
SOLUSDT,D1,TRES_AGRESSIF,avec_regime,16,-10.2,-6.7,43.8,0.25
SOLUSDT,D1,TRES_AGRESSIF,sans_regime,19,-11.1,-8.2,42.1,0.21
