symbol,profile,gate,stop,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,504,-9.1,23.1,42.7,1.6
BTCUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1402,-14.8,81.8,39.4,1.52
BTCUSDT,FAIBLE,H4_valide_par_D1,D1_reel,505,-3.1,15.5,42.4,2.02
BTCUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,504,-13.4,61.0,42.7,1.77
BTCUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1402,-26.5,236.7,38.7,1.63
BTCUSDT,MODERE,H4_valide_par_D1,D1_reel,505,-6.3,33.7,42.4,2.04
BTCUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,504,-14.7,115.8,42.7,2.01
BTCUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1402,-35.8,354.8,38.7,1.65
BTCUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,505,-8.4,55.8,42.4,2.08
BTCUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,504,-22.4,157.1,42.3,2.09
BTCUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1402,-41.8,437.3,37.9,1.67
BTCUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,505,-17.3,92.0,42.0,2.06
ETHUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,417,-6.1,55.2,45.6,2.4
ETHUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1363,-12.6,88.2,37.1,1.49
ETHUSDT,FAIBLE,H4_valide_par_D1,D1_reel,418,-2.8,20.9,45.0,2.41
ETHUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,417,-11.7,139.0,45.3,2.44
ETHUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1363,-24.4,211.9,36.3,1.51
ETHUSDT,MODERE,H4_valide_par_D1,D1_reel,418,-5.2,56.4,45.0,2.64
ETHUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,417,-16.6,249.4,45.3,2.5
ETHUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1363,-32.1,417.5,36.3,1.57
ETHUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,418,-8.4,109.9,45.0,2.78
ETHUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,417,-33.6,355.4,43.6,2.47
ETHUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1363,-38.5,552.8,35.1,1.59
ETHUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,418,-18.3,220.6,43.3,2.79
BNBUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,544,-12.6,17.0,42.1,1.41
BNBUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1399,-17.2,46.3,41.2,1.37
BNBUSDT,FAIBLE,H4_valide_par_D1,D1_reel,543,-5.6,7.0,41.8,1.4
BNBUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,544,-20.1,26.6,41.4,1.35
BNBUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1399,-25.4,79.9,40.3,1.34
BNBUSDT,MODERE,H4_valide_par_D1,D1_reel,543,-10.8,11.8,41.8,1.33
BNBUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,544,-23.5,32.6,41.4,1.32
BNBUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1399,-31.7,121.8,40.3,1.36
BNBUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,543,-15.9,17.9,41.8,1.31
BNBUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,544,-31.9,57.3,40.4,1.42
BNBUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1399,-33.7,330.3,40.2,1.52
BNBUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,543,-24.9,24.7,40.9,1.3
SOLUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,361,-8.7,24.5,41.6,1.82
SOLUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1239,-21.2,182.0,38.8,1.79
SOLUSDT,FAIBLE,H4_valide_par_D1,D1_reel,361,-3.6,6.9,41.0,1.54
SOLUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,361,-17.9,63.0,41.3,1.92
SOLUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1239,-35.8,603.8,37.9,1.81
SOLUSDT,MODERE,H4_valide_par_D1,D1_reel,361,-8.6,16.4,41.0,1.59
SOLUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,361,-24.2,120.2,41.3,2.03
SOLUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1239,-46.9,1328.3,37.9,1.82
SOLUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,361,-13.0,29.4,41.0,1.66
SOLUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,361,-42.7,228.2,40.4,2.15
SOLUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1239,-53.1,4093.3,37.0,1.96
SOLUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,361,-26.3,58.2,40.2,1.72
