symbol,profile,mode,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,none,1400,-14.4,79.4,41.0,1.52
BTCUSDT,FAIBLE,andrews_permanent,993,-10.0,36.1,41.2,1.52
BTCUSDT,FAIBLE,andrews_contextual,1419,-14.5,72.9,41.6,1.49
BTCUSDT,MODERE,none,1400,-27.3,219.8,40.3,1.61
BTCUSDT,MODERE,andrews_permanent,993,-16.4,62.5,40.8,1.49
BTCUSDT,MODERE,andrews_contextual,1419,-22.8,201.1,40.9,1.59
BTCUSDT,AGRESSIF,none,1400,-36.9,338.5,40.3,1.64
BTCUSDT,AGRESSIF,andrews_permanent,993,-20.9,81.2,40.8,1.49
BTCUSDT,AGRESSIF,andrews_contextual,1419,-29.6,333.0,40.9,1.64
BTCUSDT,TRES_AGRESSIF,none,1400,-37.8,449.6,39.6,1.69
BTCUSDT,TRES_AGRESSIF,andrews_permanent,993,-25.0,145.3,40.7,1.63
BTCUSDT,TRES_AGRESSIF,andrews_contextual,1419,-30.7,474.7,40.4,1.71
ETHUSDT,FAIBLE,none,1405,-15.1,35.0,36.9,1.29
ETHUSDT,FAIBLE,andrews_permanent,1004,-16.7,-9.5,39.0,1.03
ETHUSDT,FAIBLE,andrews_contextual,1407,-14.9,24.0,37.2,1.24
ETHUSDT,MODERE,none,1405,-26.2,96.9,36.2,1.34
ETHUSDT,MODERE,andrews_permanent,1004,-29.4,-17.3,38.8,1.01
ETHUSDT,MODERE,andrews_contextual,1407,-25.3,72.9,36.5,1.3
ETHUSDT,AGRESSIF,none,1405,-33.3,205.1,36.2,1.42
ETHUSDT,AGRESSIF,andrews_permanent,1004,-39.6,-21.9,38.8,1.01
ETHUSDT,AGRESSIF,andrews_contextual,1407,-32.3,151.9,36.5,1.36
ETHUSDT,TRES_AGRESSIF,none,1405,-38.3,240.9,35.1,1.42
ETHUSDT,TRES_AGRESSIF,andrews_permanent,1004,-50.1,-21.7,38.5,1.03
ETHUSDT,TRES_AGRESSIF,andrews_contextual,1407,-38.3,176.9,35.5,1.36
BNBUSDT,FAIBLE,none,1408,-18.0,37.9,41.1,1.32
BNBUSDT,FAIBLE,andrews_permanent,980,-12.7,12.5,43.4,1.26
BNBUSDT,FAIBLE,andrews_contextual,1470,-19.9,32.7,41.6,1.3
BNBUSDT,MODERE,none,1408,-31.7,67.1,40.3,1.31
BNBUSDT,MODERE,andrews_permanent,980,-21.9,24.0,43.2,1.27
BNBUSDT,MODERE,andrews_contextual,1470,-30.5,62.2,41.0,1.3
BNBUSDT,AGRESSIF,none,1408,-38.1,89.5,40.3,1.31
BNBUSDT,AGRESSIF,andrews_permanent,980,-27.8,34.9,43.2,1.28
BNBUSDT,AGRESSIF,andrews_contextual,1470,-39.5,89.0,41.0,1.31
BNBUSDT,TRES_AGRESSIF,none,1408,-40.3,240.8,40.1,1.45
BNBUSDT,TRES_AGRESSIF,andrews_permanent,980,-31.4,81.4,42.9,1.4
BNBUSDT,TRES_AGRESSIF,andrews_contextual,1470,-42.4,226.2,40.7,1.44
SOLUSDT,FAIBLE,none,1234,-19.3,141.4,39.6,1.69
SOLUSDT,FAIBLE,andrews_permanent,809,-15.6,8.7,40.7,1.18
SOLUSDT,FAIBLE,andrews_contextual,1264,-19.2,78.7,40.2,1.48
SOLUSDT,MODERE,none,1234,-30.1,455.7,38.9,1.73
SOLUSDT,MODERE,andrews_permanent,809,-31.7,11.1,39.9,1.15
SOLUSDT,MODERE,andrews_contextual,1264,-29.6,247.3,39.5,1.55
SOLUSDT,AGRESSIF,none,1234,-36.1,1040.8,38.9,1.77
SOLUSDT,AGRESSIF,andrews_permanent,809,-46.0,8.5,39.9,1.13
SOLUSDT,AGRESSIF,andrews_contextual,1264,-35.8,568.2,39.5,1.61
SOLUSDT,TRES_AGRESSIF,none,1234,-48.9,4284.2,38.3,1.98
SOLUSDT,TRES_AGRESSIF,andrews_permanent,809,-52.4,28.4,39.7,1.19
SOLUSDT,TRES_AGRESSIF,andrews_contextual,1264,-49.6,2237.8,38.9,1.83
