symbol,profile,year,n_bars,d1_channel_coverage_%,ema_atr_d1_n_trades,ema_atr_d1_max_dd_%,ema_atr_d1_total_return_%,ema_atr_d1_win_rate_%,ema_atr_d1_profit_factor,manual_channel_d1_n_trades,manual_channel_d1_max_dd_%,manual_channel_d1_total_return_%,manual_channel_d1_win_rate_%,manual_channel_d1_profit_factor
BTCUSDT,FAIBLE,2019,686,99.61,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,FAIBLE,2020,2196,99.61,60,-1.5,5.8,61.7,3.85,68,-3.4,12.0,50.0,5.07
BTCUSDT,FAIBLE,2021,2190,99.61,63,-0.8,0.1,47.6,1.18,65,-2.8,-0.1,43.1,1.13
BTCUSDT,FAIBLE,2022,2190,99.61,4,-0.2,-0.2,25.0,0.04,4,-0.2,-0.2,25.0,0.04
BTCUSDT,FAIBLE,2023,2190,99.61,57,-1.6,-0.1,28.1,1.04,73,-6.4,-3.2,23.3,0.74
BTCUSDT,FAIBLE,2024,2196,99.61,74,-1.9,-0.9,31.1,0.83,83,-6.6,-4.3,30.1,0.63
BTCUSDT,FAIBLE,2025,2190,99.61,18,-1.0,-0.6,22.2,0.47,24,-1.9,-0.3,12.5,1.2
BTCUSDT,FAIBLE,2026,1522,99.61,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,MODERE,2019,686,99.61,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,MODERE,2020,2196,99.61,60,-2.7,14.6,61.7,5.39,68,-4.2,20.9,50.0,4.81
BTCUSDT,MODERE,2021,2190,99.61,63,-1.6,0.1,47.6,1.18,65,-4.7,0.3,43.1,1.18
BTCUSDT,MODERE,2022,2190,99.61,4,-0.3,-0.3,25.0,0.04,4,-0.3,-0.3,25.0,0.04
BTCUSDT,MODERE,2023,2190,99.61,57,-3.8,-0.5,28.1,1.01,73,-8.2,-4.9,23.3,0.67
BTCUSDT,MODERE,2024,2196,99.61,74,-3.6,-1.4,31.1,0.88,83,-10.9,-6.7,28.9,0.66
BTCUSDT,MODERE,2025,2190,99.61,18,-1.9,-1.2,22.2,0.47,24,-2.4,-0.7,12.5,0.94
BTCUSDT,MODERE,2026,1522,99.61,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,AGRESSIF,2019,686,99.61,0,0.0,0.0,,,0,0.0,0.0,,
BTCUSDT,AGRESSIF,2020,2196,99.61,60,-5.3,25.2,61.7,6.46,68,-6.7,31.8,50.0,5.12
BTCUSDT,AGRESSIF,2021,2190,99.61,63,-2.3,0.2,47.6,1.18,65,-6.9,0.5,43.1,1.17
BTCUSDT,AGRESSIF,2022,2190,99.61,4,-0.5,-0.5,25.0,0.04,4,-0.5,-0.5,25.0,0.04
BTCUSDT,AGRESSIF,2023,2190,99.61,57,-6.9,-1.2,28.1,0.97,73,-8.9,-5.4,20.5,0.68
BTCUSDT,AGRESSIF,2024,2196,99.61,74,-5.0,-1.4,31.1,0.95,83,-13.2,-8.3,28.9,0.67
