symbol,profile,unified_n_trades,unified_max_dd_%,unified_total_return_%,unified_win_rate_%,unified_profit_factor,unified_n_trend_campaigns_opened,faithful_n_trades,faithful_max_dd_%,faithful_total_return_%,faithful_win_rate_%,faithful_profit_factor
BTCUSDT,FAIBLE,276,-4.0,7.0,40.2,1.77,7,275,-3.0,5.8,40.0,1.65
BTCUSDT,MODERE,282,-6.3,15.4,39.4,1.75,7,275,-6.8,15.2,40.0,1.79
BTCUSDT,AGRESSIF,282,-10.1,27.0,39.4,1.79,7,275,-11.0,26.7,40.0,1.84
BTCUSDT,TRES_AGRESSIF,292,-18.3,25.7,37.7,1.43,7,285,-18.3,25.6,38.2,1.45
ETHUSDT,FAIBLE,272,-4.5,1.3,38.2,1.18,8,271,-3.8,3.3,38.4,1.41
ETHUSDT,MODERE,279,-10.2,4.9,37.3,1.28,8,271,-10.1,8.0,38.4,1.43
ETHUSDT,AGRESSIF,279,-18.5,6.9,37.3,1.25,8,271,-18.3,13.2,38.4,1.43
ETHUSDT,TRES_AGRESSIF,287,-28.3,15.7,35.5,1.32,8,279,-27.8,29.6,36.6,1.56
BNBUSDT,FAIBLE,279,-4.0,8.6,43.7,1.9,12,277,-3.8,8.3,43.7,1.87
BNBUSDT,MODERE,293,-10.8,10.2,41.3,1.42,16,277,-8.1,19.7,43.7,1.95
BNBUSDT,AGRESSIF,293,-19.3,12.3,41.3,1.33,16,277,-13.5,32.6,43.7,1.97
BNBUSDT,TRES_AGRESSIF,304,-29.4,24.0,39.8,1.37,16,288,-20.3,70.0,42.0,2.13
SOLUSDT,FAIBLE,160,-1.5,8.3,46.9,2.92,7,159,-1.5,8.3,46.5,2.92
SOLUSDT,MODERE,167,-5.5,13.1,44.3,1.91,8,159,-3.5,19.1,46.5,2.92
SOLUSDT,AGRESSIF,167,-9.7,19.2,44.3,1.76,8,159,-6.5,32.4,46.5,2.89
SOLUSDT,TRES_AGRESSIF,174,-19.1,35.9,41.4,1.8,8,166,-14.2,63.5,43.4,2.99
