symbol,profile,n_aligned_bars,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%
BTCUSDT,FAIBLE,16686,1516,1.015801066204056,-40.2,1.6,36.3,1.19,0.059
BTCUSDT,MODERE,16686,1516,1.1751246183955018,-53.6,17.5,35.8,1.19,0.096
BTCUSDT,AGRESSIF,16686,1305,2.177468642864356,-42.7,117.7,35.7,1.25,0.156
BTCUSDT,TRES_AGRESSIF,16686,1305,2.832790658056302,-42.5,183.3,31.1,1.25,0.185
ETHUSDT,FAIBLE,16300,1539,0.919813090545846,-50.6,-8.0,36.9,1.13,0.04
ETHUSDT,MODERE,16300,1539,0.8850879379388712,-72.0,-11.5,36.2,1.12,0.074
ETHUSDT,AGRESSIF,16300,1288,1.223183591568136,-74.0,22.3,36.3,1.14,0.119
ETHUSDT,TRES_AGRESSIF,16300,1288,1.1642714430243564,-76.4,16.4,30.2,1.13,0.133
BNBUSDT,FAIBLE,15826,1608,0.7251212910145424,-52.6,-27.5,37.6,1.09,0.029
BNBUSDT,MODERE,15826,1608,0.5383667347550258,-73.0,-46.2,37.0,1.07,0.043
BNBUSDT,AGRESSIF,15826,1348,0.7667577295607604,-75.9,-23.3,36.0,1.1,0.08
BNBUSDT,TRES_AGRESSIF,15826,1348,0.6757329326045269,-81.8,-32.4,29.2,1.09,0.092
SOLUSDT,FAIBLE,11993,1208,1.1958922579345228,-30.1,19.6,36.3,1.14,0.045
SOLUSDT,MODERE,11993,1208,1.2843784101462161,-52.0,28.4,35.8,1.13,0.089
SOLUSDT,AGRESSIF,11993,1028,1.6198702811390624,-60.8,62.0,34.8,1.14,0.154
SOLUSDT,TRES_AGRESSIF,11993,1028,2.0578682960838073,-63.2,105.8,29.5,1.15,0.244
