asset,profile,entry,val_px,conf_px_h4,conf_px_ut2,val_i,conf_h4_i,conf_ut2_i
BTCUSDT,FAIBLE,9493.63,9928.63,9992.609999999999,,,,
BTCUSDT,FAIBLE,9507.99,9942.99,10006.97,,,,
BTCUSDT,FAIBLE,9527.39,10019.31,10083.289999999999,,,,
BTCUSDT,FAIBLE,9554.76,10112.4,10189.06,,,,
BTCUSDT,FAIBLE,9583.49,10130.8,10217.789999999999,,,,
BTCUSDT,FAIBLE,9584.63,10131.939999999999,10218.929999999998,,,,
BTCUSDT,FAIBLE,9577.05,10112.369999999999,10211.349999999999,,,,
BTCUSDT,FAIBLE,9674.11,10239.11,10340.09,,1935.0,1938.0,
BTCUSDT,FAIBLE,9701.54,10284.02,10392.62,,,,
BTCUSDT,FAIBLE,9719.98,10187.98,10415.96,,1935.0,1938.0,
BTCUSDT,FAIBLE,11355.05,12993.05,13756.05,,,,
BTCUSDT,FAIBLE,11666.32,13302.38,14334.47,,,,
BTCUSDT,FAIBLE,11790.92,13097.11,14569.11,,,,
BTCUSDT,FAIBLE,12026.41,13484.4,14956.4,,,,
BTCUSDT,FAIBLE,11227.07,12891.32,14250.31,,,,
BTCUSDT,FAIBLE,11127.9,12792.15,14139.15,,,,
BTCUSDT,FAIBLE,11248.83,12913.08,14229.08,,,,
BTCUSDT,FAIBLE,11286.62,12950.87,14168.87,,,,
BTCUSDT,FAIBLE,11444.46,13108.71,14326.71,,,,
BTCUSDT,FAIBLE,12041.88,12909.25,14531.13,,,,
BTCUSDT,FAIBLE,11790.0,12763.0,13454.25,,,,
BTCUSDT,FAIBLE,11733.78,12706.78,13398.03,,,,
BTCUSDT,FAIBLE,11808.99,12781.99,13473.24,,,,
BTCUSDT,FAIBLE,12443.99,13661.99,14010.99,,,,
BTCUSDT,FAIBLE,12350.16,13577.58,13926.58,,,,
BTCUSDT,FAIBLE,11762.14,12299.58,13134.56,,,,
BTCUSDT,FAIBLE,11753.29,12256.230000000001,13125.710000000001,,,,
BTCUSDT,FAIBLE,11616.24,12190.92,12985.66,,,,
BTCUSDT,FAIBLE,11934.24,12759.62,13303.66,,,,
BTCUSDT,FAIBLE,10274.95,12457.37,12457.37,,,,
BTCUSDT,FAIBLE,13448.85,14244.36,15784.36,,,,
BTCUSDT,FAIBLE,13605.16,14540.73,16080.73,,,,
BTCUSDT,FAIBLE,13650.01,14679.01,16219.01,,,,
BTCUSDT,FAIBLE,13043.02,14191.02,15731.02,,,,
BTCUSDT,FAIBLE,13549.12,14683.12,16237.12,,,,
BTCUSDT,FAIBLE,13565.01,14699.01,16213.01,,,,
BTCUSDT,FAIBLE,13680.13,14944.13,16570.129999999997,,,,
BTCUSDT,FAIBLE,13790.02,15054.02,16629.6,,,,
BTCUSDT,FAIBLE,13732.13,14996.13,16474.129999999997,,,,
BTCUSDT,FAIBLE,13712.05,14752.05,16194.039999999999,,,,
BTCUSDT,FAIBLE,14016.55,15056.55,16483.55,,,,
BTCUSDT,FAIBLE,14097.25,15182.25,16526.25,,,,
BTCUSDT,FAIBLE,15807.89,18100.41,19063.09,,,,
BTCUSDT,FAIBLE,15298.13,16932.33,18406.33,,,,
BTCUSDT,FAIBLE,15404.54,16923.54,18512.74,,,,
BTCUSDT,FAIBLE,15576.66,17095.66,18684.86,,,,
BTCUSDT,FAIBLE,15671.21,17190.21,18779.41,,,,
BTCUSDT,FAIBLE,16282.0,17939.99,19661.99,,,,
BTCUSDT,FAIBLE,16085.39,17743.38,19425.27,,,,
BTCUSDT,FAIBLE,16231.27,17273.56,19516.260000000002,,2616.0,2695.0,
BTCUSDT,FAIBLE,16445.0,17487.29,19729.99,,2617.0,2788.0,
BTCUSDT,FAIBLE,16776.69,18185.989999999998,20428.69,,2621.0,2789.0,
BTCUSDT,FAIBLE,20737.75,23714.74,24073.75,,,,
BTCUSDT,FAIBLE,21346.81,24934.600000000002,25391.81,,,,
BTCUSDT,FAIBLE,21768.72,25740.72,26435.72,,,,
