symbol,tf,window,n_bars,n_obs,r_full,r_tier1,r_tier2,r_tier3,seconds
BTCUSDT,H4,40,14239,14238,-0.01208117702026493,-0.016437683459634766,-0.023724453852574125,0.00907610194012708,0.356
BTCUSDT,H4,60,14239,14238,-0.008885775200969994,-0.009722775575905666,-0.012163350448949659,-0.0045981764999794405,0.336
BTCUSDT,H4,100,14239,14238,-0.01103050222763937,-0.016513748583795555,-0.010475731237929482,-0.0034465122300355575,0.348
BTCUSDT,H4,150,14239,14238,-0.0009925959346955167,-0.0044153894276422615,0.007046037425878385,-0.005186775601132908,0.377
BTCUSDT,D1,40,2374,2373,-0.033760844832668384,-0.03249630719311166,-0.02979232441081603,-0.0457861789663496,0.063
BTCUSDT,D1,60,2374,2373,-0.03327265782166177,-0.04364780150318279,-0.049503233813306506,-0.0038072592688632822,0.058
BTCUSDT,D1,100,2374,2373,-0.024354289879272767,-0.047858176975594476,0.006651531219772865,-0.026460920073116706,0.047
BTCUSDT,D1,150,2374,2373,-0.04518016071445172,-0.05720264326699081,-0.03569714336704122,-0.046933333943286464,0.047
ETHUSDT,H4,40,14239,14238,-0.012103781225267505,-0.025443936931564194,-0.017031388009194466,0.01123668598667815,0.275
ETHUSDT,H4,60,14239,14238,-0.012834771721458875,-0.015338866978100487,-0.021049790769552816,-0.0036852745003642987,0.341
ETHUSDT,H4,100,14239,14238,-0.004458286654890599,0.002514482187239595,-0.01792449973763085,-0.0008768429157167736,0.389
ETHUSDT,H4,150,14239,14238,0.002889274422778895,-0.003906230461144513,0.005630801987625379,0.00960766622444089,0.406
ETHUSDT,D1,40,2374,2373,-0.03171110411511305,-0.057452030081196995,-0.009507793476700298,-0.01676532340626684,0.065
ETHUSDT,D1,60,2374,2373,-0.05291244116366087,-0.04526564822832862,-0.0708562009423905,-0.04874343480966264,0.062
ETHUSDT,D1,100,2374,2373,-0.007603164980050931,0.002770639649207518,0.005936661888943524,-0.03832835651314203,0.064
ETHUSDT,D1,150,2374,2373,-0.02955015801113455,-0.024829499916255326,-0.016124974357198733,-0.04850047451198094,0.062
