symbol,profile,n_trades,avg_position_size_%_of_capital,avg_holding_days,annualized_funding_rate_%_per_year,total_return_%_sans_funding,total_return_%_funding_exact,total_funding_cost_%_of_capital_exact,total_return_%_estimation_grossiere_annualisee,ecart_exact_vs_grossier_pts
BTC,FAIBLE,504,14.834,1.01,11.93,23.1,21.2,1.573,20.1,1.1
BTC,MODERE,504,24.485,1.01,11.93,61.0,56.1,3.052,54.5,1.6
BTC,AGRESSIF,504,29.061,1.01,11.93,115.8,106.7,4.221,105.5,1.2
BTC,TRES_AGRESSIF,504,32.101,1.01,11.93,157.1,143.7,5.218,143.4,0.3
ETH,FAIBLE,417,10.75,1.88,14.19,55.2,50.8,2.863,50.1,0.7
ETH,MODERE,417,19.372,1.88,14.19,139.0,124.5,6.066,124.9,-0.4
ETH,AGRESSIF,417,24.764,1.88,14.19,249.4,218.5,8.849,223.0,-4.5
ETH,TRES_AGRESSIF,417,30.342,1.88,14.19,355.4,295.7,13.117,313.3,-17.6
BNB,FAIBLE,544,12.665,0.99,-0.24,17.0,16.7,0.254,17.0,-0.3
BNB,MODERE,544,22.247,0.99,-0.24,26.6,25.7,0.726,26.7,-1.0
BNB,AGRESSIF,544,27.417,0.99,-0.24,32.6,31.3,1.012,32.7,-1.4
BNB,TRES_AGRESSIF,544,31.5,0.99,-0.24,57.3,54.4,1.839,57.5,-3.1
SOL,FAIBLE,361,7.363,1.28,0.08,24.5,23.0,1.162,24.5,-1.5
SOL,MODERE,361,14.346,1.28,0.08,63.0,58.8,2.597,63.0,-4.2
SOL,AGRESSIF,361,20.143,1.28,0.08,120.2,111.7,3.856,120.1,-8.4
SOL,TRES_AGRESSIF,361,26.776,1.28,0.08,228.2,208.2,6.076,228.1,-19.9
