symbol,profile,h1_n_trades,h1_max_dd_%,h1_total_return_%,h1_win_rate_%,h1_profit_factor,h4_n_trades,h4_max_dd_%,h4_total_return_%,h4_win_rate_%,h4_profit_factor
BTCUSDT,FAIBLE,978,-8.5,0.2,40.5,1.25,283,-3.0,7.9,40.3,1.81
BTCUSDT,MODERE,978,-13.9,4.0,40.4,1.29,283,-5.8,21.0,40.3,1.97
BTCUSDT,AGRESSIF,978,-15.6,8.4,40.4,1.32,283,-8.7,37.7,40.3,2.05
BTCUSDT,TRES_AGRESSIF,980,-24.6,3.5,40.1,1.26,296,-18.3,45.6,38.2,1.65
ETHUSDT,FAIBLE,1013,-12.2,5.1,41.5,1.29,286,-3.9,3.4,39.9,1.39
ETHUSDT,MODERE,1013,-22.2,10.6,41.5,1.3,286,-10.3,8.1,39.9,1.41
ETHUSDT,AGRESSIF,1013,-28.5,16.3,41.5,1.31,286,-18.6,13.4,39.9,1.41
ETHUSDT,TRES_AGRESSIF,1019,-34.5,36.9,41.2,1.39,294,-28.0,28.5,37.8,1.52
BNBUSDT,FAIBLE,995,-8.9,-2.7,42.1,1.13,296,-4.1,8.2,43.2,1.78
BNBUSDT,MODERE,995,-16.8,-4.6,42.0,1.13,296,-8.7,19.5,43.2,1.86
BNBUSDT,AGRESSIF,995,-20.7,-2.5,42.0,1.16,296,-14.2,32.3,43.2,1.88
BNBUSDT,TRES_AGRESSIF,997,-25.2,-3.8,41.9,1.15,307,-21.3,70.2,41.7,2.04
SOLUSDT,FAIBLE,710,-6.3,-2.5,42.1,1.04,185,-1.5,8.8,47.6,2.78
SOLUSDT,MODERE,710,-12.2,-5.1,42.1,1.04,185,-3.7,20.3,47.6,2.8
SOLUSDT,AGRESSIF,710,-17.3,-7.1,42.1,1.05,185,-6.8,34.3,47.6,2.78
SOLUSDT,TRES_AGRESSIF,710,-22.1,-3.8,42.1,1.1,192,-14.5,66.6,44.8,2.85
