symbol,profile,m15_n_trades,m15_max_dd_%,m15_total_return_%,m15_win_rate_%,m15_profit_factor,h4_n_trades,h4_max_dd_%,h4_total_return_%,h4_win_rate_%,h4_profit_factor
BTCUSDT,FAIBLE,2845,-42.5,-42.3,38.7,1.0,275,-3.0,5.8,40.0,1.65
BTCUSDT,MODERE,2845,-51.1,-51.0,38.7,1.0,275,-6.8,15.2,40.0,1.79
BTCUSDT,AGRESSIF,2845,-52.5,-52.4,38.7,1.0,275,-11.0,26.7,40.0,1.84
BTCUSDT,TRES_AGRESSIF,2846,-52.2,-52.2,38.7,1.01,285,-18.3,25.6,38.2,1.45
ETHUSDT,FAIBLE,2756,-27.6,-26.7,40.5,1.11,271,-3.8,3.3,38.4,1.41
ETHUSDT,MODERE,2756,-36.2,-32.1,40.5,1.15,271,-10.1,8.0,38.4,1.43
ETHUSDT,AGRESSIF,2756,-40.0,-33.7,40.5,1.15,271,-18.3,13.2,38.4,1.43
ETHUSDT,TRES_AGRESSIF,2756,-44.0,-35.5,40.5,1.14,279,-27.8,29.6,36.6,1.56
BNBUSDT,FAIBLE,2872,-32.9,-31.6,40.9,1.1,277,-3.8,8.3,43.7,1.87
BNBUSDT,MODERE,2872,-37.6,-36.0,40.9,1.13,277,-8.1,19.7,43.7,1.95
BNBUSDT,AGRESSIF,2872,-37.1,-35.3,40.9,1.15,277,-13.5,32.6,43.7,1.97
BNBUSDT,TRES_AGRESSIF,2872,-38.2,-36.2,40.9,1.15,288,-20.3,70.0,42.0,2.13
SOLUSDT,FAIBLE,2425,-20.9,-10.2,39.9,1.17,159,-1.5,8.3,46.5,2.92
SOLUSDT,MODERE,2425,-33.7,-17.0,39.9,1.15,159,-3.5,19.1,46.5,2.92
SOLUSDT,AGRESSIF,2425,-39.5,-23.6,39.9,1.13,159,-6.5,32.4,46.5,2.89
SOLUSDT,TRES_AGRESSIF,2425,-41.9,-28.6,39.9,1.11,166,-14.2,63.5,43.4,2.99
