symbol,profile,min_borders,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%
BTCUSDT,FAIBLE,2,0,0.0,0.0,,,
BTCUSDT,FAIBLE,3,0,0.0,0.0,,,
BTCUSDT,FAIBLE,4,0,0.0,0.0,,,
BTCUSDT,FAIBLE,5,0,0.0,0.0,,,
BTCUSDT,MODERE,2,7,-1.5,0.1,14.3,1.2,0.038
BTCUSDT,MODERE,3,7,-1.5,0.1,14.3,1.2,0.038
BTCUSDT,MODERE,4,7,-1.5,0.1,14.3,1.2,0.038
BTCUSDT,MODERE,5,7,-1.5,0.1,14.3,1.2,0.038
BTCUSDT,AGRESSIF,2,7,-2.9,0.2,14.3,1.2,0.076
BTCUSDT,AGRESSIF,3,7,-2.9,0.2,14.3,1.2,0.076
BTCUSDT,AGRESSIF,4,7,-2.9,0.2,14.3,1.2,0.076
BTCUSDT,AGRESSIF,5,7,-2.9,0.2,14.3,1.2,0.076
BTCUSDT,TRES_AGRESSIF,2,7,-5.6,0.0,14.3,1.16,0.119
BTCUSDT,TRES_AGRESSIF,3,7,-5.6,0.0,14.3,1.16,0.119
BTCUSDT,TRES_AGRESSIF,4,7,-5.6,0.0,14.3,1.16,0.119
BTCUSDT,TRES_AGRESSIF,5,7,-5.6,0.0,14.3,1.16,0.119
ETHUSDT,FAIBLE,2,1,-2.1,-0.1,0.0,0.0,-0.038
ETHUSDT,FAIBLE,3,1,-2.1,-0.1,0.0,0.0,-0.038
ETHUSDT,FAIBLE,4,1,-2.1,-0.1,0.0,0.0,-0.038
ETHUSDT,FAIBLE,5,1,-2.1,-0.1,0.0,0.0,-0.038
ETHUSDT,MODERE,2,8,-3.3,-2.8,0.0,0.0,-0.333
ETHUSDT,MODERE,3,8,-3.3,-2.8,0.0,0.0,-0.333
ETHUSDT,MODERE,4,8,-3.3,-2.8,0.0,0.0,-0.333
ETHUSDT,MODERE,5,8,-3.3,-2.8,0.0,0.0,-0.333
ETHUSDT,AGRESSIF,2,8,-6.5,-5.5,0.0,0.0,-0.666
ETHUSDT,AGRESSIF,3,8,-6.5,-5.5,0.0,0.0,-0.666
ETHUSDT,AGRESSIF,4,8,-6.5,-5.5,0.0,0.0,-0.666
ETHUSDT,AGRESSIF,5,8,-6.5,-5.5,0.0,0.0,-0.666
ETHUSDT,TRES_AGRESSIF,2,8,-12.7,-10.8,0.0,0.0,-1.333
ETHUSDT,TRES_AGRESSIF,3,8,-12.7,-10.8,0.0,0.0,-1.333
ETHUSDT,TRES_AGRESSIF,4,8,-12.7,-10.8,0.0,0.0,-1.333
ETHUSDT,TRES_AGRESSIF,5,8,-12.7,-10.8,0.0,0.0,-1.333
BNBUSDT,FAIBLE,2,3,-1.6,1.1,100.0,,0.424
BNBUSDT,FAIBLE,3,3,-1.6,1.1,100.0,,0.424
BNBUSDT,FAIBLE,4,3,-1.6,1.1,100.0,,0.424
BNBUSDT,FAIBLE,5,3,-1.6,1.1,100.0,,0.424
BNBUSDT,MODERE,2,16,-8.1,-8.1,0.0,0.0,-0.505
BNBUSDT,MODERE,3,16,-8.1,-8.1,0.0,0.0,-0.505
BNBUSDT,MODERE,4,16,-8.1,-8.1,0.0,0.0,-0.505
BNBUSDT,MODERE,5,16,-8.1,-8.1,0.0,0.0,-0.505
BNBUSDT,AGRESSIF,2,16,-15.6,-15.6,0.0,0.0,-1.01
BNBUSDT,AGRESSIF,3,16,-15.6,-15.6,0.0,0.0,-1.01
BNBUSDT,AGRESSIF,4,16,-15.6,-15.6,0.0,0.0,-1.01
BNBUSDT,AGRESSIF,5,16,-15.6,-15.6,0.0,0.0,-1.01
BNBUSDT,TRES_AGRESSIF,2,16,-27.4,-27.4,0.0,0.0,-1.896
BNBUSDT,TRES_AGRESSIF,3,16,-27.4,-27.4,0.0,0.0,-1.896
BNBUSDT,TRES_AGRESSIF,4,16,-27.4,-27.4,0.0,0.0,-1.896
BNBUSDT,TRES_AGRESSIF,5,16,-27.4,-27.4,0.0,0.0,-1.896
SOLUSDT,FAIBLE,2,3,-4.7,1.1,33.3,1.39,0.498
SOLUSDT,FAIBLE,3,3,-4.7,1.1,33.3,1.39,0.498
SOLUSDT,FAIBLE,4,3,-4.7,1.1,33.3,1.39,0.498
SOLUSDT,FAIBLE,5,3,-4.7,1.1,33.3,1.39,0.498
SOLUSDT,MODERE,2,8,-5.3,-5.1,0.0,0.0,-0.627
SOLUSDT,MODERE,3,8,-5.3,-5.1,0.0,0.0,-0.627
SOLUSDT,MODERE,4,8,-5.3,-5.1,0.0,0.0,-0.627
SOLUSDT,MODERE,5,8,-5.3,-5.1,0.0,0.0,-0.627
SOLUSDT,AGRESSIF,2,8,-10.4,-9.9,0.0,0.0,-1.253
SOLUSDT,AGRESSIF,3,8,-10.4,-9.9,0.0,0.0,-1.253
SOLUSDT,AGRESSIF,4,8,-10.4,-9.9,0.0,0.0,-1.253
SOLUSDT,AGRESSIF,5,8,-10.4,-9.9,0.0,0.0,-1.253
SOLUSDT,TRES_AGRESSIF,2,8,-17.7,-16.9,0.0,0.0,-2.192
SOLUSDT,TRES_AGRESSIF,3,8,-17.7,-16.9,0.0,0.0,-2.192
SOLUSDT,TRES_AGRESSIF,4,8,-17.7,-16.9,0.0,0.0,-2.192
SOLUSDT,TRES_AGRESSIF,5,8,-17.7,-16.9,0.0,0.0,-2.192
