symbol,profile,n_trades_ema,return_ema_%,max_dd_ema_%,n_trades_k1.5,n_neuneu_opened_k1.5,return_k1.5_%,max_dd_k1.5_%,delta_return_k1.5_pt,delta_max_dd_k1.5_pt,n_trades_k2.0,n_neuneu_opened_k2.0,return_k2.0_%,max_dd_k2.0_%,delta_return_k2.0_pt,delta_max_dd_k2.0_pt,n_trades_k2.5,n_neuneu_opened_k2.5,return_k2.5_%,max_dd_k2.5_%,delta_return_k2.5_pt,delta_max_dd_k2.5_pt,n_trades_k3.0,n_neuneu_opened_k3.0,return_k3.0_%,max_dd_k3.0_%,delta_return_k3.0_pt,delta_max_dd_k3.0_pt
BTCUSDT,FAIBLE,362,5.8,-24.6,359,83,-3.9,-26.6,-9.7,-2.0,359,83,-3.9,-26.6,-9.7,-2.0,359,83,-3.9,-26.6,-9.7,-2.0,359,83,-3.9,-26.6,-9.7,-2.0
BTCUSDT,MODERE,368,14.0,-26.7,365,83,3.5,-29.0,-10.5,-2.3000000000000007,365,83,3.5,-29.0,-10.5,-2.3000000000000007,365,83,3.5,-29.0,-10.5,-2.3000000000000007,365,83,3.5,-29.0,-10.5,-2.3000000000000007
BTCUSDT,AGRESSIF,368,25.5,-28.0,365,83,13.9,-30.7,-11.6,-2.6999999999999993,365,83,13.9,-30.7,-11.6,-2.6999999999999993,365,83,13.9,-30.7,-11.6,-2.6999999999999993,365,83,13.9,-30.7,-11.6,-2.6999999999999993
BTCUSDT,TRES_AGRESSIF,378,24.2,-30.1,375,83,12.9,-33.4,-11.299999999999999,-3.299999999999997,375,83,12.9,-33.4,-11.299999999999999,-3.299999999999997,375,83,12.9,-33.4,-11.299999999999999,-3.299999999999997,375,83,12.9,-33.4,-11.299999999999999,-3.299999999999997
ETHUSDT,FAIBLE,349,9.8,-12.3,346,74,-1.2,-13.4,-11.0,-1.0999999999999996,346,74,-1.2,-13.4,-11.0,-1.0999999999999996,346,74,-1.2,-13.4,-11.0,-1.0999999999999996,346,74,-1.2,-13.4,-11.0,-1.0999999999999996
ETHUSDT,MODERE,356,13.8,-13.5,353,74,2.4,-11.9,-11.4,1.5999999999999996,353,74,2.4,-11.9,-11.4,1.5999999999999996,353,74,2.4,-11.9,-11.4,1.5999999999999996,353,74,2.4,-11.9,-11.4,1.5999999999999996
ETHUSDT,AGRESSIF,356,15.9,-16.3,353,74,4.3,-15.3,-11.600000000000001,1.0,353,74,4.3,-15.3,-11.600000000000001,1.0,353,74,4.3,-15.3,-11.600000000000001,1.0,353,74,4.3,-15.3,-11.600000000000001,1.0
ETHUSDT,TRES_AGRESSIF,364,25.4,-23.7,361,74,12.9,-23.6,-12.499999999999998,0.09999999999999787,361,74,12.9,-23.6,-12.499999999999998,0.09999999999999787,361,74,12.9,-23.6,-12.499999999999998,0.09999999999999787,361,74,12.9,-23.6,-12.499999999999998,0.09999999999999787
BNBUSDT,FAIBLE,346,-8.8,-16.6,337,58,10.7,-11.3,19.5,5.300000000000001,337,58,10.7,-11.3,19.5,5.300000000000001,337,58,10.7,-11.3,19.5,5.300000000000001,337,58,10.7,-11.3,19.5,5.300000000000001
BNBUSDT,MODERE,360,-7.5,-16.4,351,58,12.2,-12.5,19.7,3.8999999999999986,351,58,12.2,-12.5,19.7,3.8999999999999986,351,58,12.2,-12.5,19.7,3.8999999999999986,351,58,12.2,-12.5,19.7,3.8999999999999986
BNBUSDT,AGRESSIF,360,-5.8,-19.8,351,58,14.3,-14.4,20.1,5.4,351,58,14.3,-14.4,20.1,5.4,351,58,14.3,-14.4,20.1,5.4,351,58,14.3,-14.4,20.1,5.4
BNBUSDT,TRES_AGRESSIF,371,3.9,-28.2,362,58,26.1,-20.4,22.200000000000003,7.800000000000001,362,58,26.1,-20.4,22.200000000000003,7.800000000000001,362,58,26.1,-20.4,22.200000000000003,7.800000000000001,362,58,26.1,-20.4,22.200000000000003,7.800000000000001
SOLUSDT,FAIBLE,244,38.2,-8.4,237,77,16.5,-11.0,-21.700000000000003,-2.5999999999999996,237,77,16.5,-11.0,-21.700000000000003,-2.5999999999999996,237,77,16.5,-11.0,-21.700000000000003,-2.5999999999999996,237,77,16.5,-11.0,-21.700000000000003,-2.5999999999999996
SOLUSDT,MODERE,251,44.3,-8.4,244,77,21.6,-12.5,-22.699999999999996,-4.1,244,77,21.6,-12.5,-22.699999999999996,-4.1,244,77,21.6,-12.5,-22.699999999999996,-4.1,244,77,21.6,-12.5,-22.699999999999996,-4.1
SOLUSDT,AGRESSIF,251,52.1,-10.2,244,77,28.1,-14.1,-24.0,-3.9000000000000004,244,77,28.1,-14.1,-24.0,-3.9000000000000004,244,77,28.1,-14.1,-24.0,-3.9000000000000004,244,77,28.1,-14.1,-24.0,-3.9000000000000004
SOLUSDT,TRES_AGRESSIF,258,73.4,-16.3,251,77,45.8,-17.1,-27.60000000000001,-0.8000000000000007,251,77,45.8,-17.1,-27.60000000000001,-0.8000000000000007,251,77,45.8,-17.1,-27.60000000000001,-0.8000000000000007,251,77,45.8,-17.1,-27.60000000000001,-0.8000000000000007
