symbol,profile,n_trades_ema,n_trades_bb,n_neuneu_opened_ema,n_neuneu_opened_bb,return_ema_%,return_bb_%,max_dd_ema_%,max_dd_bb_%,delta_return_pt,delta_max_dd_pt
BTCUSDT,FAIBLE,362,359,86,83,5.8,-3.9,-24.6,-26.6,-9.7,-2.0
BTCUSDT,MODERE,368,365,86,83,14.0,3.5,-26.7,-29.0,-10.5,-2.3000000000000007
BTCUSDT,AGRESSIF,368,365,86,83,25.5,13.9,-28.0,-30.7,-11.6,-2.6999999999999993
BTCUSDT,TRES_AGRESSIF,378,375,86,83,24.2,12.9,-30.1,-33.4,-11.299999999999999,-3.299999999999997
ETHUSDT,FAIBLE,349,346,77,74,9.8,-1.2,-12.3,-13.4,-11.0,-1.0999999999999996
ETHUSDT,MODERE,356,353,77,74,13.8,2.4,-13.5,-11.9,-11.4,1.5999999999999996
ETHUSDT,AGRESSIF,356,353,77,74,15.9,4.3,-16.3,-15.3,-11.600000000000001,1.0
ETHUSDT,TRES_AGRESSIF,364,361,77,74,25.4,12.9,-23.7,-23.6,-12.499999999999998,0.09999999999999787
BNBUSDT,FAIBLE,346,337,67,58,-8.8,10.7,-16.6,-11.3,19.5,5.300000000000001
BNBUSDT,MODERE,360,351,67,58,-7.5,12.2,-16.4,-12.5,19.7,3.8999999999999986
BNBUSDT,AGRESSIF,360,351,67,58,-5.8,14.3,-19.8,-14.4,20.1,5.4
BNBUSDT,TRES_AGRESSIF,371,362,67,58,3.9,26.1,-28.2,-20.4,22.200000000000003,7.800000000000001
SOLUSDT,FAIBLE,244,237,84,77,38.2,16.5,-8.4,-11.0,-21.700000000000003,-2.5999999999999996
SOLUSDT,MODERE,251,244,84,77,44.3,21.6,-8.4,-12.5,-22.699999999999996,-4.1
SOLUSDT,AGRESSIF,251,244,84,77,52.1,28.1,-10.2,-14.1,-24.0,-3.9000000000000004
SOLUSDT,TRES_AGRESSIF,258,251,84,77,73.4,45.8,-16.3,-17.1,-27.60000000000001,-0.8000000000000007
