symbol,timeframe,year,n_trades,total_return_%,max_dd_%,win_rate_%,profit_factor
BTCUSDT,H1,2019,5,-1.55,-2.05,60.0,0.2616
BTCUSDT,H1,2020,10,-0.7,-2.01,70.0,0.7366
BTCUSDT,H1,2021,22,3.74,-0.08,86.36,43.7174
BTCUSDT,H1,2022,27,-4.92,-6.61,74.07,0.4272
BTCUSDT,H1,2023,26,4.51,-0.16,73.08,21.8055
BTCUSDT,H1,2024,24,-0.52,-2.91,75.0,0.9867
BTCUSDT,H1,2025,23,2.96,-2.02,91.3,2.6763
BTCUSDT,H1,2026,26,2.9,-0.41,76.92,12.4621
BTCUSDT,H4,2019,5,-1.04,-2.03,60.0,0.5617
BTCUSDT,H4,2020,2,-1.72,-2.01,50.0,0.1543
BTCUSDT,H4,2021,3,-1.57,-2.02,66.67,0.2422
BTCUSDT,H4,2022,12,-2.48,-4.06,58.33,0.468
BTCUSDT,H4,2023,8,-0.42,-2.04,75.0,0.8996
BTCUSDT,H4,2024,8,-0.14,-2.04,75.0,1.0134
BTCUSDT,H4,2025,6,0.87,-0.21,66.67,7.3304
BTCUSDT,H4,2026,9,-0.18,-2.02,88.89,1.0089
BTCUSDT,M15,2019,16,0.0,-0.39,50.0,1.9848
BTCUSDT,M15,2020,10,-2.31,-3.98,70.0,0.4712
BTCUSDT,M15,2021,21,0.06,-2.04,66.67,1.1255
BTCUSDT,M15,2022,31,-5.36,-5.99,64.52,0.3929
BTCUSDT,M15,2023,39,2.57,-2.04,66.67,2.5397
BTCUSDT,M15,2024,53,-0.32,-2.79,75.47,1.157
BTCUSDT,M15,2025,58,-1.23,-2.46,72.41,1.0047
BTCUSDT,M15,2026,39,-3.58,-4.4,71.79,0.5693
ETHUSDT,H1,2019,3,0.58,-0.15,66.67,6.6602
ETHUSDT,H1,2020,10,2.42,-0.01,100.0,inf
ETHUSDT,H1,2021,17,-0.64,-2.07,82.35,0.7803
ETHUSDT,H1,2022,27,-4.55,-6.57,74.07,0.4643
ETHUSDT,H1,2023,23,0.62,-2.19,69.57,1.493
ETHUSDT,H1,2024,16,-4.25,-5.19,62.5,0.3328
ETHUSDT,H1,2025,18,-2.78,-4.0,72.22,0.5984
ETHUSDT,H1,2026,8,-0.31,-2.01,75.0,0.9042
ETHUSDT,H4,2019,0,0.0,0.0,0.0,0.0
ETHUSDT,H4,2020,4,-1.15,-2.01,75.0,0.4451
ETHUSDT,H4,2021,6,0.44,-0.11,66.67,5.4431
ETHUSDT,H4,2022,14,1.1,-2.01,64.29,1.5688
ETHUSDT,H4,2023,9,2.94,-0.02,100.0,inf
ETHUSDT,H4,2024,2,1.46,-0.01,100.0,inf
ETHUSDT,H4,2025,9,1.64,-2.01,88.89,1.8853
ETHUSDT,H4,2026,5,-0.86,-2.02,80.0,0.6044
ETHUSDT,M15,2019,3,0.3,-0.07,66.67,12.2646
ETHUSDT,M15,2020,25,-1.21,-2.06,56.0,0.5076
ETHUSDT,M15,2021,21,1.09,-0.07,66.67,16.2852
ETHUSDT,M15,2022,22,-9.14,-10.93,68.18,0.226
ETHUSDT,M15,2023,50,2.47,-2.16,64.0,2.4822
ETHUSDT,M15,2024,24,1.32,-2.02,70.83,1.7672
ETHUSDT,M15,2025,51,-2.11,-5.24,62.75,0.8243
ETHUSDT,M15,2026,9,-3.18,-3.98,66.67,0.2408
BNBUSDT,H1,2020,11,1.9,-0.04,90.91,144.8759
BNBUSDT,H1,2021,11,2.69,-0.06,90.91,66.6793
BNBUSDT,H1,2022,25,-0.37,-2.02,72.0,0.9788
BNBUSDT,H1,2023,21,1.52,-0.22,61.9,5.8209
BNBUSDT,H1,2024,15,0.31,-2.05,73.33,1.2528
BNBUSDT,H1,2025,17,2.71,-0.1,82.35,34.1447
BNBUSDT,H1,2026,10,2.03,-0.1,90.0,40.7121
BNBUSDT,H4,2020,3,-1.7,-2.02,33.33,0.1624
BNBUSDT,H4,2021,2,0.17,-0.0,100.0,inf
BNBUSDT,H4,2022,7,-1.2,-2.03,71.43,0.4593
BNBUSDT,H4,2023,7,-0.8,-2.02,71.43,0.6864
BNBUSDT,H4,2024,7,1.99,-0.01,100.0,inf
BNBUSDT,H4,2025,0,0.0,0.0,0.0,0.0
BNBUSDT,H4,2026,8,-0.81,-2.01,87.5,0.6761
BNBUSDT,M15,2020,24,0.46,-2.01,75.0,1.3366
BNBUSDT,M15,2021,25,0.04,-2.02,68.0,1.1215
BNBUSDT,M15,2022,51,-3.98,-5.36,68.63,0.592
BNBUSDT,M15,2023,24,-3.55,-4.77,66.67,0.487
BNBUSDT,M15,2024,29,1.18,-2.02,75.86,1.765
BNBUSDT,M15,2025,35,0.92,-2.01,82.86,1.3875
BNBUSDT,M15,2026,9,-0.51,-2.13,55.56,0.8323
SOLUSDT,H1,2020,8,1.32,-2.01,87.5,1.6989
SOLUSDT,H1,2021,14,3.33,-0.01,85.71,525.9617
SOLUSDT,H1,2022,41,-8.36,-9.3,70.73,0.3191
SOLUSDT,H1,2023,22,2.14,-2.02,77.27,2.1387
SOLUSDT,H1,2024,27,1.39,-2.02,70.37,1.7345
SOLUSDT,H1,2025,35,3.32,-2.02,91.43,1.9049
SOLUSDT,H1,2026,17,1.51,-2.03,76.47,1.8155
SOLUSDT,H4,2020,5,3.45,-0.0,100.0,inf
SOLUSDT,H4,2021,6,3.43,-0.0,100.0,inf
SOLUSDT,H4,2022,15,-8.66,-8.66,40.0,0.1583
SOLUSDT,H4,2023,8,3.97,-0.04,87.5,159.7344
SOLUSDT,H4,2024,6,1.87,-0.01,100.0,inf
SOLUSDT,H4,2025,12,1.25,-2.1,58.33,1.5904
SOLUSDT,H4,2026,9,-0.7,-2.36,77.78,0.8668
SOLUSDT,M15,2020,16,-1.69,-2.6,81.25,0.6084
SOLUSDT,M15,2021,27,3.76,-0.1,81.48,19.8586
SOLUSDT,M15,2022,44,-0.87,-3.97,65.91,0.9372
SOLUSDT,M15,2023,37,2.39,-2.01,67.57,2.2556
SOLUSDT,M15,2024,41,4.91,-0.16,78.05,17.4856
SOLUSDT,M15,2025,51,2.45,-2.01,78.43,1.7233
SOLUSDT,M15,2026,16,2.33,-0.05,75.0,42.7841
