symbol,profile,n_trades_off,n_trades_on,n_neuneu_opened,return_off_%,return_on_%,max_dd_off_%,max_dd_on_%
BTCUSDT,FAIBLE,276,362,86,7.0,5.8,-4.0,-24.6
BTCUSDT,MODERE,282,368,86,15.4,14.0,-6.3,-26.7
BTCUSDT,AGRESSIF,282,368,86,27.0,25.5,-10.1,-28.0
BTCUSDT,TRES_AGRESSIF,292,378,86,25.7,24.2,-18.3,-30.1
ETHUSDT,FAIBLE,272,349,77,1.3,9.8,-4.5,-12.3
ETHUSDT,MODERE,279,356,77,4.9,13.8,-10.2,-13.5
ETHUSDT,AGRESSIF,279,356,77,6.9,15.9,-18.5,-16.3
ETHUSDT,TRES_AGRESSIF,287,364,77,15.7,25.4,-28.3,-23.7
BNBUSDT,FAIBLE,279,346,67,8.6,-8.8,-4.0,-16.6
BNBUSDT,MODERE,293,360,67,10.2,-7.5,-10.8,-16.4
BNBUSDT,AGRESSIF,293,360,67,12.3,-5.8,-19.3,-19.8
BNBUSDT,TRES_AGRESSIF,304,371,67,24.0,3.9,-29.4,-28.2
SOLUSDT,FAIBLE,160,244,84,8.3,38.2,-1.5,-8.4
SOLUSDT,MODERE,167,251,84,13.1,44.3,-5.5,-8.4
SOLUSDT,AGRESSIF,167,251,84,19.2,52.1,-9.7,-10.2
SOLUSDT,TRES_AGRESSIF,174,258,84,35.9,73.4,-19.1,-16.3
