symbol,profile,variant,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,baseline_v7 (sans_fibonacci),492,-9.8,21.9,43.1,1.57
BTCUSDT,FAIBLE,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",137,-3.4,-0.5,48.2,1.13
BTCUSDT,FAIBLE,"fib_optimal [23%,50%] (entree_fraiche_seule)",122,-3.3,-0.6,48.4,1.11
BTCUSDT,FAIBLE,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),13,-1.1,-1.1,38.5,0.21
BTCUSDT,FAIBLE,"fib_favorable_incl_pyramide [23%,61.8%]",112,-4.0,-3.8,48.2,0.74
BTCUSDT,MODERE,baseline_v7 (sans_fibonacci),492,-14.2,57.7,42.9,1.74
BTCUSDT,MODERE,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",137,-5.0,-0.8,48.2,1.14
BTCUSDT,MODERE,"fib_optimal [23%,50%] (entree_fraiche_seule)",122,-5.0,-0.7,48.4,1.13
BTCUSDT,MODERE,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),13,-1.3,-1.2,38.5,0.19
BTCUSDT,MODERE,"fib_favorable_incl_pyramide [23%,61.8%]",112,-4.6,-3.3,48.2,0.94
BTCUSDT,AGRESSIF,baseline_v7 (sans_fibonacci),492,-15.5,106.9,42.9,1.95
BTCUSDT,AGRESSIF,"fib_favorable [23%,61.8%] (entree_fraiche_seule)",137,-5.8,-0.9,48.2,1.14
BTCUSDT,AGRESSIF,"fib_optimal [23%,50%] (entree_fraiche_seule)",122,-5.8,-0.7,48.4,1.13
BTCUSDT,AGRESSIF,fib_regle_50 [retr>=23%_ET_contexte<=50%] (entree_fraiche_seule),13,-1.3,-1.3,38.5,0.18
BTCUSDT,AGRESSIF,"fib_favorable_incl_pyramide [23%,61.8%]",112,-5.1,-3.1,48.2,0.99
