symbol,tf,profile,n_bars,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%
BNBUSDT,H1,FAIBLE,55985,4661,0.14398588165335618,-89.5,-85.6,50.7,1.04,0.009
BNBUSDT,H1,MODERE,55985,4661,0.07587860106423913,-96.2,-92.4,50.7,1.06,0.022
BNBUSDT,H1,AGRESSIF,55985,4661,0.10586700297220637,-96.2,-89.4,27.3,1.09,0.039
BNBUSDT,H1,TRES_AGRESSIF,55985,2769,0.1735806893325345,-95.8,-82.6,31.3,1.05,0.046
BNBUSDT,H4,FAIBLE,13997,1126,1.0923998107567399,-20.2,9.2,52.9,1.13,0.034
BNBUSDT,H4,MODERE,13997,1126,1.195972415839055,-37.6,19.6,52.9,1.14,0.072
BNBUSDT,H4,AGRESSIF,13997,1126,1.3642233161608655,-49.7,36.4,28.9,1.16,0.111
BNBUSDT,H4,TRES_AGRESSIF,13997,691,2.0852506954500996,-63.3,108.5,34.0,1.16,0.277
BNBUSDT,D1,FAIBLE,2334,211,1.2624734182888142,-5.7,26.2,57.8,1.56,0.122
BNBUSDT,D1,MODERE,2334,211,1.6413851124602035,-12.6,64.1,57.8,1.6,0.265
BNBUSDT,D1,AGRESSIF,2334,211,2.163915605410157,-20.8,116.4,33.2,1.64,0.423
BNBUSDT,D1,TRES_AGRESSIF,2334,131,3.051436849857013,-33.8,205.1,38.9,1.49,1.096
BTCUSDT,M15,FAIBLE,227521,18407,1.269334687881379e-06,-100.0,-100.0,49.0,1.01,0.003
BTCUSDT,M15,MODERE,227521,18407,6.247607013681902e-07,-100.0,-100.0,49.0,1.02,0.004
BTCUSDT,M15,AGRESSIF,227521,18407,7.663631844267182e-07,-100.0,-100.0,25.8,1.03,0.006
BTCUSDT,M15,TRES_AGRESSIF,227521,10947,0.0002699707871346841,-100.0,-100.0,31.0,1.03,0.01
BTCUSDT,H1,FAIBLE,56953,4532,0.17129402665393376,-87.7,-82.9,50.3,1.08,0.018
BTCUSDT,H1,MODERE,56953,4532,0.11491166937669219,-93.4,-88.5,50.3,1.09,0.033
BTCUSDT,H1,AGRESSIF,56953,4532,0.11558792737376258,-92.4,-88.4,27.1,1.1,0.039
BTCUSDT,H1,TRES_AGRESSIF,56953,2731,0.5212962649725613,-81.9,-47.9,33.2,1.1,0.076
BTCUSDT,H4,FAIBLE,14239,1075,1.1765401969524498,-20.7,17.7,54.0,1.18,0.046
BTCUSDT,H4,MODERE,14239,1075,1.5073296257657325,-36.8,50.7,54.0,1.2,0.102
BTCUSDT,H4,AGRESSIF,14239,1075,1.9186776577743074,-49.4,91.9,30.5,1.22,0.151
BTCUSDT,H4,TRES_AGRESSIF,14239,677,3.3662121954567024,-60.4,236.6,37.2,1.23,0.328
BTCUSDT,D1,FAIBLE,2374,183,1.301661920843055,-9.3,30.2,58.5,1.75,0.157
BTCUSDT,D1,MODERE,2374,183,1.8049429343340284,-17.5,80.5,58.5,1.85,0.357
BTCUSDT,D1,AGRESSIF,2374,183,2.6627799617871832,-26.1,166.3,37.2,1.96,0.6
BTCUSDT,D1,TRES_AGRESSIF,2374,106,4.307337337492334,-41.1,330.7,44.3,1.8,1.636
ETHUSDT,H1,FAIBLE,56953,4554,0.18248615616722358,-88.8,-81.8,50.1,1.03,0.008
ETHUSDT,H1,MODERE,56953,4554,0.09340492287331267,-97.0,-90.7,50.1,1.06,0.025
ETHUSDT,H1,AGRESSIF,56953,4554,0.11046573160072964,-97.5,-89.0,27.4,1.08,0.041
ETHUSDT,H1,TRES_AGRESSIF,56953,2732,0.27151757182699177,-95.4,-72.8,32.6,1.07,0.066
ETHUSDT,H4,FAIBLE,14239,1142,1.1019313700168967,-25.1,10.2,53.2,1.12,0.031
ETHUSDT,H4,MODERE,14239,1142,1.2885185520322482,-46.5,28.9,53.2,1.15,0.073
ETHUSDT,H4,AGRESSIF,14239,1142,1.4310907283108387,-65.0,43.1,28.7,1.16,0.114
ETHUSDT,H4,TRES_AGRESSIF,14239,682,6.224976610541541,-59.6,522.5,35.8,1.26,0.452
ETHUSDT,D1,FAIBLE,2374,200,1.1452282636582636,-7.8,14.5,52.5,1.35,0.078
ETHUSDT,D1,MODERE,2374,200,1.3835114345765487,-15.4,38.4,52.5,1.42,0.189
ETHUSDT,D1,AGRESSIF,2374,200,1.7483727597697325,-21.9,74.8,31.0,1.49,0.331
ETHUSDT,D1,TRES_AGRESSIF,2374,135,2.2003553781688554,-48.5,120.0,34.1,1.39,0.793
SOLUSDT,H1,FAIBLE,50778,3919,0.4071617581256445,-64.3,-59.3,50.1,1.03,0.009
SOLUSDT,H1,MODERE,50778,3919,0.2109150229913275,-85.4,-78.9,50.1,1.05,0.025
SOLUSDT,H1,AGRESSIF,50778,3919,0.15735505846016523,-92.1,-84.3,26.9,1.06,0.041
SOLUSDT,H1,TRES_AGRESSIF,50778,2378,0.16570290309278282,-91.4,-83.4,30.5,1.05,0.071
SOLUSDT,H4,FAIBLE,12696,971,1.3438895819768097,-18.0,34.4,52.4,1.19,0.047
SOLUSDT,H4,MODERE,12696,971,1.9638542634447997,-34.0,96.4,52.4,1.22,0.108
