symbol,profile,mode,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,none,1400,-14.4,79.4,41.0,1.52
BTCUSDT,FAIBLE,wall_street_abstention,1226,-15.1,75.6,40.4,1.52
BTCUSDT,FAIBLE,manual_channel_stop,1595,-23.4,163.5,29.7,1.61
BTCUSDT,FAIBLE,andrews_gate,993,-10.0,36.1,41.2,1.52
BTCUSDT,MODERE,none,1400,-27.3,219.8,40.3,1.61
BTCUSDT,MODERE,wall_street_abstention,1226,-25.3,211.7,39.6,1.63
BTCUSDT,MODERE,manual_channel_stop,1595,-30.8,342.3,29.3,1.74
BTCUSDT,MODERE,andrews_gate,993,-16.4,62.5,40.8,1.49
BTCUSDT,AGRESSIF,none,1400,-36.9,338.5,40.3,1.64
BTCUSDT,AGRESSIF,wall_street_abstention,1226,-34.5,332.8,39.6,1.67
BTCUSDT,AGRESSIF,manual_channel_stop,1595,-33.6,454.0,28.8,1.77
BTCUSDT,AGRESSIF,andrews_gate,993,-20.9,81.2,40.8,1.49
BTCUSDT,TRES_AGRESSIF,none,1400,-37.8,449.6,39.6,1.69
BTCUSDT,TRES_AGRESSIF,wall_street_abstention,1226,-35.0,441.9,38.8,1.72
BTCUSDT,TRES_AGRESSIF,manual_channel_stop,1595,-33.6,562.6,28.3,1.83
BTCUSDT,TRES_AGRESSIF,andrews_gate,993,-25.0,145.3,40.7,1.63
ETHUSDT,FAIBLE,none,1405,-15.1,35.0,36.9,1.29
ETHUSDT,FAIBLE,wall_street_abstention,1267,-15.0,40.2,36.1,1.32
ETHUSDT,FAIBLE,manual_channel_stop,1594,-28.5,61.5,28.4,1.32
ETHUSDT,FAIBLE,andrews_gate,1004,-16.7,-9.5,39.0,1.03
ETHUSDT,MODERE,none,1405,-26.2,96.9,36.2,1.34
ETHUSDT,MODERE,wall_street_abstention,1267,-25.8,121.7,35.5,1.4
ETHUSDT,MODERE,manual_channel_stop,1594,-31.4,172.1,27.8,1.42
ETHUSDT,MODERE,andrews_gate,1004,-29.4,-17.3,38.8,1.01
ETHUSDT,AGRESSIF,none,1405,-33.3,205.1,36.2,1.42
ETHUSDT,AGRESSIF,wall_street_abstention,1267,-32.1,268.3,35.5,1.5
ETHUSDT,AGRESSIF,manual_channel_stop,1594,-34.3,270.4,27.7,1.47
ETHUSDT,AGRESSIF,andrews_gate,1004,-39.6,-21.9,38.8,1.01
ETHUSDT,TRES_AGRESSIF,none,1405,-38.3,240.9,35.1,1.42
ETHUSDT,TRES_AGRESSIF,wall_street_abstention,1267,-37.8,322.1,34.3,1.5
ETHUSDT,TRES_AGRESSIF,manual_channel_stop,1594,-36.2,286.7,26.9,1.47
ETHUSDT,TRES_AGRESSIF,andrews_gate,1004,-50.1,-21.7,38.5,1.03
BNBUSDT,FAIBLE,none,1408,-18.0,37.9,41.1,1.32
BNBUSDT,FAIBLE,wall_street_abstention,1242,-18.0,51.0,40.9,1.41
BNBUSDT,FAIBLE,manual_channel_stop,1628,-27.4,57.1,30.8,1.3
BNBUSDT,FAIBLE,andrews_gate,980,-12.7,12.5,43.4,1.26
BNBUSDT,MODERE,none,1408,-31.7,67.1,40.3,1.31
BNBUSDT,MODERE,wall_street_abstention,1242,-31.6,84.9,40.0,1.36
BNBUSDT,MODERE,manual_channel_stop,1628,-35.6,67.7,30.3,1.27
BNBUSDT,MODERE,andrews_gate,980,-21.9,24.0,43.2,1.27
BNBUSDT,AGRESSIF,none,1408,-38.1,89.5,40.3,1.31
BNBUSDT,AGRESSIF,wall_street_abstention,1242,-37.9,111.3,40.0,1.36
BNBUSDT,AGRESSIF,manual_channel_stop,1628,-37.7,126.5,29.9,1.34
BNBUSDT,AGRESSIF,andrews_gate,980,-27.8,34.9,43.2,1.28
BNBUSDT,TRES_AGRESSIF,none,1408,-40.3,240.8,40.1,1.45
BNBUSDT,TRES_AGRESSIF,wall_street_abstention,1242,-39.7,283.3,39.9,1.51
BNBUSDT,TRES_AGRESSIF,manual_channel_stop,1628,-37.5,323.7,29.7,1.51
BNBUSDT,TRES_AGRESSIF,andrews_gate,980,-31.4,81.4,42.9,1.4
SOLUSDT,FAIBLE,none,1234,-19.3,141.4,39.6,1.69
SOLUSDT,FAIBLE,wall_street_abstention,1076,-20.1,133.3,38.8,1.72
SOLUSDT,FAIBLE,manual_channel_stop,1263,-26.6,812.6,31.6,2.07
SOLUSDT,FAIBLE,andrews_gate,809,-15.6,8.7,40.7,1.18
SOLUSDT,MODERE,none,1234,-30.1,455.7,38.9,1.73
SOLUSDT,MODERE,wall_street_abstention,1076,-32.2,426.6,37.7,1.76
SOLUSDT,MODERE,manual_channel_stop,1263,-36.2,2855.3,31.0,2.12
SOLUSDT,MODERE,andrews_gate,809,-31.7,11.1,39.9,1.15
SOLUSDT,AGRESSIF,none,1234,-36.1,1040.8,38.9,1.77
SOLUSDT,AGRESSIF,wall_street_abstention,1076,-42.0,961.7,37.7,1.79
SOLUSDT,AGRESSIF,manual_channel_stop,1263,-42.6,5364.3,30.6,2.13
SOLUSDT,AGRESSIF,andrews_gate,809,-46.0,8.5,39.9,1.13
SOLUSDT,TRES_AGRESSIF,none,1234,-48.9,4284.2,38.3,1.98
SOLUSDT,TRES_AGRESSIF,wall_street_abstention,1076,-48.7,3978.9,37.1,2.02
SOLUSDT,TRES_AGRESSIF,manual_channel_stop,1263,-44.8,10070.3,30.1,2.22
SOLUSDT,TRES_AGRESSIF,andrews_gate,809,-52.4,28.4,39.7,1.19
