symbol,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,354,-11.8,26.8,38.7,1.74
BTCUSDT,MODERE,354,-19.5,60.2,37.9,1.84
BTCUSDT,AGRESSIF,354,-24.5,85.8,37.9,1.88
BTCUSDT,TRES_AGRESSIF,354,-27.3,123.1,37.9,2.03
ETHUSDT,FAIBLE,364,-11.7,9.0,41.8,1.34
ETHUSDT,MODERE,364,-24.2,23.9,41.2,1.42
ETHUSDT,AGRESSIF,364,-32.6,44.7,41.2,1.51
ETHUSDT,TRES_AGRESSIF,364,-47.8,38.2,39.3,1.41
BNBUSDT,FAIBLE,430,-14.2,11.6,43.0,1.34
BNBUSDT,MODERE,430,-24.3,23.6,42.3,1.35
BNBUSDT,AGRESSIF,430,-28.7,24.0,42.3,1.29
BNBUSDT,TRES_AGRESSIF,430,-29.1,77.0,42.3,1.55
SOLUSDT,FAIBLE,210,-5.1,35.1,47.6,2.78
SOLUSDT,MODERE,210,-10.4,82.1,47.6,2.81
SOLUSDT,AGRESSIF,210,-15.6,148.5,47.6,2.88
SOLUSDT,TRES_AGRESSIF,210,-30.1,258.8,46.7,3.09
