symbol,profile,space_gate,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%,time_ACCUMULATION_%,time_POST_BREAKOUT_%,time_PULLBACK_WATCH_%,time_EXCESS_WATCH_%
BTCUSDT,FAIBLE,off,2,0.9815188708722911,-6.5,-1.8,50.0,0.42,-0.828,2.4,0.0,0.0,0.0
BTCUSDT,FAIBLE,on_x0.5,1,1.0112580677068386,-1.9,1.1,100.0,,1.207,3.4,0.0,0.0,0.0
BTCUSDT,FAIBLE,on_x1.0,1,1.0112580677068386,-1.9,1.1,100.0,,1.207,3.4,0.0,0.0,0.0
BTCUSDT,FAIBLE,on_x1.5,1,1.0112580677068386,-1.9,1.1,100.0,,1.207,3.4,0.0,0.0,0.0
BTCUSDT,MODERE,off,7,1.0011094660739974,-1.5,0.1,14.3,1.2,0.038,0.5,0.0,0.0,0.0
BTCUSDT,MODERE,on_x0.5,7,1.0011094660739974,-1.5,0.1,14.3,1.2,0.038,0.5,0.0,0.0,0.0
BTCUSDT,MODERE,on_x1.0,7,1.0011094660739974,-1.5,0.1,14.3,1.2,0.038,0.5,0.0,0.0,0.0
BTCUSDT,MODERE,on_x1.5,7,1.0011094660739974,-1.5,0.1,14.3,1.2,0.038,0.5,0.0,0.0,0.0
BTCUSDT,AGRESSIF,off,7,1.0019187622879902,-2.9,0.2,14.3,1.2,0.076,0.5,0.0,0.0,0.0
BTCUSDT,AGRESSIF,on_x0.5,7,1.0019187622879902,-2.9,0.2,14.3,1.2,0.076,0.5,0.0,0.0,0.0
BTCUSDT,AGRESSIF,on_x1.0,7,1.0019187622879902,-2.9,0.2,14.3,1.2,0.076,0.5,0.0,0.0,0.0
BTCUSDT,AGRESSIF,on_x1.5,7,1.0019187622879902,-2.9,0.2,14.3,1.2,0.076,0.5,0.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,off,7,1.0004967400741087,-5.6,0.0,14.3,1.16,0.119,0.5,0.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,on_x0.5,7,1.0004967400741087,-5.6,0.0,14.3,1.16,0.119,0.5,0.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,on_x1.0,7,1.0004967400741087,-5.6,0.0,14.3,1.16,0.119,0.5,0.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,on_x1.5,7,1.0004967400741087,-5.6,0.0,14.3,1.16,0.119,0.5,0.0,0.0,0.0
ETHUSDT,FAIBLE,off,1,0.9988195069916034,-2.1,-0.1,0.0,0.0,-0.038,2.6,0.0,0.0,0.0
ETHUSDT,FAIBLE,on_x0.5,1,0.9799515112404709,-2.1,-2.0,0.0,0.0,-1.926,2.6,0.0,0.0,0.0
ETHUSDT,FAIBLE,on_x1.0,1,0.9799515112404709,-2.1,-2.0,0.0,0.0,-1.926,2.6,0.0,0.0,0.0
ETHUSDT,FAIBLE,on_x1.5,0,1.0,0.0,0.0,,,,3.1,0.0,0.0,0.0
