symbol,space_mult,n_breakout_candidates,n_pass,pass_%,n_blocked_by_ut1,n_blocked_by_ut2,n_blocked_missing_data,ut1_level_not_an_obstacle_%,ut2_level_not_an_obstacle_%
BTCUSDT,0.5,306,232,75.8,47,28,0,58.5,49.3
BTCUSDT,1.0,306,203,66.3,76,47,0,58.5,49.3
BTCUSDT,1.5,306,171,55.9,101,68,0,58.5,49.3
ETHUSDT,0.5,295,220,74.6,54,26,0,59.3,44.7
ETHUSDT,1.0,295,185,62.7,86,38,0,59.3,44.7
ETHUSDT,1.5,295,164,55.6,99,54,0,59.3,44.7
BNBUSDT,0.5,304,240,78.9,51,24,0,55.3,40.1
BNBUSDT,1.0,304,202,66.4,81,45,0,55.3,40.1
BNBUSDT,1.5,304,170,55.9,108,63,0,55.3,40.1
SOLUSDT,0.5,264,195,73.9,53,19,0,49.2,37.5
SOLUSDT,1.0,264,150,56.8,88,36,0,49.2,37.5
SOLUSDT,1.5,264,129,48.9,108,47,0,49.2,37.5
