symbol,profile,gate_mode,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,none,1400,-14.4,79.4,41.0,1.52
BTCUSDT,FAIBLE,d1_only,492,-9.8,21.9,43.1,1.57
BTCUSDT,FAIBLE,ut2_strict,429,-8.9,50.9,40.1,2.02
BTCUSDT,FAIBLE,d1_and_weekly,199,-7.1,8.2,42.7,1.53
BTCUSDT,MODERE,none,1400,-27.3,219.8,40.3,1.61
BTCUSDT,MODERE,d1_only,492,-14.2,57.7,42.9,1.74
BTCUSDT,MODERE,ut2_strict,429,-16.1,123.7,38.7,2.16
BTCUSDT,MODERE,d1_and_weekly,199,-9.2,25.6,42.2,1.83
BTCUSDT,AGRESSIF,none,1400,-36.9,338.5,40.3,1.64
BTCUSDT,AGRESSIF,d1_only,492,-15.5,106.9,42.9,1.95
BTCUSDT,AGRESSIF,ut2_strict,429,-21.7,171.7,38.7,2.13
BTCUSDT,AGRESSIF,d1_and_weekly,199,-12.0,50.6,42.2,2.17
BTCUSDT,TRES_AGRESSIF,none,1400,-37.8,449.6,39.6,1.69
BTCUSDT,TRES_AGRESSIF,d1_only,492,-22.8,147.8,42.5,2.05
BTCUSDT,TRES_AGRESSIF,ut2_strict,429,-24.4,254.9,38.7,2.32
BTCUSDT,TRES_AGRESSIF,d1_and_weekly,199,-14.2,64.3,42.2,2.22
ETHUSDT,FAIBLE,none,1405,-15.1,35.0,36.9,1.29
ETHUSDT,FAIBLE,d1_only,427,-6.5,38.9,46.1,2.06
ETHUSDT,FAIBLE,ut2_strict,440,-9.6,12.7,44.3,1.37
ETHUSDT,FAIBLE,d1_and_weekly,186,-5.5,16.9,48.4,2.21
ETHUSDT,MODERE,none,1405,-26.2,96.9,36.2,1.34
ETHUSDT,MODERE,d1_only,427,-14.3,94.5,45.9,2.09
ETHUSDT,MODERE,ut2_strict,440,-20.3,33.0,43.2,1.45
ETHUSDT,MODERE,d1_and_weekly,186,-11.1,42.9,48.4,2.38
ETHUSDT,AGRESSIF,none,1405,-33.3,205.1,36.2,1.42
ETHUSDT,AGRESSIF,d1_only,427,-19.5,161.9,45.9,2.14
ETHUSDT,AGRESSIF,ut2_strict,440,-28.7,64.4,43.2,1.55
ETHUSDT,AGRESSIF,d1_and_weekly,186,-14.1,79.6,48.4,2.59
ETHUSDT,TRES_AGRESSIF,none,1405,-38.3,240.9,35.1,1.42
ETHUSDT,TRES_AGRESSIF,d1_only,427,-32.0,200.5,44.3,2.05
ETHUSDT,TRES_AGRESSIF,ut2_strict,440,-42.2,58.5,41.6,1.47
ETHUSDT,TRES_AGRESSIF,d1_and_weekly,186,-33.7,107.3,46.2,2.53
BNBUSDT,FAIBLE,none,1408,-18.0,37.9,41.1,1.32
BNBUSDT,FAIBLE,d1_only,525,-12.5,20.5,42.7,1.48
BNBUSDT,FAIBLE,ut2_strict,578,-16.2,19.2,43.1,1.4
BNBUSDT,FAIBLE,d1_and_weekly,244,-7.6,27.3,45.5,2.2
BNBUSDT,MODERE,none,1408,-31.7,67.1,40.3,1.31
BNBUSDT,MODERE,d1_only,525,-19.6,33.7,41.9,1.42
BNBUSDT,MODERE,ut2_strict,578,-27.2,30.1,42.4,1.35
BNBUSDT,MODERE,d1_and_weekly,244,-14.7,53.4,45.5,2.14
BNBUSDT,AGRESSIF,none,1408,-38.1,89.5,40.3,1.31
BNBUSDT,AGRESSIF,d1_only,525,-24.1,40.5,41.9,1.38
BNBUSDT,AGRESSIF,ut2_strict,578,-33.4,36.0,42.4,1.32
BNBUSDT,AGRESSIF,d1_and_weekly,244,-19.0,67.7,45.5,2.05
BNBUSDT,TRES_AGRESSIF,none,1408,-40.3,240.8,40.1,1.45
BNBUSDT,TRES_AGRESSIF,d1_only,525,-32.5,65.6,41.0,1.46
BNBUSDT,TRES_AGRESSIF,ut2_strict,578,-36.7,102.0,42.2,1.54
BNBUSDT,TRES_AGRESSIF,d1_and_weekly,244,-20.6,124.5,45.5,2.36
SOLUSDT,FAIBLE,none,1234,-19.3,141.4,39.6,1.69
SOLUSDT,FAIBLE,d1_only,339,-8.4,23.0,39.8,1.77
SOLUSDT,FAIBLE,ut2_strict,265,-5.4,70.8,43.8,3.59
SOLUSDT,FAIBLE,d1_and_weekly,142,-7.3,25.1,42.3,2.91
SOLUSDT,MODERE,none,1234,-30.1,455.7,38.9,1.73
SOLUSDT,MODERE,d1_only,339,-17.4,55.0,39.5,1.83
SOLUSDT,MODERE,ut2_strict,265,-9.3,171.9,43.8,3.49
SOLUSDT,MODERE,d1_and_weekly,142,-14.2,61.0,42.3,3.08
SOLUSDT,AGRESSIF,none,1234,-36.1,1040.8,38.9,1.77
SOLUSDT,AGRESSIF,d1_only,339,-24.4,97.8,39.5,1.9
SOLUSDT,AGRESSIF,ut2_strict,265,-15.0,316.1,43.8,3.44
SOLUSDT,AGRESSIF,d1_and_weekly,142,-18.9,107.2,42.3,3.25
SOLUSDT,TRES_AGRESSIF,none,1234,-48.9,4284.2,38.3,1.98
SOLUSDT,TRES_AGRESSIF,d1_only,339,-37.7,196.5,38.9,2.07
SOLUSDT,TRES_AGRESSIF,ut2_strict,265,-29.2,615.4,43.0,3.63
SOLUSDT,TRES_AGRESSIF,d1_and_weekly,142,-33.4,176.3,40.8,3.4
