symbol,tf,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,793,-46.5,10.0,32.7,1.14
BTCUSDT,H4,MODERE,793,-66.5,40.8,29.3,1.2
BTCUSDT,H4,AGRESSIF,793,-74.3,91.7,29.1,1.26
BTCUSDT,H4,TRES_AGRESSIF,793,-77.1,160.8,25.9,1.35
BTCUSDT,D1,FAIBLE,44,-4.2,3.8,34.1,1.46
BTCUSDT,D1,MODERE,44,-8.3,9.9,34.1,1.59
BTCUSDT,D1,AGRESSIF,44,-12.2,13.7,34.1,1.55
BTCUSDT,D1,TRES_AGRESSIF,44,-19.6,18.4,34.1,1.48
ETHUSDT,H4,FAIBLE,943,-46.6,35.5,27.3,1.19
ETHUSDT,H4,MODERE,943,-65.1,174.9,24.7,1.32
ETHUSDT,H4,AGRESSIF,943,-65.8,405.8,24.6,1.4
ETHUSDT,H4,TRES_AGRESSIF,943,-67.3,985.1,22.1,1.53
ETHUSDT,D1,FAIBLE,69,-4.8,16.5,52.2,2.54
ETHUSDT,D1,MODERE,69,-9.4,42.3,52.2,2.79
ETHUSDT,D1,AGRESSIF,69,-14.5,78.1,52.2,2.99
ETHUSDT,D1,TRES_AGRESSIF,69,-26.8,216.7,46.4,3.49
BNBUSDT,H4,FAIBLE,732,-28.5,74.3,31.3,1.39
BNBUSDT,H4,MODERE,732,-41.0,286.4,28.3,1.57
BNBUSDT,H4,AGRESSIF,732,-47.5,686.3,28.3,1.68
BNBUSDT,H4,TRES_AGRESSIF,732,-55.3,1619.4,25.4,1.86
BNBUSDT,D1,FAIBLE,68,-4.2,12.4,47.1,2.09
BNBUSDT,D1,MODERE,68,-9.3,31.4,47.1,2.26
BNBUSDT,D1,AGRESSIF,68,-14.4,58.0,47.1,2.4
BNBUSDT,D1,TRES_AGRESSIF,68,-26.0,113.2,36.8,2.47
SOLUSDT,H4,FAIBLE,732,-29.2,145.7,29.9,1.55
SOLUSDT,H4,MODERE,732,-49.9,315.7,26.0,1.48
SOLUSDT,H4,AGRESSIF,732,-61.0,624.3,25.7,1.49
SOLUSDT,H4,TRES_AGRESSIF,732,-65.7,3017.9,22.3,1.71
SOLUSDT,D1,FAIBLE,35,-6.0,-4.1,20.0,0.49
SOLUSDT,D1,MODERE,35,-12.5,-8.4,20.0,0.5
SOLUSDT,D1,AGRESSIF,35,-19.2,-13.3,20.0,0.49
SOLUSDT,D1,TRES_AGRESSIF,35,-28.5,-16.0,20.0,0.63
