symbol,tf,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,1498,-9.5,179.8,46.3,1.91
BTCUSDT,H4,MODERE,1498,-16.7,588.1,45.7,2.07
BTCUSDT,H4,AGRESSIF,1498,-24.2,1055.9,45.7,2.14
BTCUSDT,H4,TRES_AGRESSIF,1498,-24.5,1646.8,45.1,2.25
BTCUSDT,D1,FAIBLE,24,-4.1,-4.0,29.2,0.15
BTCUSDT,D1,MODERE,24,-7.3,-7.1,29.2,0.16
BTCUSDT,D1,AGRESSIF,24,-9.7,-9.3,29.2,0.18
BTCUSDT,D1,TRES_AGRESSIF,24,-13.2,-12.6,29.2,0.19
ETHUSDT,H4,FAIBLE,1365,-12.3,247.9,46.0,2.09
ETHUSDT,H4,MODERE,1365,-20.3,850.8,45.4,2.14
ETHUSDT,H4,AGRESSIF,1365,-22.4,2215.3,45.4,2.25
ETHUSDT,H4,TRES_AGRESSIF,1365,-34.6,3183.4,44.0,2.24
ETHUSDT,D1,FAIBLE,46,-1.9,6.2,65.2,3.68
ETHUSDT,D1,MODERE,46,-5.1,13.3,65.2,3.28
ETHUSDT,D1,AGRESSIF,46,-9.2,21.4,65.2,3.0
ETHUSDT,D1,TRES_AGRESSIF,46,-16.1,34.6,56.5,2.67
BNBUSDT,H4,FAIBLE,1209,-8.0,134.7,47.4,1.89
BNBUSDT,H4,MODERE,1209,-16.5,288.6,46.5,1.82
BNBUSDT,H4,AGRESSIF,1209,-24.5,462.0,46.5,1.81
BNBUSDT,H4,TRES_AGRESSIF,1209,-33.7,885.1,45.8,1.93
BNBUSDT,D1,FAIBLE,32,-1.5,2.8,46.9,1.98
BNBUSDT,D1,MODERE,32,-3.2,6.3,46.9,2.1
BNBUSDT,D1,AGRESSIF,32,-5.4,10.1,46.9,2.19
BNBUSDT,D1,TRES_AGRESSIF,32,-11.5,7.4,40.6,1.63
SOLUSDT,H4,FAIBLE,1199,-13.7,350.8,48.5,2.47
SOLUSDT,H4,MODERE,1199,-21.8,1652.0,47.5,2.5
SOLUSDT,H4,AGRESSIF,1199,-27.0,4721.1,47.5,2.47
SOLUSDT,H4,TRES_AGRESSIF,1199,-40.4,23878.4,46.8,2.71
SOLUSDT,D1,FAIBLE,16,-2.5,-2.0,31.2,0.27
SOLUSDT,D1,MODERE,16,-4.8,-3.9,31.2,0.27
SOLUSDT,D1,AGRESSIF,16,-6.9,-5.5,31.2,0.28
SOLUSDT,D1,TRES_AGRESSIF,16,-9.9,-7.8,31.2,0.3
