symbol,tf,profile,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,1402,-14.8,81.8,39.4,1.52
BTCUSDT,H4,MODERE,1402,-26.5,236.7,38.7,1.63
BTCUSDT,H4,AGRESSIF,1402,-35.8,354.8,38.7,1.65
BTCUSDT,H4,TRES_AGRESSIF,1402,-41.8,437.3,37.9,1.67
BTCUSDT,D1,FAIBLE,17,-3.0,-2.7,23.5,0.06
BTCUSDT,D1,MODERE,17,-6.4,-6.0,23.5,0.05
BTCUSDT,D1,AGRESSIF,17,-9.7,-9.1,23.5,0.05
BTCUSDT,D1,TRES_AGRESSIF,17,-14.4,-13.5,23.5,0.06
ETHUSDT,H4,FAIBLE,1363,-12.6,88.2,37.1,1.49
ETHUSDT,H4,MODERE,1363,-24.4,211.9,36.3,1.51
ETHUSDT,H4,AGRESSIF,1363,-32.1,417.5,36.3,1.57
ETHUSDT,H4,TRES_AGRESSIF,1363,-38.5,552.8,35.1,1.59
ETHUSDT,D1,FAIBLE,50,-1.9,4.1,42.0,1.95
ETHUSDT,D1,MODERE,50,-4.2,10.7,42.0,2.21
ETHUSDT,D1,AGRESSIF,50,-6.9,19.7,42.0,2.47
ETHUSDT,D1,TRES_AGRESSIF,50,-12.9,41.6,38.0,2.92
BNBUSDT,H4,FAIBLE,1399,-17.2,46.3,41.2,1.37
BNBUSDT,H4,MODERE,1399,-25.4,79.9,40.3,1.34
BNBUSDT,H4,AGRESSIF,1399,-31.7,121.8,40.3,1.36
BNBUSDT,H4,TRES_AGRESSIF,1399,-33.7,330.3,40.2,1.52
BNBUSDT,D1,FAIBLE,15,-2.2,-1.8,20.0,0.26
BNBUSDT,D1,MODERE,15,-4.4,-3.5,20.0,0.26
BNBUSDT,D1,AGRESSIF,15,-6.5,-5.1,20.0,0.27
BNBUSDT,D1,TRES_AGRESSIF,15,-9.3,-7.1,20.0,0.31
SOLUSDT,H4,FAIBLE,1239,-21.2,182.0,38.8,1.79
SOLUSDT,H4,MODERE,1239,-35.8,603.8,37.9,1.81
SOLUSDT,H4,AGRESSIF,1239,-46.9,1328.3,37.9,1.82
SOLUSDT,H4,TRES_AGRESSIF,1239,-53.1,4093.3,37.0,1.96
SOLUSDT,D1,FAIBLE,19,-2.5,4.2,47.4,2.56
SOLUSDT,D1,MODERE,19,-3.7,7.3,47.4,2.46
SOLUSDT,D1,AGRESSIF,19,-6.4,11.5,47.4,2.68
SOLUSDT,D1,TRES_AGRESSIF,19,-10.2,26.3,47.4,3.63
