symbol,tf,profile,gate,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,H4,FAIBLE,avec_regime,1094,-7.7,121.0,48.0,2.05
BTCUSDT,H4,FAIBLE,sans_regime,1498,-9.5,179.8,46.3,1.91
BTCUSDT,H4,MODERE,avec_regime,1094,-12.8,333.3,47.4,2.2
BTCUSDT,H4,MODERE,sans_regime,1498,-16.7,588.1,45.7,2.07
BTCUSDT,H4,AGRESSIF,avec_regime,1094,-20.4,486.0,47.4,2.19
BTCUSDT,H4,AGRESSIF,sans_regime,1498,-24.2,1055.9,45.7,2.14
BTCUSDT,H4,TRES_AGRESSIF,avec_regime,1094,-20.7,728.1,47.1,2.29
BTCUSDT,H4,TRES_AGRESSIF,sans_regime,1498,-24.5,1646.8,45.1,2.25
BTCUSDT,D1,FAIBLE,avec_regime,13,-1.5,-0.9,30.8,0.37
BTCUSDT,D1,FAIBLE,sans_regime,24,-4.1,-4.0,29.2,0.15
BTCUSDT,D1,MODERE,avec_regime,13,-1.9,-1.7,30.8,0.38
BTCUSDT,D1,MODERE,sans_regime,24,-7.3,-7.1,29.2,0.16
BTCUSDT,D1,AGRESSIF,avec_regime,13,-2.7,-2.3,30.8,0.4
BTCUSDT,D1,AGRESSIF,sans_regime,24,-9.7,-9.3,29.2,0.18
BTCUSDT,D1,TRES_AGRESSIF,avec_regime,13,-3.9,-3.5,30.8,0.37
BTCUSDT,D1,TRES_AGRESSIF,sans_regime,24,-13.2,-12.6,29.2,0.19
ETHUSDT,H4,FAIBLE,avec_regime,984,-6.9,151.2,47.9,2.3
ETHUSDT,H4,FAIBLE,sans_regime,1365,-12.3,247.9,46.0,2.09
ETHUSDT,H4,MODERE,avec_regime,984,-13.1,529.7,47.7,2.51
ETHUSDT,H4,MODERE,sans_regime,1365,-20.3,850.8,45.4,2.14
ETHUSDT,H4,AGRESSIF,avec_regime,984,-13.2,1400.9,47.7,2.77
ETHUSDT,H4,AGRESSIF,sans_regime,1365,-22.4,2215.3,45.4,2.25
ETHUSDT,H4,TRES_AGRESSIF,avec_regime,984,-31.4,2233.5,46.0,2.84
ETHUSDT,H4,TRES_AGRESSIF,sans_regime,1365,-34.6,3183.4,44.0,2.24
ETHUSDT,D1,FAIBLE,avec_regime,28,-1.0,3.8,71.4,5.99
ETHUSDT,D1,FAIBLE,sans_regime,46,-1.9,6.2,65.2,3.68
ETHUSDT,D1,MODERE,avec_regime,28,-2.3,8.3,71.4,5.34
ETHUSDT,D1,MODERE,sans_regime,46,-5.1,13.3,65.2,3.28
ETHUSDT,D1,AGRESSIF,avec_regime,28,-3.9,13.2,71.4,4.81
ETHUSDT,D1,AGRESSIF,sans_regime,46,-9.2,21.4,65.2,3.0
ETHUSDT,D1,TRES_AGRESSIF,avec_regime,28,-7.0,24.1,64.3,5.18
ETHUSDT,D1,TRES_AGRESSIF,sans_regime,46,-16.1,34.6,56.5,2.67
BNBUSDT,H4,FAIBLE,avec_regime,884,-8.9,79.2,46.8,1.79
BNBUSDT,H4,FAIBLE,sans_regime,1209,-8.0,134.7,47.4,1.89
BNBUSDT,H4,MODERE,avec_regime,884,-15.5,166.7,45.8,1.77
BNBUSDT,H4,MODERE,sans_regime,1209,-16.5,288.6,46.5,1.82
BNBUSDT,H4,AGRESSIF,avec_regime,884,-21.1,252.0,45.8,1.77
BNBUSDT,H4,AGRESSIF,sans_regime,1209,-24.5,462.0,46.5,1.81
BNBUSDT,H4,TRES_AGRESSIF,avec_regime,884,-30.2,443.6,44.8,1.91
BNBUSDT,H4,TRES_AGRESSIF,sans_regime,1209,-33.7,885.1,45.8,1.93
BNBUSDT,D1,FAIBLE,avec_regime,27,-1.5,3.0,48.1,2.35
BNBUSDT,D1,FAIBLE,sans_regime,32,-1.5,2.8,46.9,1.98
BNBUSDT,D1,MODERE,avec_regime,27,-3.2,6.7,48.1,2.5
BNBUSDT,D1,MODERE,sans_regime,32,-3.2,6.3,46.9,2.1
BNBUSDT,D1,AGRESSIF,avec_regime,27,-5.2,10.9,48.1,2.65
BNBUSDT,D1,AGRESSIF,sans_regime,32,-5.4,10.1,46.9,2.19
BNBUSDT,D1,TRES_AGRESSIF,avec_regime,27,-11.5,8.2,40.7,1.85
BNBUSDT,D1,TRES_AGRESSIF,sans_regime,32,-11.5,7.4,40.6,1.63
SOLUSDT,H4,FAIBLE,avec_regime,816,-6.6,200.6,51.2,2.87
SOLUSDT,H4,FAIBLE,sans_regime,1199,-13.7,350.8,48.5,2.47
SOLUSDT,H4,MODERE,avec_regime,816,-15.4,672.9,50.2,2.81
SOLUSDT,H4,MODERE,sans_regime,1199,-21.8,1652.0,47.5,2.5
SOLUSDT,H4,AGRESSIF,avec_regime,816,-27.4,1596.9,50.2,2.71
SOLUSDT,H4,AGRESSIF,sans_regime,1199,-27.0,4721.1,47.5,2.47
SOLUSDT,H4,TRES_AGRESSIF,avec_regime,816,-31.9,4431.3,49.3,2.84
SOLUSDT,H4,TRES_AGRESSIF,sans_regime,1199,-40.4,23878.4,46.8,2.71
SOLUSDT,D1,FAIBLE,avec_regime,13,-1.7,-1.2,38.5,0.39
SOLUSDT,D1,FAIBLE,sans_regime,16,-2.5,-2.0,31.2,0.27
SOLUSDT,D1,MODERE,avec_regime,13,-3.3,-2.4,38.5,0.39
SOLUSDT,D1,MODERE,sans_regime,16,-4.8,-3.9,31.2,0.27
SOLUSDT,D1,AGRESSIF,avec_regime,13,-4.6,-3.2,38.5,0.41
SOLUSDT,D1,AGRESSIF,sans_regime,16,-6.9,-5.5,31.2,0.28
SOLUSDT,D1,TRES_AGRESSIF,avec_regime,13,-6.7,-4.5,38.5,0.44
SOLUSDT,D1,TRES_AGRESSIF,sans_regime,16,-9.9,-7.8,31.2,0.3
