symbol,profile,gate,stop,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,508,-9.8,25.0,43.5,1.62
BTCUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1528,-14.4,77.3,41.3,1.49
BTCUSDT,FAIBLE,H4_valide_par_D1,D1_reel,507,-2.8,16.5,43.4,2.07
BTCUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT + canal_large/2,509,-10.3,23.5,43.6,1.58
BTCUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,508,-14.2,64.2,43.3,1.79
BTCUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1528,-27.3,209.2,40.6,1.57
BTCUSDT,MODERE,H4_valide_par_D1,D1_reel,507,-5.7,35.3,43.4,2.04
BTCUSDT,MODERE,H4_valide_par_D1,H4_meme_UT + canal_large/2,509,-14.5,59.9,43.4,1.73
BTCUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,508,-15.5,119.7,43.3,2.01
BTCUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1528,-36.9,328.9,40.6,1.61
BTCUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,507,-9.1,56.6,43.4,2.03
BTCUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT + canal_large/2,509,-15.0,112.0,43.4,1.94
BTCUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,508,-21.7,166.5,42.9,2.11
BTCUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1528,-37.8,460.3,40.1,1.67
BTCUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,507,-16.6,96.7,43.0,2.05
BTCUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT + canal_large/2,509,-22.1,155.0,43.0,2.03
ETHUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,467,-6.5,40.5,45.8,2.0
ETHUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1459,-15.1,43.5,37.1,1.32
ETHUSDT,FAIBLE,H4_valide_par_D1,D1_reel,467,-2.9,17.2,45.2,2.07
ETHUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT + canal_large/2,478,-6.3,38.0,45.8,1.92
ETHUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,467,-14.3,93.4,45.6,2.0
ETHUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1459,-26.6,119.0,36.5,1.37
ETHUSDT,MODERE,H4_valide_par_D1,D1_reel,467,-6.0,44.9,45.2,2.22
ETHUSDT,MODERE,H4_valide_par_D1,H4_meme_UT + canal_large/2,478,-14.2,81.0,44.8,1.87
ETHUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,467,-19.5,159.1,45.6,2.05
ETHUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1459,-33.5,243.9,36.5,1.44
ETHUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,467,-9.4,85.3,45.2,2.33
ETHUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT + canal_large/2,478,-23.1,119.6,44.8,1.82
ETHUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,467,-32.0,201.7,44.1,1.99
ETHUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1459,-38.3,305.5,35.4,1.45
ETHUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,467,-17.1,152.5,43.7,2.29
ETHUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT + canal_large/2,478,-27.8,172.8,43.9,1.84
