symbol,profile,squeeze,lifetime,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor,squeeze_armed_seen,squeeze_orders,squeeze_fills
BTCUSDT,FAIBLE,off,0,492,-9.8,21.9,43.1,1.57,,,
BTCUSDT,FAIBLE,on,10,492,-9.8,21.9,43.1,1.57,1.0,0.0,0.0
BTCUSDT,FAIBLE,on,30,492,-9.8,21.9,43.1,1.57,1.0,0.0,0.0
BTCUSDT,FAIBLE,on,90,492,-9.8,21.9,43.1,1.57,1.0,0.0,0.0
BTCUSDT,MODERE,off,0,492,-14.2,57.7,42.9,1.74,,,
BTCUSDT,MODERE,on,10,492,-14.2,57.7,42.9,1.74,1.0,0.0,0.0
BTCUSDT,MODERE,on,30,492,-14.2,57.7,42.9,1.74,1.0,0.0,0.0
BTCUSDT,MODERE,on,90,492,-14.2,57.7,42.9,1.74,1.0,0.0,0.0
BTCUSDT,AGRESSIF,off,0,492,-15.5,106.9,42.9,1.95,,,
BTCUSDT,AGRESSIF,on,10,492,-15.5,106.9,42.9,1.95,1.0,0.0,0.0
BTCUSDT,AGRESSIF,on,30,492,-15.5,106.9,42.9,1.95,1.0,0.0,0.0
BTCUSDT,AGRESSIF,on,90,492,-15.5,106.9,42.9,1.95,1.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,off,0,492,-22.8,147.8,42.5,2.05,,,
BTCUSDT,TRES_AGRESSIF,on,10,492,-22.8,147.8,42.5,2.05,1.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,on,30,492,-22.8,147.8,42.5,2.05,1.0,0.0,0.0
BTCUSDT,TRES_AGRESSIF,on,90,492,-22.8,147.8,42.5,2.05,1.0,0.0,0.0
ETHUSDT,FAIBLE,off,0,427,-6.5,38.9,46.1,2.06,,,
ETHUSDT,FAIBLE,on,10,427,-6.5,38.9,46.1,2.06,1.0,0.0,0.0
ETHUSDT,FAIBLE,on,30,427,-6.5,38.9,46.1,2.06,1.0,0.0,0.0
ETHUSDT,FAIBLE,on,90,427,-6.5,38.9,46.1,2.06,1.0,0.0,0.0
ETHUSDT,MODERE,off,0,427,-14.3,94.5,45.9,2.09,,,
ETHUSDT,MODERE,on,10,427,-14.3,94.5,45.9,2.09,1.0,0.0,0.0
