symbol,profile,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
BTCUSDT,FAIBLE,8.1144,275,1,321,63,True,True,9460,2024-01-02T08:00:00.000000,2.5,4.6144,1.0,0.0,3,0,True,False,True,False,3
BTCUSDT,MODERE,7.0,275,7,321,63,True,True,2832,2020-12-23T16:00:00.000000,5.0,0.0,1.0,1.0,3,0,False,False,True,True,3
BTCUSDT,AGRESSIF,11.0,275,7,321,63,True,True,2682,2020-11-28T16:00:00.000000,9.0,0.0,1.0,1.0,3,0,False,False,True,True,3
BTCUSDT,TRES_AGRESSIF,17.0,285,7,321,63,True,True,2682,2020-11-28T16:00:00.000000,15.0,0.0,1.0,1.0,3,0,False,False,True,True,3
ETHUSDT,FAIBLE,4.0,271,1,291,40,False,True,2315,2020-12-17T00:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,MODERE,7.0,271,8,291,40,True,True,2315,2020-12-17T00:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,10.0,271,8,291,40,True,True,9894,2024-06-02T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,16.0,279,8,291,40,True,True,2160,2020-11-21T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,FAIBLE,7.0,277,2,342,47,True,True,9198,2024-04-22T08:00:00.000000,1.0,5.0,1.0,0.0,1,0,True,False,True,False,3
BNBUSDT,MODERE,7.0,277,16,342,47,True,True,2146,2021-02-02T00:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,10.0,277,16,342,47,True,True,2146,2021-02-02T00:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,16.0,288,16,342,47,True,True,2146,2021-02-02T00:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,FAIBLE,6.0,159,1,202,48,True,True,6788,2023-10-20T12:00:00.000000,0.0,5.0,1.0,0.0,0,0,True,False,True,False,2
SOLUSDT,MODERE,7.0,159,8,202,48,True,True,7070,2023-12-06T12:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,AGRESSIF,11.0,159,8,202,48,True,True,7114,2023-12-13T20:00:00.000000,9.0,0.0,1.0,1.0,3,0,False,False,True,True,3
SOLUSDT,TRES_AGRESSIF,17.0,166,8,202,48,True,True,7114,2023-12-13T20:00:00.000000,15.0,0.0,1.0,1.0,3,0,False,False,True,True,3
