symbol,tf,config,n_trades,return_%,sharpe,max_dd_%
BTCUSDT,H4,rapide (5/20/50),704,131.6,0.98,-24.3
BTCUSDT,H4,standard (8/21/55),534,167.9,1.12,-23.5
BTCUSDT,H4,lent (10/30/100),468,188.0,1.15,-28.1
BTCUSDT,D1,rapide (5/20/50),111,63.2,1.01,-13.7
BTCUSDT,D1,standard (8/21/55),83,73.9,1.12,-11.4
BTCUSDT,D1,lent (10/30/100),76,111.8,1.09,-14.0
ETHUSDT,H4,rapide (5/20/50),740,133.9,0.98,-19.2
ETHUSDT,H4,standard (8/21/55),597,113.7,0.86,-18.9
ETHUSDT,H4,lent (10/30/100),546,121.0,0.89,-20.9
ETHUSDT,D1,rapide (5/20/50),118,45.1,0.7,-17.2
ETHUSDT,D1,standard (8/21/55),101,41.1,0.64,-15.7
ETHUSDT,D1,lent (10/30/100),91,40.3,0.63,-14.7
BNBUSDT,H4,rapide (5/20/50),704,139.8,0.97,-18.8
BNBUSDT,H4,standard (8/21/55),560,156.7,0.9,-23.4
BNBUSDT,H4,lent (10/30/100),504,144.5,0.83,-24.9
BNBUSDT,D1,rapide (5/20/50),114,108.0,0.74,-19.7
BNBUSDT,D1,standard (8/21/55),89,204.4,0.91,-19.9
BNBUSDT,D1,lent (10/30/100),68,152.3,0.74,-35.8
SOLUSDT,H4,rapide (5/20/50),641,102.5,0.93,-22.5
SOLUSDT,H4,standard (8/21/55),492,152.6,1.07,-21.1
SOLUSDT,H4,lent (10/30/100),426,208.1,1.23,-19.6
SOLUSDT,D1,rapide (5/20/50),102,88.7,1.05,-13.1
SOLUSDT,D1,standard (8/21/55),68,132.8,0.98,-20.9
SOLUSDT,D1,lent (10/30/100),59,115.5,0.87,-26.4
