engine,asset,profile,n_trades_off,n_trades_on,return_off_%,return_on_%,delta_return_pt,max_dd_off_%,max_dd_on_%,delta_dd_pt,win_rate_off_%,win_rate_on_%,pf_off,pf_on
faithful,BTCUSDT,FAIBLE,256,306,6.3,3.2,-3.1,-4.0,-4.3,-0.3,37.1,39.5,1.73,1.43
v7,BTCUSDT,FAIBLE,492,500,21.9,19.3,-2.6,-9.8,-9.8,0.0,43.1,43.2,1.57,1.52
faithful,BTCUSDT,MODERE,256,306,15.6,6.6,-9.0,-7.7,-8.4,-0.7,37.1,39.5,1.81,1.45
v7,BTCUSDT,MODERE,492,500,57.7,44.7,-13.0,-14.2,-14.2,0.0,42.9,43.0,1.74,1.62
faithful,BTCUSDT,AGRESSIF,256,306,27.0,10.9,-16.1,-11.3,-11.8,-0.5,37.1,39.5,1.85,1.48
v7,BTCUSDT,AGRESSIF,492,500,106.9,66.0,-40.9,-15.5,-15.5,0.0,42.9,43.0,1.95,1.69
faithful,BTCUSDT,TRES_AGRESSIF,267,309,61.4,18.2,-43.2,-15.9,-20.3,-4.4,35.2,35.3,2.09,1.51
v7,BTCUSDT,TRES_AGRESSIF,492,500,147.8,120.8,-27.0,-22.8,-22.8,0.0,42.5,42.2,2.05,1.93
faithful,ETHUSDT,FAIBLE,272,279,3.8,4.1,0.3,-3.8,-2.4,1.4,40.1,40.5,1.43,1.48
v7,ETHUSDT,FAIBLE,427,432,38.9,40.8,1.9,-6.5,-5.8,0.7,46.1,46.8,2.06,2.09
faithful,ETHUSDT,MODERE,272,279,9.0,8.9,-0.1,-10.1,-5.1,5.0,40.1,40.5,1.45,1.52
v7,ETHUSDT,MODERE,427,432,94.5,87.8,-6.7,-14.3,-10.6,3.7,45.9,46.8,2.09,2.08
faithful,ETHUSDT,AGRESSIF,272,279,15.2,12.8,-2.4,-18.4,-6.9,11.5,40.1,40.5,1.47,1.51
v7,ETHUSDT,AGRESSIF,427,432,161.9,115.9,-46.0,-19.5,-13.8,5.7,45.9,46.8,2.14,2.0
faithful,ETHUSDT,TRES_AGRESSIF,280,286,29.9,36.2,6.3,-29.2,-17.6,11.6,37.5,36.7,1.55,1.79
v7,ETHUSDT,TRES_AGRESSIF,427,432,200.5,239.0,38.5,-32.0,-19.6,12.4,44.3,44.4,2.05,2.25
faithful,BNBUSDT,FAIBLE,299,337,5.8,7.9,2.1,-4.1,-4.1,0.0,42.1,43.3,1.56,1.69
v7,BNBUSDT,FAIBLE,525,538,20.5,20.3,-0.2,-12.5,-12.5,0.0,42.7,42.6,1.48,1.46
faithful,BNBUSDT,MODERE,299,337,13.8,17.0,3.2,-8.3,-8.1,0.2,42.1,43.3,1.62,1.72
v7,BNBUSDT,MODERE,525,538,33.7,29.6,-4.1,-19.6,-19.7,-0.1,41.9,42.6,1.42,1.38
faithful,BNBUSDT,AGRESSIF,299,337,22.3,21.3,-1.0,-13.0,-12.0,1.0,42.1,43.3,1.63,1.61
v7,BNBUSDT,AGRESSIF,525,538,40.5,30.5,-10.0,-24.1,-24.8,-0.7,41.9,42.6,1.38,1.33
faithful,BNBUSDT,TRES_AGRESSIF,310,349,54.8,63.4,8.6,-20.6,-19.1,1.5,40.6,40.7,1.83,1.93
v7,BNBUSDT,TRES_AGRESSIF,525,538,65.6,64.0,-1.6,-32.5,-30.4,2.1,41.0,40.5,1.46,1.47
faithful,SOLUSDT,FAIBLE,192,204,8.0,7.6,-0.4,-1.6,-1.6,0.0,46.9,46.6,2.43,2.31
v7,SOLUSDT,FAIBLE,339,341,23.0,17.8,-5.2,-8.4,-8.0,0.4,39.8,40.2,1.77,1.63
faithful,SOLUSDT,MODERE,192,204,18.3,16.2,-2.1,-4.0,-3.5,0.5,46.9,46.6,2.46,2.35
v7,SOLUSDT,MODERE,339,341,55.0,33.2,-21.8,-17.4,-15.9,1.5,39.5,40.2,1.83,1.58
faithful,SOLUSDT,AGRESSIF,192,204,31.1,23.8,-7.3,-6.8,-4.8,2.0,46.9,46.6,2.47,2.29
v7,SOLUSDT,AGRESSIF,339,341,97.8,43.0,-54.8,-24.4,-21.1,3.3,39.5,40.2,1.9,1.52
faithful,SOLUSDT,TRES_AGRESSIF,199,211,60.7,58.6,-2.1,-15.2,-12.8,2.4,44.2,42.7,2.56,2.65
v7,SOLUSDT,TRES_AGRESSIF,339,341,196.5,115.4,-81.1,-37.7,-35.3,2.4,38.9,38.4,2.07,1.81
