symbol,tf,profile,gate,n_trades_batch_struct,max_dd_%_batch_struct,total_return_%_batch_struct,win_rate_%_batch_struct,profit_factor_batch_struct,n_trades_causal_struct,max_dd_%_causal_struct,total_return_%_causal_struct,win_rate_%_causal_struct,profit_factor_causal_struct,d_return,d_winrate,d_trades,sign_flip
BTCUSDT,H4,FAIBLE,avec_regime,1028,-14.8,50.2,40.4,1.52,1037,-13.6,47.7,41.3,1.5,-2.5,0.8999999999999986,9,False
BTCUSDT,H4,FAIBLE,sans_regime,1402,-14.8,81.8,39.4,1.52,1400,-14.4,79.4,41.0,1.52,-2.3999999999999915,1.6000000000000014,-2,False
BTCUSDT,H4,MODERE,avec_regime,1028,-27.1,132.1,39.7,1.63,1037,-26.6,104.3,40.6,1.55,-27.799999999999997,0.8999999999999986,9,False
BTCUSDT,H4,MODERE,sans_regime,1402,-26.5,236.7,38.7,1.63,1400,-27.3,219.8,40.3,1.61,-16.899999999999977,1.5999999999999943,-2,False
BTCUSDT,H4,AGRESSIF,avec_regime,1028,-37.2,171.9,39.7,1.61,1037,-37.3,128.6,40.6,1.52,-43.30000000000001,0.8999999999999986,9,False
BTCUSDT,H4,AGRESSIF,sans_regime,1402,-35.8,354.8,38.7,1.65,1400,-36.9,338.5,40.3,1.64,-16.30000000000001,1.5999999999999943,-2,False
BTCUSDT,H4,TRES_AGRESSIF,avec_regime,1028,-41.0,234.7,39.2,1.67,1037,-37.7,200.9,40.2,1.61,-33.79999999999998,1.0,9,False
BTCUSDT,H4,TRES_AGRESSIF,sans_regime,1402,-41.8,437.3,37.9,1.67,1400,-37.8,449.6,39.6,1.69,12.300000000000011,1.7000000000000028,-2,False
BTCUSDT,D1,FAIBLE,avec_regime,13,-1.5,-1.4,30.8,0.11,22,-3.2,-2.3,22.7,0.45,-0.8999999999999999,-8.100000000000001,9,False
BTCUSDT,D1,FAIBLE,sans_regime,17,-3.0,-2.7,23.5,0.06,30,-4.5,-4.1,16.7,0.31,-1.3999999999999995,-6.800000000000001,13,False
BTCUSDT,D1,MODERE,avec_regime,13,-3.0,-2.7,30.8,0.12,22,-6.2,-4.3,22.7,0.48,-1.5999999999999996,-8.100000000000001,9,False
BTCUSDT,D1,MODERE,sans_regime,17,-6.4,-6.0,23.5,0.05,30,-8.7,-7.8,16.7,0.33,-1.7999999999999998,-6.800000000000001,13,False
BTCUSDT,D1,AGRESSIF,avec_regime,13,-3.9,-3.5,30.8,0.13,22,-8.7,-5.7,22.7,0.53,-2.2,-8.100000000000001,9,False
BTCUSDT,D1,AGRESSIF,sans_regime,17,-9.7,-9.1,23.5,0.05,30,-12.4,-10.8,16.7,0.36,-1.700000000000001,-6.800000000000001,13,False
BTCUSDT,D1,TRES_AGRESSIF,avec_regime,13,-5.5,-4.8,30.8,0.15,22,-13.5,-9.4,18.2,0.51,-4.6000000000000005,-12.600000000000001,9,False
BTCUSDT,D1,TRES_AGRESSIF,sans_regime,17,-14.4,-13.5,23.5,0.06,30,-19.2,-16.6,13.3,0.36,-3.1000000000000014,-10.2,13,False
ETHUSDT,H4,FAIBLE,avec_regime,997,-12.1,60.2,38.8,1.55,1025,-11.2,32.3,37.8,1.36,-27.900000000000006,-1.0,28,False
ETHUSDT,H4,FAIBLE,sans_regime,1363,-12.6,88.2,37.1,1.49,1405,-15.1,35.0,36.9,1.29,-53.2,-0.20000000000000284,42,False
ETHUSDT,H4,MODERE,avec_regime,997,-18.6,163.4,38.5,1.65,1025,-19.4,93.6,37.6,1.46,-69.80000000000001,-0.8999999999999986,28,False
ETHUSDT,H4,MODERE,sans_regime,1363,-24.4,211.9,36.3,1.51,1405,-26.2,96.9,36.2,1.34,-115.0,-0.09999999999999432,42,False
ETHUSDT,H4,AGRESSIF,avec_regime,997,-21.7,359.4,38.5,1.79,1025,-20.6,208.4,37.6,1.59,-150.99999999999997,-0.8999999999999986,28,False
ETHUSDT,H4,AGRESSIF,sans_regime,1363,-32.1,417.5,36.3,1.57,1405,-33.3,205.1,36.2,1.42,-212.4,-0.09999999999999432,42,False
ETHUSDT,H4,TRES_AGRESSIF,avec_regime,997,-32.5,541.2,37.1,1.86,1025,-30.8,290.9,36.3,1.64,-250.30000000000007,-0.8000000000000043,28,False
ETHUSDT,H4,TRES_AGRESSIF,sans_regime,1363,-38.5,552.8,35.1,1.59,1405,-38.3,240.9,35.1,1.42,-311.9,0.0,42,False
ETHUSDT,D1,FAIBLE,avec_regime,30,-2.1,1.5,36.7,1.75,34,-3.2,0.4,38.2,1.23,-1.1,1.5,4,False
ETHUSDT,D1,FAIBLE,sans_regime,50,-1.9,4.1,42.0,1.95,43,-3.9,-1.4,34.9,0.74,-5.5,-7.100000000000001,-7,True
ETHUSDT,D1,MODERE,avec_regime,30,-4.1,4.0,36.7,1.97,34,-4.7,1.0,38.2,1.26,-3.0,1.5,4,False
ETHUSDT,D1,MODERE,sans_regime,50,-4.2,10.7,42.0,2.21,43,-4.7,-1.8,34.9,0.83,-12.5,-7.100000000000001,-7,True
ETHUSDT,D1,AGRESSIF,avec_regime,30,-6.0,7.0,36.7,2.11,34,-6.0,1.3,38.2,1.24,-5.7,1.5,4,False
ETHUSDT,D1,AGRESSIF,sans_regime,50,-6.9,19.7,42.0,2.47,43,-6.1,-2.5,34.9,0.84,-22.2,-7.100000000000001,-7,True
ETHUSDT,D1,TRES_AGRESSIF,avec_regime,30,-11.5,13.1,33.3,2.25,34,-10.3,-3.5,32.4,0.78,-16.6,-0.8999999999999986,4,True
ETHUSDT,D1,TRES_AGRESSIF,sans_regime,50,-12.9,41.6,38.0,2.92,43,-9.8,-7.4,30.2,0.62,-49.0,-7.800000000000001,-7,True
BNBUSDT,H4,FAIBLE,avec_regime,1009,-13.1,16.3,40.6,1.25,1031,-18.5,9.2,40.3,1.19,-7.100000000000001,-0.30000000000000426,22,False
BNBUSDT,H4,FAIBLE,sans_regime,1399,-17.2,46.3,41.2,1.37,1408,-18.0,37.9,41.1,1.32,-8.399999999999999,-0.10000000000000142,9,False
BNBUSDT,H4,MODERE,avec_regime,1009,-22.7,34.5,39.7,1.26,1031,-30.3,30.1,39.6,1.24,-4.399999999999999,-0.10000000000000142,22,False
BNBUSDT,H4,MODERE,sans_regime,1399,-25.4,79.9,40.3,1.34,1408,-31.7,67.1,40.3,1.31,-12.800000000000011,0.0,9,False
BNBUSDT,H4,AGRESSIF,avec_regime,1009,-28.1,61.4,39.7,1.31,1031,-38.0,47.2,39.6,1.26,-14.199999999999996,-0.10000000000000142,22,False
BNBUSDT,H4,AGRESSIF,sans_regime,1399,-31.7,121.8,40.3,1.36,1408,-38.1,89.5,40.3,1.31,-32.3,0.0,9,False
BNBUSDT,H4,TRES_AGRESSIF,avec_regime,1009,-30.6,177.9,39.2,1.49,1031,-43.2,134.5,39.1,1.42,-43.400000000000006,-0.10000000000000142,22,False
BNBUSDT,H4,TRES_AGRESSIF,sans_regime,1399,-33.7,330.3,40.2,1.52,1408,-40.3,240.8,40.1,1.45,-89.5,-0.10000000000000142,9,False
BNBUSDT,D1,FAIBLE,avec_regime,12,-1.8,-1.6,16.7,0.15,28,-1.6,7.4,50.0,3.7,9.0,33.3,16,True
BNBUSDT,D1,FAIBLE,sans_regime,15,-2.2,-1.8,20.0,0.26,39,-2.2,10.3,59.0,4.16,12.100000000000001,39.0,24,True
BNBUSDT,D1,MODERE,avec_regime,12,-3.5,-3.2,16.7,0.15,28,-3.2,16.5,50.0,3.91,19.7,33.3,16,True
BNBUSDT,D1,MODERE,sans_regime,15,-4.4,-3.5,20.0,0.26,39,-4.4,22.8,59.0,4.33,26.3,39.0,24,True
BNBUSDT,D1,AGRESSIF,avec_regime,12,-5.1,-4.7,16.7,0.15,28,-4.7,25.4,50.0,3.89,30.099999999999998,33.3,16,True
BNBUSDT,D1,AGRESSIF,sans_regime,15,-6.5,-5.1,20.0,0.27,39,-6.3,36.6,59.0,4.39,41.7,39.0,24,True
BNBUSDT,D1,TRES_AGRESSIF,avec_regime,12,-7.8,-7.1,16.7,0.16,28,-7.8,50.3,46.4,4.19,57.4,29.7,16,True
BNBUSDT,D1,TRES_AGRESSIF,sans_regime,15,-9.3,-7.1,20.0,0.31,39,-18.5,56.6,46.2,3.34,63.7,26.200000000000003,24,True
SOLUSDT,H4,FAIBLE,avec_regime,847,-14.5,137.7,41.1,2.03,877,-12.0,121.2,41.2,1.92,-16.499999999999986,0.10000000000000142,30,False
SOLUSDT,H4,FAIBLE,sans_regime,1239,-21.2,182.0,38.8,1.79,1234,-19.3,141.4,39.6,1.69,-40.599999999999994,0.8000000000000043,-5,False
SOLUSDT,H4,MODERE,avec_regime,847,-27.7,360.5,40.1,1.99,877,-22.1,312.3,40.3,1.89,-48.19999999999999,0.19999999999999574,30,False
SOLUSDT,H4,MODERE,sans_regime,1239,-35.8,603.8,37.9,1.81,1234,-30.1,455.7,38.9,1.73,-148.09999999999997,1.0,-5,False
SOLUSDT,H4,AGRESSIF,avec_regime,847,-40.7,762.7,40.1,2.01,877,-32.7,681.4,40.3,1.94,-81.30000000000007,0.19999999999999574,30,False
SOLUSDT,H4,AGRESSIF,sans_regime,1239,-46.9,1328.3,37.9,1.82,1234,-36.1,1040.8,38.9,1.77,-287.5,1.0,-5,False
SOLUSDT,H4,TRES_AGRESSIF,avec_regime,847,-46.2,1648.2,39.0,2.1,877,-39.7,1984.2,39.5,2.13,336.0,0.5,30,False
SOLUSDT,H4,TRES_AGRESSIF,sans_regime,1239,-53.1,4093.3,37.0,1.96,1234,-48.9,4284.2,38.3,1.98,190.89999999999964,1.2999999999999972,-5,False
SOLUSDT,D1,FAIBLE,avec_regime,16,-2.2,4.8,56.2,3.19,16,-3.0,-2.0,43.8,0.25,-6.8,-12.400000000000006,0,True
SOLUSDT,D1,FAIBLE,sans_regime,19,-2.5,4.2,47.4,2.56,19,-3.2,-2.4,42.1,0.22,-6.6,-5.299999999999997,0,True
SOLUSDT,D1,MODERE,avec_regime,16,-3.3,8.5,56.2,3.12,16,-5.4,-3.6,43.8,0.27,-12.1,-12.400000000000006,0,True
SOLUSDT,D1,MODERE,sans_regime,19,-3.7,7.3,47.4,2.46,19,-5.9,-4.3,42.1,0.23,-11.6,-5.299999999999997,0,True
SOLUSDT,D1,AGRESSIF,avec_regime,16,-6.4,13.3,56.2,3.49,16,-7.2,-4.8,43.8,0.25,-18.1,-12.400000000000006,0,True
SOLUSDT,D1,AGRESSIF,sans_regime,19,-6.4,11.5,47.4,2.68,19,-8.0,-6.0,42.1,0.21,-17.5,-5.299999999999997,0,True
SOLUSDT,D1,TRES_AGRESSIF,avec_regime,16,-10.2,29.2,56.2,4.73,16,-10.2,-6.7,43.8,0.25,-35.9,-12.400000000000006,0,True
SOLUSDT,D1,TRES_AGRESSIF,sans_regime,19,-10.2,26.3,47.4,3.63,19,-11.1,-8.2,42.1,0.21,-34.5,-5.299999999999997,0,True
