symbol,year,n_bars,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,2019,686,0,0.0,0.0,,
BTCUSDT,2020,2196,60,-2.7,14.6,61.7,5.39
BTCUSDT,2021,2190,63,-1.6,0.1,47.6,1.18
BTCUSDT,2022,2190,4,-0.3,-0.3,25.0,0.04
BTCUSDT,2023,2190,57,-3.8,-0.5,28.1,1.01
BTCUSDT,2024,2196,74,-3.6,-1.4,31.1,0.88
BTCUSDT,2025,2190,18,-1.9,-1.2,22.2,0.47
BTCUSDT,2026,1522,0,0.0,0.0,,
ETHUSDT,2019,209,0,0.0,0.0,,
ETHUSDT,2020,2196,60,-1.9,2.8,38.3,2.02
ETHUSDT,2021,2190,90,-8.3,-3.8,40.0,0.65
ETHUSDT,2022,2190,8,-1.4,-1.3,50.0,0.05
ETHUSDT,2023,2190,20,-2.4,2.8,40.0,2.69
ETHUSDT,2024,2196,65,-3.7,2.2,32.3,1.57
ETHUSDT,2025,2190,25,-2.6,5.2,40.0,4.5
ETHUSDT,2026,1522,3,-0.1,0.1,66.7,4.23
BNBUSDT,2020,1954,10,-1.3,0.9,50.0,2.38
BNBUSDT,2021,2190,79,-2.4,7.0,53.2,3.0
BNBUSDT,2022,2190,3,-0.3,0.2,66.7,1.67
BNBUSDT,2023,2190,25,-2.2,-1.5,36.0,0.55
BNBUSDT,2024,2196,110,-7.1,-1.5,37.3,0.94
BNBUSDT,2025,2190,49,-3.5,15.3,46.9,5.17
BNBUSDT,2026,1522,0,0.0,0.0,,
SOLUSDT,2020,653,0,0.0,0.0,,
SOLUSDT,2021,2190,28,-1.1,3.4,50.0,2.66
SOLUSDT,2022,2190,0,0.0,0.0,,
SOLUSDT,2023,2190,32,-2.1,14.8,62.5,22.56
SOLUSDT,2024,2196,61,-3.5,-1.8,42.6,0.71
SOLUSDT,2025,2190,38,-1.4,2.1,36.8,2.24
SOLUSDT,2026,1522,0,0.0,0.0,,
