symbol,year,n_bars,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor
BTCUSDT,2020,2196,53,-8.8,32.5,60.4,6.35
BTCUSDT,2021,2190,83,-9.7,1.4,36.1,1.23
BTCUSDT,2022,2190,8,-2.3,-1.5,25.0,0.14
BTCUSDT,2023,2190,82,-13.6,-6.2,28.0,0.78
BTCUSDT,2024,2196,93,-10.3,8.3,39.8,1.56
BTCUSDT,2025,2190,27,-6.4,-5.2,22.2,0.28
BTCUSDT,2026,1087,0,0.0,0.0,,
ETHUSDT,2020,2196,52,-6.2,16.3,53.8,3.88
ETHUSDT,2021,2190,119,-19.0,-8.2,38.7,0.76
ETHUSDT,2022,2190,14,-4.0,0.1,64.3,1.11
ETHUSDT,2023,2190,52,-10.0,-7.2,28.8,0.53
ETHUSDT,2024,2196,83,-8.6,9.2,37.3,1.76
ETHUSDT,2025,2190,41,-5.4,14.1,46.3,3.81
ETHUSDT,2026,1087,0,0.0,0.0,,
BNBUSDT,2020,1954,49,-13.5,-4.3,32.7,0.77
BNBUSDT,2021,2190,105,-9.3,8.3,46.7,1.48
BNBUSDT,2022,2190,3,-0.9,0.7,66.7,1.9
BNBUSDT,2023,2190,30,-5.7,-4.6,43.3,0.48
BNBUSDT,2024,2196,148,-23.0,-9.0,36.5,0.84
BNBUSDT,2025,2190,95,-4.2,36.3,51.6,3.93
BNBUSDT,2026,1087,0,0.0,0.0,,
SOLUSDT,2020,653,0,0.0,0.0,,
SOLUSDT,2021,2190,38,-5.6,6.3,44.7,1.69
SOLUSDT,2022,2190,0,0.0,0.0,,
SOLUSDT,2023,2190,32,-7.3,52.6,62.5,18.97
SOLUSDT,2024,2196,88,-10.4,-2.7,43.2,0.92
SOLUSDT,2025,2190,52,-6.9,15.4,48.1,2.88
SOLUSDT,2026,1087,0,0.0,0.0,,
