symbol,profile,year,n_bars,n_trades,max_dd_%,total_return_%,win_rate_%,profit_factor,n_trend_campaigns_opened
BTCUSDT,MODERE,2020,2196,30,-2.7,9.2,66.7,13.12,0
BTCUSDT,MODERE,2021,2190,70,-3.1,-1.5,40.0,0.71,1
BTCUSDT,MODERE,2022,2190,6,-0.7,-0.5,16.7,0.06,1
BTCUSDT,MODERE,2023,2190,65,-4.2,-1.7,24.6,0.85,2
BTCUSDT,MODERE,2024,2196,73,-4.3,7.3,37.0,2.23,2
BTCUSDT,MODERE,2025,2190,21,-1.9,-1.3,23.8,0.48,0
BTCUSDT,MODERE,2026,1087,1,-0.2,-0.1,0.0,0.0,1
ETHUSDT,MODERE,2020,2196,44,-1.6,3.2,43.2,2.36,2
ETHUSDT,MODERE,2021,2190,100,-8.3,-4.2,41.0,0.65,2
ETHUSDT,MODERE,2022,2190,14,-2.2,-0.9,57.1,0.63,0
ETHUSDT,MODERE,2023,2190,24,-2.9,2.2,33.3,1.83,1
ETHUSDT,MODERE,2024,2196,68,-4.8,0.6,30.9,1.19,3
ETHUSDT,MODERE,2025,2190,30,-2.6,5.8,40.0,5.16,0
ETHUSDT,MODERE,2026,1087,0,0.0,0.0,,,0
BNBUSDT,MODERE,2020,1954,17,-2.5,-0.9,29.4,0.72,3
BNBUSDT,MODERE,2021,2190,87,-3.3,2.6,47.1,1.39,3
BNBUSDT,MODERE,2022,2190,4,-0.7,-0.3,50.0,0.71,1
BNBUSDT,MODERE,2023,2190,26,-3.1,-3.0,34.6,0.27,0
BNBUSDT,MODERE,2024,2196,121,-10.2,-4.0,33.9,0.77,8
BNBUSDT,MODERE,2025,2190,58,-2.2,12.5,50.0,4.35,0
BNBUSDT,MODERE,2026,1087,1,-0.6,-0.5,0.0,0.0,1
BNBUSDT,TRES_AGRESSIF,2020,1954,17,-7.8,-3.8,29.4,0.57,3
BNBUSDT,TRES_AGRESSIF,2021,2190,89,-9.5,5.2,46.1,1.31,3
BNBUSDT,TRES_AGRESSIF,2022,2190,4,-2.5,-1.3,50.0,0.52,1
BNBUSDT,TRES_AGRESSIF,2023,2190,26,-6.3,-6.1,34.6,0.26,0
BNBUSDT,TRES_AGRESSIF,2024,2196,124,-27.2,-11.7,33.1,0.75,8
BNBUSDT,TRES_AGRESSIF,2025,2190,64,-5.9,45.4,45.3,5.36,0
BNBUSDT,TRES_AGRESSIF,2026,1087,1,-2.5,-2.2,0.0,0.0,1
SOLUSDT,MODERE,2020,653,0,0.0,0.0,,,0
SOLUSDT,MODERE,2021,2190,38,-2.0,2.3,44.7,1.72,1
SOLUSDT,MODERE,2022,2190,0,0.0,0.0,,,0
SOLUSDT,MODERE,2023,2190,34,-2.1,12.8,58.8,6.2,2
SOLUSDT,MODERE,2024,2196,79,-4.6,-3.7,43.0,0.61,4
SOLUSDT,MODERE,2025,2190,49,-2.5,1.2,38.8,1.44,1
SOLUSDT,MODERE,2026,1087,0,0.0,0.0,,,0
