symbol,tf,profile,n_trades_batch_struct,max_dd_%_batch_struct,total_return_%_batch_struct,win_rate_%_batch_struct,profit_factor_batch_struct,n_trades_causal_struct,max_dd_%_causal_struct,total_return_%_causal_struct,win_rate_%_causal_struct,profit_factor_causal_struct,d_return,d_winrate,d_trades,sign_flip
BTCUSDT,H4,FAIBLE,1402,-14.8,81.8,39.4,1.52,1400,-14.4,79.4,41.0,1.52,-2.3999999999999915,1.6000000000000014,-2,False
BTCUSDT,H4,MODERE,1402,-26.5,236.7,38.7,1.63,1400,-27.3,219.8,40.3,1.61,-16.899999999999977,1.5999999999999943,-2,False
BTCUSDT,H4,AGRESSIF,1402,-35.8,354.8,38.7,1.65,1400,-36.9,338.5,40.3,1.64,-16.30000000000001,1.5999999999999943,-2,False
BTCUSDT,H4,TRES_AGRESSIF,1402,-41.8,437.3,37.9,1.67,1400,-37.8,449.6,39.6,1.69,12.300000000000011,1.7000000000000028,-2,False
BTCUSDT,D1,FAIBLE,17,-3.0,-2.7,23.5,0.06,30,-4.5,-4.1,16.7,0.31,-1.3999999999999995,-6.800000000000001,13,False
BTCUSDT,D1,MODERE,17,-6.4,-6.0,23.5,0.05,30,-8.7,-7.8,16.7,0.33,-1.7999999999999998,-6.800000000000001,13,False
BTCUSDT,D1,AGRESSIF,17,-9.7,-9.1,23.5,0.05,30,-12.4,-10.8,16.7,0.36,-1.700000000000001,-6.800000000000001,13,False
BTCUSDT,D1,TRES_AGRESSIF,17,-14.4,-13.5,23.5,0.06,30,-19.2,-16.6,13.3,0.36,-3.1000000000000014,-10.2,13,False
ETHUSDT,H4,FAIBLE,1363,-12.6,88.2,37.1,1.49,1405,-15.1,35.0,36.9,1.29,-53.2,-0.20000000000000284,42,False
ETHUSDT,H4,MODERE,1363,-24.4,211.9,36.3,1.51,1405,-26.2,96.9,36.2,1.34,-115.0,-0.09999999999999432,42,False
ETHUSDT,H4,AGRESSIF,1363,-32.1,417.5,36.3,1.57,1405,-33.3,205.1,36.2,1.42,-212.4,-0.09999999999999432,42,False
ETHUSDT,H4,TRES_AGRESSIF,1363,-38.5,552.8,35.1,1.59,1405,-38.3,240.9,35.1,1.42,-311.9,0.0,42,False
ETHUSDT,D1,FAIBLE,50,-1.9,4.1,42.0,1.95,43,-3.9,-1.4,34.9,0.74,-5.5,-7.100000000000001,-7,True
ETHUSDT,D1,MODERE,50,-4.2,10.7,42.0,2.21,43,-4.7,-1.8,34.9,0.83,-12.5,-7.100000000000001,-7,True
ETHUSDT,D1,AGRESSIF,50,-6.9,19.7,42.0,2.47,43,-6.1,-2.5,34.9,0.84,-22.2,-7.100000000000001,-7,True
ETHUSDT,D1,TRES_AGRESSIF,50,-12.9,41.6,38.0,2.92,43,-9.8,-7.4,30.2,0.62,-49.0,-7.800000000000001,-7,True
BNBUSDT,H4,FAIBLE,1399,-17.2,46.3,41.2,1.37,1408,-18.0,37.9,41.1,1.32,-8.399999999999999,-0.10000000000000142,9,False
BNBUSDT,H4,MODERE,1399,-25.4,79.9,40.3,1.34,1408,-31.7,67.1,40.3,1.31,-12.800000000000011,0.0,9,False
BNBUSDT,H4,AGRESSIF,1399,-31.7,121.8,40.3,1.36,1408,-38.1,89.5,40.3,1.31,-32.3,0.0,9,False
BNBUSDT,H4,TRES_AGRESSIF,1399,-33.7,330.3,40.2,1.52,1408,-40.3,240.8,40.1,1.45,-89.5,-0.10000000000000142,9,False
BNBUSDT,D1,FAIBLE,15,-2.2,-1.8,20.0,0.26,39,-2.2,10.3,59.0,4.16,12.100000000000001,39.0,24,True
BNBUSDT,D1,MODERE,15,-4.4,-3.5,20.0,0.26,39,-4.4,22.8,59.0,4.33,26.3,39.0,24,True
BNBUSDT,D1,AGRESSIF,15,-6.5,-5.1,20.0,0.27,39,-6.3,36.6,59.0,4.39,41.7,39.0,24,True
BNBUSDT,D1,TRES_AGRESSIF,15,-9.3,-7.1,20.0,0.31,39,-18.5,56.6,46.2,3.34,63.7,26.200000000000003,24,True
SOLUSDT,H4,FAIBLE,1239,-21.2,182.0,38.8,1.79,1234,-19.3,141.4,39.6,1.69,-40.599999999999994,0.8000000000000043,-5,False
SOLUSDT,H4,MODERE,1239,-35.8,603.8,37.9,1.81,1234,-30.1,455.7,38.9,1.73,-148.09999999999997,1.0,-5,False
SOLUSDT,H4,AGRESSIF,1239,-46.9,1328.3,37.9,1.82,1234,-36.1,1040.8,38.9,1.77,-287.5,1.0,-5,False
SOLUSDT,H4,TRES_AGRESSIF,1239,-53.1,4093.3,37.0,1.96,1234,-48.9,4284.2,38.3,1.98,190.89999999999964,1.2999999999999972,-5,False
SOLUSDT,D1,FAIBLE,19,-2.5,4.2,47.4,2.56,19,-3.2,-2.4,42.1,0.22,-6.6,-5.299999999999997,0,True
SOLUSDT,D1,MODERE,19,-3.7,7.3,47.4,2.46,19,-5.9,-4.3,42.1,0.23,-11.6,-5.299999999999997,0,True
SOLUSDT,D1,AGRESSIF,19,-6.4,11.5,47.4,2.68,19,-8.0,-6.0,42.1,0.21,-17.5,-5.299999999999997,0,True
SOLUSDT,D1,TRES_AGRESSIF,19,-10.2,26.3,47.4,3.63,19,-11.1,-8.2,42.1,0.21,-34.5,-5.299999999999997,0,True
