symbol,profile,gate,stop,n_trades_batch_struct,max_dd_%_batch_struct,total_return_%_batch_struct,win_rate_%_batch_struct,profit_factor_batch_struct,n_trades_causal_struct,max_dd_%_causal_struct,total_return_%_causal_struct,win_rate_%_causal_struct,profit_factor_causal_struct,d_return,d_winrate,d_trades,sign_flip
BTCUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,504,-9.1,23.1,42.7,1.6,492,-9.8,21.9,43.1,1.57,-1.2000000000000028,0.3999999999999986,-12,False
BTCUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1402,-14.8,81.8,39.4,1.52,1400,-14.4,79.4,41.0,1.52,-2.3999999999999915,1.6000000000000014,-2,False
BTCUSDT,FAIBLE,H4_valide_par_D1,D1_reel,505,-3.1,15.5,42.4,2.02,491,-3.1,14.5,43.2,1.97,-1.0,0.8000000000000043,-14,False
BTCUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,504,-13.4,61.0,42.7,1.77,492,-14.2,57.7,42.9,1.74,-3.299999999999997,0.19999999999999574,-12,False
BTCUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1402,-26.5,236.7,38.7,1.63,1400,-27.3,219.8,40.3,1.61,-16.899999999999977,1.5999999999999943,-2,False
BTCUSDT,MODERE,H4_valide_par_D1,D1_reel,505,-6.3,33.7,42.4,2.04,491,-6.4,30.5,43.2,1.95,-3.200000000000003,0.8000000000000043,-14,False
BTCUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,504,-14.7,115.8,42.7,2.01,492,-15.5,106.9,42.9,1.95,-8.899999999999991,0.19999999999999574,-12,False
BTCUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1402,-35.8,354.8,38.7,1.65,1400,-36.9,338.5,40.3,1.64,-16.30000000000001,1.5999999999999943,-2,False
BTCUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,505,-8.4,55.8,42.4,2.08,491,-9.1,48.6,43.2,1.94,-7.199999999999996,0.8000000000000043,-14,False
BTCUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,504,-22.4,157.1,42.3,2.09,492,-22.8,147.8,42.5,2.05,-9.299999999999983,0.20000000000000284,-12,False
BTCUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1402,-41.8,437.3,37.9,1.67,1400,-37.8,449.6,39.6,1.69,12.300000000000011,1.7000000000000028,-2,False
BTCUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,505,-17.3,92.0,42.0,2.06,491,-17.4,82.7,42.8,1.96,-9.299999999999997,0.7999999999999972,-14,False
ETHUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,417,-6.1,55.2,45.6,2.4,427,-6.5,38.9,46.1,2.06,-16.300000000000004,0.5,10,False
ETHUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1363,-12.6,88.2,37.1,1.49,1405,-15.1,35.0,36.9,1.29,-53.2,-0.20000000000000284,42,False
ETHUSDT,FAIBLE,H4_valide_par_D1,D1_reel,418,-2.8,20.9,45.0,2.41,427,-2.9,16.1,45.4,2.09,-4.799999999999997,0.3999999999999986,9,False
ETHUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,417,-11.7,139.0,45.3,2.44,427,-14.3,94.5,45.9,2.09,-44.5,0.6000000000000014,10,False
ETHUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1363,-24.4,211.9,36.3,1.51,1405,-26.2,96.9,36.2,1.34,-115.0,-0.09999999999999432,42,False
ETHUSDT,MODERE,H4_valide_par_D1,D1_reel,418,-5.2,56.4,45.0,2.64,427,-6.0,42.2,45.4,2.26,-14.199999999999996,0.3999999999999986,9,False
ETHUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,417,-16.6,249.4,45.3,2.5,427,-19.5,161.9,45.9,2.14,-87.5,0.6000000000000014,10,False
ETHUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1363,-32.1,417.5,36.3,1.57,1405,-33.3,205.1,36.2,1.42,-212.4,-0.09999999999999432,42,False
ETHUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,418,-8.4,109.9,45.0,2.78,427,-9.4,80.1,45.4,2.37,-29.80000000000001,0.3999999999999986,9,False
ETHUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,417,-33.6,355.4,43.6,2.47,427,-32.0,200.5,44.3,2.05,-154.89999999999998,0.6999999999999957,10,False
ETHUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1363,-38.5,552.8,35.1,1.59,1405,-38.3,240.9,35.1,1.42,-311.9,0.0,42,False
ETHUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,418,-18.3,220.6,43.3,2.79,427,-17.1,144.8,43.8,2.35,-75.79999999999998,0.5,9,False
BNBUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,544,-12.6,17.0,42.1,1.41,525,-12.5,20.5,42.7,1.48,3.5,0.6000000000000014,-19,False
BNBUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1399,-17.2,46.3,41.2,1.37,1408,-18.0,37.9,41.1,1.32,-8.399999999999999,-0.10000000000000142,9,False
BNBUSDT,FAIBLE,H4_valide_par_D1,D1_reel,543,-5.6,7.0,41.8,1.4,522,-5.6,7.0,42.5,1.41,0.0,0.7000000000000028,-21,False
BNBUSDT,MODERE,H4_valide_par_D1,H4_meme_UT,544,-20.1,26.6,41.4,1.35,525,-19.6,33.7,41.9,1.42,7.100000000000001,0.5,-19,False
BNBUSDT,MODERE,H4_seul (=v6),H4_meme_UT,1399,-25.4,79.9,40.3,1.34,1408,-31.7,67.1,40.3,1.31,-12.800000000000011,0.0,9,False
BNBUSDT,MODERE,H4_valide_par_D1,D1_reel,543,-10.8,11.8,41.8,1.33,522,-11.0,12.2,42.5,1.34,0.3999999999999986,0.7000000000000028,-21,False
BNBUSDT,AGRESSIF,H4_valide_par_D1,H4_meme_UT,544,-23.5,32.6,41.4,1.32,525,-24.1,40.5,41.9,1.38,7.899999999999999,0.5,-19,False
BNBUSDT,AGRESSIF,H4_seul (=v6),H4_meme_UT,1399,-31.7,121.8,40.3,1.36,1408,-38.1,89.5,40.3,1.31,-32.3,0.0,9,False
BNBUSDT,AGRESSIF,H4_valide_par_D1,D1_reel,543,-15.9,17.9,41.8,1.31,522,-16.3,19.2,42.5,1.33,1.3000000000000007,0.7000000000000028,-21,False
BNBUSDT,TRES_AGRESSIF,H4_valide_par_D1,H4_meme_UT,544,-31.9,57.3,40.4,1.42,525,-32.5,65.6,41.0,1.46,8.299999999999997,0.6000000000000014,-19,False
BNBUSDT,TRES_AGRESSIF,H4_seul (=v6),H4_meme_UT,1399,-33.7,330.3,40.2,1.52,1408,-40.3,240.8,40.1,1.45,-89.5,-0.10000000000000142,9,False
BNBUSDT,TRES_AGRESSIF,H4_valide_par_D1,D1_reel,543,-24.9,24.7,40.9,1.3,522,-24.8,29.7,41.6,1.34,5.0,0.7000000000000028,-21,False
SOLUSDT,FAIBLE,H4_valide_par_D1,H4_meme_UT,361,-8.7,24.5,41.6,1.82,339,-8.4,23.0,39.8,1.77,-1.5,-1.8000000000000043,-22,False
SOLUSDT,FAIBLE,H4_seul (=v6),H4_meme_UT,1239,-21.2,182.0,38.8,1.79,1234,-19.3,141.4,39.6,1.69,-40.599999999999994,0.8000000000000043,-5,False
SOLUSDT,FAIBLE,H4_valide_par_D1,D1_reel,361,-3.6,6.9,41.0,1.54,339,-4.4,4.4,39.8,1.37,-2.5,-1.2000000000000028,-22,False
